bioguide,candidate_id,cycle,totals_source,active_through,address_city,address_state,address_street_1,address_street_2,address_zip,all_other_loans,candidate_contribution,candidate_election_year,candidate_inactive,candidate_status,cash_on_hand_end_period,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycles,debts_owed_by_committee,disbursements,district,district_number,election_districts,election_full,election_year,election_years,exempt_legal_accounting_disbursement,federal_funds,federal_funds_flag,first_file_date,fundraising_disbursements,has_raised_funds,incumbent_challenge,incumbent_challenge_full,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,is_election,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_f2_date,last_file_date,last_net_contributions,last_net_operating_expenditures,last_report_type_full,last_report_year,load_date,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,name,net_contributions,net_operating_expenditures,office,office_full,offsets_to_fundraising_expenditures,offsets_to_legal_accounting,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,other_political_committee_contributions,other_receipts,party,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,state,state_full,total_offsets_to_operating_expenditures,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,two_year_period
B001307,H8IN04199,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,67714.64,2025-06-30T00:00:00,2025-01-01T00:00:00,,,143230.12,,,,True,,,0.0,0.0,,,0.0,,,,39014.64,15632.51,23382.13,,202507159763418872,139715.34,210000.0,0.0,,,45532.38,58283.19,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,67714.64,142559.03,,,0.0,0.0,621.09,143180.12,50.0,28700.0,0.0,,,0.0,68335.73,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
B001315,H2IL13153,2026,candidate,,,,,,,0.0,0.0,2026,,,,2875.0,923387.4,2025-06-30T00:00:00,2025-01-01T00:00:00,,,477708.4,,,,True,,,0.0,0.0,,,0.0,,,,491397.4,453896.31,37501.09,,202508089789422016,2255024.94,0.0,0.0,,,382334.16,166270.46,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,920512.4,358656.36,,,0.0,0.0,24073.59,382729.95,92103.45,430750.0,0.0,,,1240.0,948000.99,2875.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,540.0,0.0,
B001319,S2AL00145,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001324,H4MO01134,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,682884.29,2025-06-30T00:00:00,2025-01-01T00:00:00,,,476880.61,,,,True,,,0.0,0.0,,,0.0,,,,561334.29,546027.0,15307.29,,202507159763068853,642676.17,0.0,0.0,,,259565.5,172147.58,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,682884.29,393829.01,,,0.0,0.0,2751.6,396580.61,80300.0,121550.0,0.0,,,0.0,685635.89,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C000059,H2CA37023,2026,candidate,,,,,,,0.0,0.0,2026,,,,8400.0,1633123.61,2025-06-30T00:00:00,2025-01-01T00:00:00,,,406436.04,,,,True,,,0.0,0.0,,,0.0,,,,978873.61,846684.37,132189.24,,202507159762875870,2497701.72,106633.41,0.0,,,796657.43,181016.35,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,1624723.61,361141.17,,,0.0,0.0,34644.87,395786.04,2250.0,654250.0,0.0,,,0.0,2642002.15,8400.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,974233.67,0.0,
C001035,S6ME00159,2026,candidate,,,,,,,0.0,0.0,2026,,,,71250.0,3930138.84,2025-06-30T00:00:00,2021-01-01T00:00:00,,,2053616.19,,,,True,,,0.0,0.0,,,0.0,,,,3097119.59,2888090.8,209028.79,,202301269574982790,5255917.16,0.0,0.0,,,1185208.23,337335.42,YEAR-END,2025,,0.0,0.0,0.0,0.0,0.0,,3858888.84,1896524.64,,,0.0,0.0,0.0,1896524.64,85841.55,833019.25,327431.42,,,0.0,6014340.87,68050.0,3200.0,0.0,,,0.0,2025-06-30T00:00:00,1756770.61,0.0,
C001053,H2OK04055,2026,candidate,,,,,,,0.0,0.0,2026,,,,293.0,1573619.86,2025-06-30T00:00:00,2025-01-01T00:00:00,,,915447.97,,,,True,,,0.0,0.0,,,0.0,,,,952290.86,905044.17,47246.69,,202507159763443797,2500420.87,0.0,0.0,,,862690.64,425648.16,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,1573326.86,915154.97,,,0.0,0.0,0.0,915154.97,0.0,621329.0,19781.61,,,0.0,1635595.41,293.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,42193.94,0.0,
C001061,H4MO05234,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,279268.01,2025-06-30T00:00:00,2025-01-01T00:00:00,,,351849.92,,,,True,,,0.0,0.0,,,0.0,,,,80518.01,59492.24,21025.77,,202507159763541015,817059.72,0.0,0.0,,,186203.51,164205.71,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,279268.01,347721.92,,,0.0,0.0,0.0,347721.92,4128.0,198750.0,14.81,,,0.0,279282.82,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C001068,H6TN09068,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,139488.0,2025-06-30T00:00:00,2025-01-01T00:00:00,,,126488.52,,,,True,,,0.0,0.0,,,0.0,,,,14208.83,13650.0,558.83,,202507289764307527,1770320.42,0.0,0.0,,,89895.96,31042.05,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,139488.0,54203.52,,,0.0,0.0,0.0,54203.52,72285.0,124500.0,37488.25,,,779.17,176976.25,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C001080,H0CA32101,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,137040.93,2025-06-30T00:00:00,2025-01-01T00:00:00,,,232408.84,,,,True,,,0.0,0.0,,,0.0,,,,53540.93,46934.67,6606.26,,202507149762812330,3506637.04,8846.0,0.0,,,73021.4,65098.39,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,137040.93,111578.84,,,0.0,0.0,0.0,111578.84,120830.0,83500.0,0.0,,,0.0,137040.93,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C001095,S4AR00103,2026,candidate,,,,,,,0.0,0.0,2026,,,,29186.14,6764778.31,2025-06-30T00:00:00,2021-01-01T00:00:00,,,7237019.68,,,,True,,,0.0,0.0,,,0.0,,,,6064778.31,3309059.8,2755718.51,,202301319575254785,8988851.12,73959.0,0.0,,,717960.39,561071.13,YEAR-END,2025,,0.0,0.0,0.0,0.0,0.0,,6735592.17,6987165.41,,,0.0,0.0,12321.02,6999486.43,205350.0,700000.0,695992.86,,,0.0,9828917.81,24186.14,5000.0,0.0,,,0.0,2025-06-30T00:00:00,2355825.62,2997.11,
C001103,H4GA01039,2026,candidates,2026,POOLER,GA,406 PURPLE FINCH DR,,31322,,,2026,False,C,0.00,,,,,"[2014, 2016, 2018, 2020, 2022, 2024, 2026]",0.00,0.0,01,1,"['01', '01', '01', '01', '01', '01', '01']",,2026,"[2014, 2016, 2018, 2020, 2022, 2024, 2026]",,,False,2013-04-23,,False,I,Incumbent,,0.0,,True,,,,,2024-11-18,2024-11-18,,,,,2025-02-03T21:02:03,,,,,,"CARTER, EARL LEROY",,,H,House,,,,,,0.0,,REP,REPUBLICAN PARTY,,0.0,,,,GA,Georgia,,,0.0,,2026
