congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
97,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911,2004.0,0.692,-0.713,-103.6031,0.741,345,43,,,
97,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-328.03759,0.581,605,134,,0.486,-0.364
97,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,2019.0,0.177,0.161,-253.58387,0.668,628,118,,0.156,0.006
97,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-152.7205,0.79,648,59,,-0.258,0.966
97,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-173.85314,0.75,604,74,,-0.048,0.999
97,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834,-142.58973,0.793,614,58,,-0.227,0.974
97,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934,,0.013,0.658,-234.90103,0.696,648,107,,0.092,0.732
97,House,14862,41,6,AL,200,0,1,"SMITH, Albert Lee, Jr.",S000514,1931,1997.0,0.461,0.132,-160.26516,0.777,636,67,,0.46,0.139
97,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-283.45147,0.56792,501,113,,0.249,-0.22
97,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-163.88324,0.707,473,80,,0.201,0.042
97,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-155.43979,0.777,615,71,,-0.371,0.114
97,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002.0,0.422,0.611,-144.52629,0.792,621,65,,0.373,0.572
97,House,94454,61,3,AZ,100,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.329,0.944,-173.16375,0.763,641,92,,0.49,0.872
97,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-204.16763,0.737,668,92,,0.192,0.291
97,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-147.68536,0.787,615,72,,-0.343,0.657
