county,precinct,office,district,candidate,party,votes,election_day,absentee
Iron,"City of Caspian, Precinct 1",Straight Party,,,DEM,86,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,REP,127,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,LIB,1,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,UST,0,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,WCP,2,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,GRN,1,,
Iron,"City of Caspian, Precinct 1",Straight Party,,,NLP,0,,
Iron,"City of Caspian, Precinct 1",President,,Joseph R Biden,DEM,163,,
Iron,"City of Caspian, Precinct 1",President,,Donald J Trump,REP,244,,
Iron,"City of Caspian, Precinct 1",President,,Jo Jorgensen,LIB,4,,
Iron,"City of Caspian, Precinct 1",President,,Don Blankenship,UST,0,,
Iron,"City of Caspian, Precinct 1",President,,Howie Hawkins,GRN,1,,
Iron,"City of Caspian, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"City of Caspian, Precinct 1",President,,Write-In,,0,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,Gary Peters,DEM,169,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,John James,REP,236,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,Valerie L Willis,UST,1,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,Marcia Squier,GRN,4,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"City of Caspian, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"City of Caspian, Precinct 1",U.S. House,1,Dana Ferguson,DEM,153,,
Iron,"City of Caspian, Precinct 1",U.S. House,1,Jack Bergman,REP,250,,
Iron,"City of Caspian, Precinct 1",U.S. House,1,Ben Boren,LIB,7,,
Iron,"City of Caspian, Precinct 1",U.S. House,1,Write-In,,2,,
Iron,"City of Caspian, Precinct 1",State House,110,Janet Metsa,DEM,176,,
Iron,"City of Caspian, Precinct 1",State House,110,Gregory Markkanen,REP,228,,
Iron,"City of Caspian, Precinct 1",State House,110,Rick Sauermilch,GRN,5,,
Iron,"City of Caspian, Precinct 1",State House,110,Write-In,,1,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,DEM,160,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,REP,250,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,LIB,1,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,UST,0,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,WCP,4,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,GRN,0,,
Iron,"City of Crystal Falls, Precinct 1",Straight Party,,,NLP,1,,
