county,precinct,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
Adair,10017,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,23,31,354,408
Adair,10017,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,17,10,156,183
Adair,10017,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,24,32,351,407
Adair,10017,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,16,9,160,185
Adair,10017,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,24,31,343,398
Adair,10017,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,16,10,166,192
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,25,30,325,380
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,15,12,185,212
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,25,31,318,374
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,14,11,191,216
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,23,31,315,369
Adair,10017,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,17,10,195,222
Adair,10017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,28,15,145,188
Adair,10017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,15,38,419,472
Adair,10017,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,25,21,205,251
Adair,10017,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,18,32,349,399
Adair,10018,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,12,55,438,505
Adair,10018,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,2,0,3,5
Adair,10018,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,24,16,95,135
Adair,10018,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,1,0,0,1
