county,precinct,office,district,candidate,party,votes
Mercer,PRECINCT 31,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,112
Mercer,PRECINCT 32,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,123
Mercer,PRECINCT 36,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,204
Mercer,PRECINCT 44,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,81
Mercer,PRECINCT 47,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,62
Mercer,PRECINCT 48,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,20
Mercer,PRECINCT 49,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,51
Mercer,PRECINCT 52,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,50
Mercer,PRECINCT 53,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,52
Mercer,PRECINCT 54,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,40
Mercer,PRECINCT 56,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,286
Mercer,PRECINCT 58,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,137
Mercer,PRECINCT 59,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,57
Mercer,PRECINCT 60,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,11
Mercer,PRECINCT 62,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,153
Mercer,PRECINCT 64,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,54
Mercer,PRECINCT 65,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,238
Mercer,PRECINCT 66,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,60
Mercer,PRECINCT 67,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,47
Mercer,PRECINCT 68,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,21
Mercer,PRECINCT 69,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,69
Mercer,PRECINCT 71,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,183
Mercer,PRECINCT 72,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,101
Mercer,PRECINCT 73,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,134
Mercer,PRECINCT 74,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,169
Mercer,PRECINCT 75,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,248
Mercer,PRECINCT 78,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,121
Mercer,PRECINCT 79,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,75
Mercer,PRECINCT 80,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,142
Mercer,PRECINCT 81,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,121
Mercer,PRECINCT 82,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,219
Mercer,PRECINCT 85,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,31
Mercer,PRECINCT 86,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,121
