bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
C001134	22306	house	CO	8	100		-0.256	0.626
P000620	22359	house	CO	7	100		-0.365	0.341
L000604	22380	house	CO	4	200		0.894	0.448
D000600	20316	house	FL	26	200		0.281	0.158
W000797	20504	house	FL	25	100		-0.415	0.102
F000462	21321	house	FL	22	100		-0.396	-0.024
M001199	21735	house	FL	21	200		0.462	-0.346
R000609	21744	house	FL	5	200		0.431	0.071
F000472	22116	house	FL	18	200		0.624	0.191
G000593	22118	house	FL	28	200		0.331	0.136
B001314	22302	house	FL	4	200		0.679	-0.156
F000476	22321	house	FL	10	100		-0.432	-0.713
L000597	22341	house	FL	15	200		0.411	0.159
L000596	22343	house	FL	13	200		0.565	-0.497
M001216	22350	house	FL	7	200		0.607	-0.294
M001217	22353	house	FL	23	100		-0.231	0.323
M001208	21944	house	GA	7	100		-0.355	0.288
C001129	22310	house	GA	10	200		0.675	-0.264
M001218	22346	house	GA	6	200		0.891	0.454
M001219	22373	house	GU	0	200		0.443	0.432
T000487	22369	house	HI	2	100		-0.473	-0.366
L000585	21562	house	IL	16	200		0.46	0.223
B001315	22304	house	IL	13	100		-0.337	0.52
J000309	22330	house	IL	1	100		-0.329	-0.462
R000617	22360	house	IL	3	100		-0.496	-0.868
S001225	22365	house	IL	17	100		-0.245	0.272
H001093	22326	house	IN	9	200		0.633	0.219
H001091	22124	house	IA	2	200		0.349	0.349
M001215	22139	house	IA	1	200		0.336	0.195
N000193	22356	house	IA	3	200		0.292	0.201
M001220	22347	house	KY	3	100		-0.521	0.021
I000058	22329	house	MD	4	100		-0.451	-0.059
W000798	20725	house	MI	5	200		0.499	0.159
H001058	21142	house	MI	4	200		0.532	0.047
K000380	21372	house	MI	8	100		-0.359	-0.183
M001194	21526	house	MI	2	200		0.448	0.165
D000624	21529	house	MI	6	100		-0.402	-0.189
S001208	21965	house	MI	7	100		-0.346	0.752
T000481	21975	house	MI	12	100		-0.29	-0.957
M001136	22136	house	MI	9	200		0.55	0.157
J000307	22332	house	MI	10	200		0.312	0.416
S001221	22363	house	MI	3	100		-0.249	0.219
T000488	22368	house	MI	13	100		-0.346	-0.04
E000235	22319	house	MS	4	200		0.556	0.148
A000379	22300	house	MO	4	200		0.58	0.053
B001316	22305	house	MO	7	200		0.733	-0.518
Z000018	21532	house	MT	1	200		0.441	-0.133
R000103	22148	house	MT	2	200		0.753	-0.658
K000398	22334	house	NJ	7	200		0.2	0.377
M001226	22348	house	NJ	8	100		-0.52	0.276
M001229	22381	house	NJ	10	100		-0.603	-0.103
V000136	22371	house	NM	2	100		-0.326	0.554
T000478	21749	house	NY	24	200		0.463	0.012
R000579	22169	house	NY	18	100		-0.237	0.258
D000632	22313	house	NY	4	200		0.24	0.188
G000599	22324	house	NY	10	100		-0.43	0.144
L000598	22337	house	NY	1	200		0.256	0.1
L000600	22339	house	NY	23	200		0.419	-0.05
L000599	22340	house	NY	17	200		0.193	0.254
M001221	22351	house	NY	19	200		0.25	0.104
S001222	22362	house	NY	3	200		0.473	-0.421
W000828	22372	house	NY	22	200		0.314	0.11
K000402	22377	house	NY	26	100		-0.358	0.26
N000002	29377	house	NY	12	100		-0.507	-0.479
H001067	21346	house	NC	9	200		0.523	0.209
B001311	21986	house	NC	8	200		0.703	-0.366
D000230	22314	house	NC	1	100		-0.25	0.873
E000246	22318	house	NC	11	200		0.391	0.462
F000477	22320	house	NC	4	100		-0.498	-0.276
J000308	22331	house	NC	14	100		-0.263	0.171
N000194	22355	house	NC	13	100		-0.243	0.246
L000601	22338	house	OH	1	100		-0.22	0.232
M001222	22349	house	OH	7	200		0.386	0.042
S001223	22367	house	OH	13	100		-0.313	0.134
R000619	22379	house	OH	6	200		0.41	-0.104
B001317	22303	house	OK	2	200		0.858	-0.471
C001135	22308	house	OR	5	200		0.167	0.426
H001094	22327	house	OR	4	100		-0.225	-0.372
S001226	22361	house	OR	6	100		-0.218	-0.204
D000530	22316	house	PA	17	100		-0.248	-0.15
L000602	22342	house	PA	12	100		-0.414	-0.91
M001223	22345	house	RI	2	100		-0.332	0.184
A000380	22375	house	RI	1	100		-0.447	-0.032
F000478	22322	house	SC	7	200		0.538	-0.281
O000175	22357	house	TN	5	200		0.798	-0.351
G000581	21722	house	TX	34	100		-0.384	0.843
C001131	22307	house	TX	35	100		-0.421	-0.87
C001130	22312	house	TX	30	100		-0.492	-0.216
D000594	22315	house	TX	15	200		0.468	0.133
H001095	22328	house	TX	38	200		0.59	-0.29
L000603	22344	house	TX	8	200		0.604	-0.043
M001224	22352	house	TX	1	200		0.575	0.554
S001224	22364	house	TX	3	200		0.832	-0.226
L000605	22382	house	TX	18	100		-0.331	-0.379
