bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
T000482	21977	house	MA	3	100		-0.422	-0.135
A000148	22100	house	MA	4	100		-0.293	-0.276
M000312	29729	house	MA	2	100		-0.538	-0.341
U000031	15446	house	MI	6	200		0.32	-0.355
W000798	20725	house	MI	7	200		0.499	0.159
H001058	21142	house	MI	2	200		0.532	0.047
K000380	21372	house	MI	5	100		-0.359	-0.183
M001194	21526	house	MI	4	200		0.448	0.165
D000624	21529	house	MI	12	100		-0.402	-0.189
L000581	21530	house	MI	14	100		-0.448	-0.039
B001301	21704	house	MI	1	200		0.432	0.083
L000592	21940	house	MI	9	100		-0.474	-0.563
S001208	21965	house	MI	8	100		-0.346	0.752
S001215	21972	house	MI	11	100		-0.391	0.273
T000481	21975	house	MI	13	100		-0.29	-0.957
M001136	22136	house	MI	10	200		0.55	0.157
M001186	22137	house	MI	3	200		0.245	0.213
M001143	20122	house	MN	4	100		-0.419	-0.185
E000294	21531	house	MN	6	200		0.466	-0.069
C001119	21910	house	MN	2	100		-0.266	0.581
H001088	21929	house	MN	1	200		0.477	0.345
O000173	21950	house	MN	5	100		-0.296	-0.955
P000616	21953	house	MN	3	100		-0.277	0.167
S001212	21969	house	MN	8	200		0.385	-0.103
F000470	22114	house	MN	7	200		0.537	-0.031
F000475	22167	house	MN	1	200		0.546	-0.046
P000601	21148	house	MS	4	200		0.535	0.45
K000388	21561	house	MS	1	200		0.637	0.293
G000591	21927	house	MS	3	200		0.53	0.114
T000193	29368	house	MS	2	100		-0.519	0.391
G000546	20124	house	MO	6	200		0.448	0.164
C001061	20517	house	MO	5	100		-0.453	-0.001
L000569	20926	house	MO	3	200		0.45	0.247
H001053	21149	house	MO	4	200		0.478	0.229
L000576	21150	house	MO	7	200		0.544	0.244
W000812	21337	house	MO	2	200		0.39	0.298
S001195	21373	house	MO	8	200		0.577	0.21
B001224	22106	house	MO	1	100		-0.247	-0.969
R000103	22148	house	MT	1	200		0.753	-0.658
F000449	20518	house	NE	1	200		0.304	-0.061
S001172	20729	house	NE	3	200		0.511	0.251
B001298	21701	house	NE	2	200		0.285	0.189
F000474	22166	house	NE	1	200		0.46	0.754
T000468	20927	house	NV	1	100		-0.297	-0.164
A000369	21196	house	NV	2	200		0.384	0.209
H001066	21339	house	NV	4	100		-0.32	0.152
L000590	21938	house	NV	3	100		-0.23	0.316
K000382	21340	house	NH	2	100		-0.264	-0.086
P000614	21951	house	NH	1	100		-0.239	0.347
S000522	14863	house	NJ	4	200		0.181	-0.173
P000034	15454	house	NJ	6	100		-0.402	-0.162
S001165	20542	house	NJ	8	100		-0.404	0.098
N000188	21536	house	NJ	1	100		-0.419	0.337
W000822	21538	house	NJ	12	100		-0.597	-0.222
G000583	21723	house	NJ	5	100		-0.163	0.21
K000394	21937	house	NJ	3	100		-0.399	0.241
M001203	21942	house	NJ	7	100		-0.272	0.121
S001207	21964	house	NJ	11	100		-0.235	0.244
P000096	29741	house	NJ	9	100		-0.369	-0.004
P000604	31103	house	NJ	10	100		-0.52	-0.096
V000133	91980	house	NJ	2	200		0.381	-0.434
H001080	21928	house	NM	1	100		-0.332	-0.233
H001084	22123	house	NM	2	200		0.936	0.352
L000273	22131	house	NM	3	100		-0.363	-0.195
S001218	22159	house	NM	1	100		-0.45	-0.195
H001038	20519	house	NY	26	100		-0.348	-0.032
C001067	20733	house	NY	9	100		-0.607	-0.26
T000469	20934	house	NY	20	100		-0.416	-0.262
R000585	21101	house	NY	23	200		0.269	0.12
M001188	21342	house	NY	6	100		-0.37	-0.206
J000294	21343	house	NY	8	100		-0.486	-0.066
M001185	21344	house	NY	18	100		-0.239	0.114
Z000017	21539	house	NY	1	200		0.397	-0.129
R000602	21540	house	NY	4	100		-0.28	0.039
S001196	21541	house	NY	21	200		0.305	-0.113
K000386	21542	house	NY	24	200		0.185	0.013
E000297	21715	house	NY	13	100		-0.53	-0.206
S001201	21747	house	NY	3	100		-0.215	0.145
T000478	21749	house	NY	22	200		0.463	0.012
M001206	21761	house	NY	25	100		-0.324	0.144
D000630	21916	house	NY	19	100		-0.233	0.277
O000172	21949	house	NY	14	100		-0.323	-0.947
J000020	21990	house	NY	27	200		0.306	0.049
B001223	22105	house	NY	16	100		-0.357	-0.934
G000597	22117	house	NY	2	200		0.245	0.239
J000306	22127	house	NY	17	100		-0.414	-0.533
M000317	22133	house	NY	11	200		0.338	-0.083
T000486	22154	house	NY	15	100		-0.308	-0.096
R000579	22169	house	NY	19	100		-0.237	0.258
S001219	22170	house	NY	23	200		0.545	0.047
N000002	29377	house	NY	10	100		-0.507	-0.479
V000081	29378	house	NY	7	100		-0.547	-0.367
M000087	29379	house	NY	12	100		-0.387	-0.285
M001137	29776	house	NY	5	100		-0.416	-0.063
P000523	15438	house	NC	4	100		-0.343	-0.03
B001251	20340	house	NC	1	100		-0.404	0.184
F000450	20521	house	NC	5	200		0.623	0.175
M001156	20522	house	NC	10	200		0.524	0.156
H001067	21346	house	NC	8	200		0.523	0.209
R000603	21544	house	NC	7	200		0.565	0.288
A000370	21545	house	NC	12	100		-0.462	-0.007
B001305	21708	house	NC	13	200		0.633	-0.076
B001311	21986	house	NC	9	200		0.703	-0.366
M001210	21987	house	NC	3	200		0.485	0.131
C001104	22109	house	NC	11	200		0.555	-0.243
M001135	22135	house	NC	6	100		-0.276	0.348
R000305	22149	house	NC	2	100		-0.381	-0.009
A000377	21901	house	ND	1	200		0.449	0.064
S001177	21996	house	MP	0	100		-0.419	-0.252
K000009	15029	house	OH	9	100		-0.343	0.132
T000463	20342	house	OH	10	200		0.266	0.254
R000577	20343	house	OH	13	100		-0.402	0.208
J000289	20738	house	OH	4	200		0.712	-0.182
L000566	20755	house	OH	5	200		0.509	0.285
F000455	20941	house	OH	11	100		-0.581	0.14
J000292	21162	house	OH	6	200		0.436	0.235
S001187	21163	house	OH	15	200		0.3	0.269
G000563	21165	house	OH	7	200		0.484	0.284
W000815	21351	house	OH	2	200		0.527	0.289
B001281	21352	house	OH	3	100		-0.436	0.015
J000295	21353	house	OH	14	200		0.252	0.315
D000626	21564	house	OH	8	200		0.654	-0.362
B001306	21759	house	OH	12	200		0.46	0.194
G000588	21924	house	OH	16	200		0.24	0.315
B001313	22161	house	OH	11	100		-0.453	-0.114
C001126	22162	house	OH	15	200		0.407	0.006
C000266	29550	house	OH	1	200		0.542	-0.137
C001053	20344	house	OK	4	200		0.323	0.412
M001190	21355	house	OK	2	200		0.533	0.252
H001082	21760	house	OK	1	200		0.68	-0.054
B000740	22102	house	OK	5	200		0.412	0.326
L000491	29393	house	OK	3	200		0.361	0.452
D000191	15410	house	OR	4	100		-0.427	-0.002
S001180	20944	house	OR	5	100		-0.182	0.054
B001278	21198	house	OR	1	100		-0.399	-0.417
B000668	22101	house	OR	2	200		0.478	0.263
B000574	29588	house	OR	3	100		-0.426	-0.626
T000467	20946	house	PA	15	200		0.335	0.335
K000376	21167	house	PA	16	200		0.377	0.396
P000605	21356	house	PA	10	200		0.684	-0.485
C001090	21358	house	PA	8	100		-0.344	0.042
B001296	21548	house	PA	2	100		-0.382	0.153
E000296	21566	house	PA	3	100		-0.469	-0.154
F000466	21718	house	PA	1	200		0.14	-0.104
S001199	21745	house	PA	11	200		0.453	0.136
L000588	21756	house	PA	17	100		-0.143	0.212
S001205	21762	house	PA	5	100		-0.452	-0.211
W000826	21763	house	PA	7	100		-0.261	0.305
D000631	21915	house	PA	4	100		-0.451	-0.069
H001085	21934	house	PA	6	100		-0.259	0.222
J000302	21936	house	PA	13	200		0.579	-0.028
M001204	21945	house	PA	9	200		0.492	0.197
R000610	21956	house	PA	14	200		0.444	0.057
K000395	21985	house	PA	12	200		0.498	0.171
D000482	29561	house	PA	18	100		-0.331	0.099
G000582	21992	house	PR	0	200		0.221	0.456
L000559	20136	house	RI	2	100		-0.375	0.114
C001084	21172	house	RI	1	100		-0.389	-0.262
W000795	20138	house	SC	2	200		0.53	0.16
D000615	21174	house	SC	3	200		0.695	-0.095
R000597	21359	house	SC	7	200		0.558	-0.217
N000190	21753	house	SC	5	200		0.849	-0.384
T000480	21974	house	SC	4	200		0.598	0.05
M000194	22132	house	SC	1	200		0.341	-0.287
C000537	39301	house	SC	6	100		-0.467	0.245
J000301	21935	house	SD	1	200		0.465	0.141
C000754	15019	house	TN	5	100		-0.164	-0.033
C001068	20748	house	TN	9	100		-0.39	-0.294
F000459	21178	house	TN	3	200		0.432	0.393
D000616	21179	house	TN	4	200		0.578	-0.047
K000392	21731	house	TN	8	200		0.542	0.345
B001309	21905	house	TN	2	200		0.666	-0.432
G000590	21926	house	TN	7	200		0.671	0.018
R000612	21959	house	TN	6	200		0.665	0.122
H001086	22122	house	TN	1	200		0.672	-0.094
B001248	20355	house	TX	26	200		0.565	-0.164
C001051	20356	house	TX	31	200		0.486	0.553
G000552	20527	house	TX	1	200		0.644	-0.406
G000553	20529	house	TX	9	100		-0.447	0.262
M001157	20530	house	TX	10	200		0.411	0.172
C001063	20533	house	TX	28	100		-0.225	0.633
W000814	21360	house	TX	14	200		0.72	0.025
C001091	21362	house	TX	20	100		-0.4	-0.125
W000816	21364	house	TX	25	200		0.594	0.057
V000131	21365	house	TX	33	100		-0.407	0.356
V000132	21366	house	TX	34	100		-0.311	0.407
B001291	21551	house	TX	36	200		0.709	0.117
A000375	21700	house	TX	19	200		0.642	-0.002
G000581	21722	house	TX	15	100		-0.384	0.843
C001115	21758	house	TX	27	200		0.69	-0.365
A000376	21900	house	TX	32	100		-0.422	0.723
C001120	21911	house	TX	2	200		0.434	0.274
E000299	21917	house	TX	16	100		-0.473	-0.274
F000468	21919	house	TX	7	100		-0.514	0.858
G000587	21922	house	TX	29	100		-0.783	0.319
G000589	21925	house	TX	5	200		0.721	-0.044
R000614	21961	house	TX	21	200		0.8	-0.6
T000479	21973	house	TX	3	200		0.581	-0.223
W000827	21984	house	TX	6	200		0.711	-0.09
F000246	22112	house	TX	4	200		0.714	0.126
G000594	22119	house	TX	23	200		0.341	0.234
J000304	22125	house	TX	13	200		0.785	0.16
N000026	22143	house	TX	22	200		0.609	-0.247
P000048	22147	house	TX	11	200		0.633	0.374
V000134	22155	house	TX	24	200		0.603	-0.001
E000071	22160	house	TX	6	200		0.514	0.695
F000473	22165	house	TX	34	200		0.336	0.623
D000399	29571	house	TX	35	100		-0.403	-0.331
J000032	29573	house	TX	18	100		-0.459	0.121
S000250	29759	house	TX	17	200		0.584	0.173
B000755	29760	house	TX	8	200		0.52	0.239
G000377	29762	house	TX	12	200		0.403	0.243
J000126	39305	house	TX	30	100		-0.485	0.198
S001192	21367	house	UT	2	200		0.499	0.167
C001114	21755	house	UT	3	200		0.449	0.115
M001213	22141	house	UT	1	200		0.365	0.323
O000086	22146	house	UT	4	200		0.452	0.162
W000800	20750	house	VT	1	100		-0.407	-0.383
P000610	21994	house	VI	0	100		-0.451	0.506
W000804	20756	house	VA	1	200		0.448	0.022
C001078	20952	house	VA	11	100		-0.309	-0.047
G000568	21191	house	VA	9	200		0.512	-0.342
B001292	21554	house	VA	8	100		-0.394	-0.102
M001200	21736	house	VA	4	100		-0.381	-0.017
C001118	21908	house	VA	6	200		0.717	-0.205
L000591	21941	house	VA	2	100		-0.206	0.426
S001209	21966	house	VA	7	100		-0.196	0.3
W000825	21983	house	VA	10	100		-0.384	0.302
G000595	22120	house	VA	5	200		0.8	-0.6
S000185	39307	house	VA	3	100		-0.45	-0.003
L000560	20145	house	WA	2	100		-0.365	0.163
M001159	20535	house	WA	5	200		0.436	0.098
H001056	21187	house	WA	3	200		0.336	-0.129
K000381	21368	house	WA	6	100		-0.316	0.005
N000189	21556	house	WA	4	200		0.318	0.328
J000298	21726	house	WA	7	100		-0.62	-0.552
S001216	21962	house	WA	8	100		-0.287	0.413
S001159	22153	house	WA	10	100		-0.446	0.36
S000510	29768	house	WA	9	100		-0.291	-0.166
D000617	31101	house	WA	1	100		-0.293	-0.203
M001180	21188	house	WV	1	200		0.3	0.178
M001195	21557	house	WV	2	200		0.568	-0.241
M001205	21946	house	WV	3	200		0.526	0.112
M001160	20537	house	WI	4	100		-0.522	-0.271
P000607	21370	house	WI	2	100		-0.524	-0.552
G000576	21559	house	WI	6	200		0.598	-0.204
G000579	21720	house	WI	8	200		0.437	0.033
S001213	21970	house	WI	1	200		0.417	0.064
T000165	21989	house	WI	7	200		0.641	-0.253
F000471	22115	house	WI	5	200		0.598	0.079
K000188	29769	house	WI	3	100		-0.26	-0.08
C001109	21710	house	WY	1	200		0.405	0.82
T000278	42102	senate	AL	0	200		0.936	-0.352
S000320	94659	senate	AL	0	200		0.446	0.57
M001153	40300	senate	AK	0	200		0.204	-0.304
S001198	41500	senate	AK	0	200		0.476	0.158
S001191	21300	senate	AZ	0	100		-0.105	0.076
K000377	41905	senate	AZ	0	100		-0.257	0.293
B001236	20101	senate	AR	0	200		0.427	0.338
C001095	21301	senate	AR	0	200		0.58	0.195
H001075	41701	senate	CA	0	100		-0.709	-0.105
P000145	42104	senate	CA	0	100		-0.422	-0.265
F000062	49300	senate	CA	0	100		-0.268	-0.184
B001267	40910	senate	CO	0	100		-0.236	-0.185
H000273	42101	senate	CO	0	100		-0.263	-0.042
M001169	20707	senate	CT	0	100		-0.284	-0.248
B001277	41101	senate	CT	0	100		-0.433	-0.164
C000174	15015	senate	DE	0	100		-0.179	-0.225
C001088	40916	senate	DE	0	100		-0.236	-0.219
R000595	41102	senate	FL	0	200		0.616	-0.184
S001217	41903	senate	FL	0	200		0.717	-0.023
L000594	41904	senate	GA	0	200		0.555	-0.203
O000174	42103	senate	GA	0	100		-0.454	0.46
W000790	42105	senate	GA	0	100		-0.418	0.401
H001042	20713	senate	HI	0	100		-0.515	-0.097
S001194	41112	senate	HI	0	100		-0.447	-0.11
C000880	29345	senate	ID	0	200		0.504	0.291
R000584	40902	senate	ID	0	200		0.551	0.384
D000563	15021	senate	IL	0	100		-0.345	-0.306
D000622	21325	senate	IL	0	100		-0.343	0.061
