organization,pacs,honoree,date,amount_usd
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),Rep. Julie Fedorchak,2025-03-21,2000.00
ASSOCIATED EQUIPMENT DISTRIBUTORS,"ASSOCIATED EQUIPMENT DISTRIBUTORS PAC (AED PAC), C00010124",Julie Fedorchak ND-1 US House,2025-03-27,2500.00
"MOLINA HEALTHCARE, INC.",Molina PAC,JulieFedorchak,2025-03-12,2000.00
FLORIDA SUGAR CANE LEAGUE,Florida Sugar Cane League PAC,Congresswoman Julie Fedorchak,2025-04-15,1000.00
REGIONS FINANCIAL CORP,Regions Financial Corporation Political Action Committee,Rep Julie Fedorchak,2025-02-21,2000.00
WIRELESS INFRASTRUCTURE ASSOCIATION,Wireless Infrastructure Association PAC,Rep. Julie Fedorchak,2025-02-14,1000.00
AMERICAN CHEMISTRY COUNCIL,American Chemistry Council PAC,Rep. Julie Fedorchak,2025-03-19,1000.00
"CROSSROADS STRATEGIES, LLC",,Rep. Julie Fedorchak,2025-03-12,1000.00
AMERICAN LAND TITLE ASSOCIATION,American Land Title Association Title Industry PAC (TIPAC),Rep. Julie Fedorchak,2025-03-27,5000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Julie Fedorchak,2025-06-18,2500.00
"THE WILLIAMS COMPANIES, INC.","The Williams Companies, Inc. Political Action Committee",Rep. Julie Fedorchak,2025-06-23,1000.00
"THE WILLIAMS COMPANIES, INC.","The Williams Companies, Inc. Political Action Committee",Rep. Julie Fedorchak,2025-06-16,1000.00
"THE WILLIAMS COMPANIES, INC.","The Williams Companies, Inc. Political Action Committee",Rep. Julie Fedorchak,2025-06-13,-1000.00
"THE WILLIAMS COMPANIES, INC.","The Williams Companies, Inc. Political Action Committee",Rep. Julie Fedorchak,2025-03-04,1000.00
AMERICAN SOYBEAN ASSOCIATION,American Soybean Association PAC (SoyPAC),Julie Fedorchak,2025-05-01,1000.00
NATIONAL CORN GROWERS ASSN,National Corn Growers Association PAC (CornPAC),Rep. Julie Fedorchak,2025-01-29,1000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Julie Fedorchak,2025-01-22,5000.00
INTERNATIONAL FRANCHISE ASSOCIATION,International Franchise Association Franchising Political Action Committee Inc,Julie Fedorchak,2025-06-20,1000.00
VENABLE LLP,VENABLE PAC (VEN-PAC),Rep. Julie Fedorchak,2025-06-30,2500.00
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,IUPAT Political Action Together Political Committee,"Fedorchak, Julie",2025-05-22,5000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Julie Fedorchak,2025-03-26,1000.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,Rep. Julie Fedorchak,2025-03-26,2500.00
PACIFIC GAS AND ELECTRIC COMPANY,PG&E Corporation Employees EnergyPAC,Rep. Julie Fedorchak,2025-03-19,1000.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Fedorchak For ND,2025-03-27,2500.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Fedorchak For ND,2025-06-18,2000.00
GE VERNOVA INTERNATIONAL LLC,GE Vernova Inc. Political Action Committee,Rep. Julie Fedorchak,2025-03-14,1000.00
ZURICH,"Zurich Holding Company Of America, Inc. Committee For Good Government (Z-PAC, Zurich PAC)",Julie Fedorchak,2025-06-18,1000.00
CAPITOL COUNSEL LLC,,Rep. Julie Fedorchak (R-ND At-Large),2025-03-31,500.00
NATIONAL BEER WHOLESALERS ASSOCIATION,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep Julie Fedorchak,2025-06-19,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Ms. Julie Fedorchak,2025-06-24,5000.00
EATON CORPORATION,National Electrical Manufacturers Association PAC (NEMAPAC),Rep. Julie Fedorchak,2025-04-29,1000.00
CHAMBER OF COMMERCE OF THE U.S.A.,U.S. Chamber PAC,Julie Fedorchak,2025-02-24,2500.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Rep. Julie Fedorchak,2025-03-26,1000.00
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),Rep. Julie Fedorchak,2025-06-29,2000.00
INVENERGY LLC,Invenergy LLC PAC,"Fedorchak, Julie",2025-04-08,1000.00
"EXELON BUSINESS SERVICES, LLC",EXELON CORPORATION POLITICAL ACTION COMMITTEE,Rep. Julie Fedorchak,2025-03-03,1000.00
BLOOM ENERGY,BLOOM ENERGY CORPORATION PAC (BE PAC),REP. JULIE FEDORCHAK,2025-03-25,1000.00
CATERPILLAR INC.,Caterpillar Inc. Political Action Committee (CATPAC),Julie Fedorchak,2025-05-06,2500.00
CATERPILLAR INC.,Caterpillar Inc. Political Action Committee (CATPAC),Julie Fedorchak,2025-06-27,2500.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Fedorchak For Nd,2025-02-24,1000.00
"ENTERPRISE HOLDINGS, INC. DBA ENTERPRISE MOBILITY","Enterprise Holdings, Inc. / Enterprise Mobility Political Action Committee",Julie Fedorchak,2025-06-24,1000.00
ARNOLD & PORTER KAYE SCHOLER LLP,Arnold & Porter Kaye Scholer LLP Partners PAC,Rep. Julie Fedorchak (R-ND),2025-06-26,2500.00
"CF INDUSTRIES, INC.","CF INDUSTRIES, INC. EMPLOYEES' GOOD GOVERNMENT FUND",Julie Fedorchak,2025-06-12,1100.00
"MINDSET ADVOCACY, LLC",,Rep. Julie Fedorchak,2025-03-31,500.00
AMERICAN GAS ASSOCIATION,American Gas Association Political Action Committee,Rep. Julie Fedorchak (R),2025-03-22,2500.00
AMERICAN OPTOMETRIC ASSOCIATION,AOA-PAC,Congresswoman Julie Fedorchak,2025-02-24,2000.00
