organization,pacs,honoree,date,amount_usd
"REPUBLIC CONSULTANTS, LLC",,Friends of Jimmy Patronis,2025-01-04,3300.00
"REPUBLIC CONSULTANTS, LLC",,Jimmy Patronis,2025-01-04,3300.00
"HDR, INC",HDR Employee Owners PAC,Jimmy Patronis,2025-01-17,1000.00
NATIONAL ASSOCIATION OF HOME BUILDERS,Build Political Action Committee of the National Association of Home Builders (BUILDPAC),"Rep. Jimmy Patronis, Jr.",2025-03-06,2500.00
MCGUIREWOODS LLP,McGuireWoods Federal PAC,Jimmy Patronis,2025-03-13,1000.00
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,FIREPAC,Jimmy Patronis,2025-06-11,2500.00
MANATOS & MANATOS,,Jimmy Patronis,2025-03-15,500.00
NATIONAL RIFLE ASSOCIATION OF AMERICA,National Rifle Association of America Political Victory Fund,"Patronis, Jimmy",2025-02-03,1000.00
GRAYROBINSON PA,,Jimmy Patronis,2025-02-14,500.00
"WOOLPERT, INC.",WOOLPERT INC PAC,Rep Jimmy Patronis Jr,2025-01-10,5000.00
"WOOLPERT, INC.",WOOLPERT INC PAC,Rep Jimmy Patronis Jr,2025-02-21,5000.00
