organization,pacs,honoree,date,amount_usd
NATIONAL ROOFING CONTRACTORS ASSOCIATION,National Roofing Contractors Association ROOF PAC,Rep. Norma Torres,2025-03-25,1000.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Torres, Ritchie",2025-05-19,2500.00
AFLAC INCORPORATED,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Rep. Ritchie Torres,2025-06-24,2500.00
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A),John Hancock Life Insurance Company (USA) Federal PAC,Representative Ritchie Torres,2025-05-27,1000.00
"CITIGROUP WASHINGTON, INC.",Citigroup Inc. PAC - Federal (Citi PAC - Federal),Ritchie Torres,2025-02-27,2000.00
"CITIGROUP WASHINGTON, INC.",Citigroup Inc. PAC - Federal (Citi PAC - Federal),Ritchie Torres,2025-04-03,1000.00
"PATHWARD, N.A.","Pathward, N.A. Political Action Committee",Torres for Congress,2025-05-14,1500.00
"FERRING PHARMACEUTICALS, INC.",,"The Honorable Debbie Dingell, The Honorable Richard Hudson, The Honorable Cynthia Lummis, The Honorable Ritchie Torres, The Honorable Ben Ray Lujan",2025-05-06,100000.00
THE PNC FINANCIAL SERVICES GROUP,BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP INC PNC PAC; FEDERAL Bipartisan Voluntary Public Affairs Committee of The PNC Financial Services Group Inc PNC,Rep Ritchie Torres,2025-06-02,2500.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Norma Torres,2025-02-07,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Norma Torres,2025-02-26,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Norma Torres,2025-05-14,1000.00
"PATHWARD, N.A.","Pathward, N.A. Political Action Committee",Ritchie Torres,2025-05-14,1500.00
AMERICAN LAND TITLE ASSOCIATION,American Land Title Association Title Industry PAC (TIPAC),Rep. Ritchie Torres,2025-03-27,5000.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,Rep. Norma Torres (D-CA),2025-06-25,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Norma Torres,2025-02-04,2500.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Ritchie Torres,2025-03-25,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Norma Torres,2025-06-18,2500.00
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,NAIFAPAC,"Torres, Ritchie",2025-05-21,2500.00
BARCLAYS US GPF INC.,Barclays Group US Inc. Political Action Committee,Ritchie Torres,2025-06-17,5000.00
"RBC CAPITAL MARKETS, LLC",RBC USA Holdco Corporation Federal PAC,Rep. Ritchie Torres,2025-05-23,1000.00
"NVG, LLC",,"Rep Mark Takano, Rep Ritchie Torres",2025-06-02,500.00
FINANCIAL SERVICES INSTITUTE,FINANCIAL SERVICES INSTITUTE PAC,Ritchie Torres,2025-05-28,10000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Norma Torres,2025-06-24,2500.00
APPRAISAL INSTITUTE,Appraisal Institute PAC (AI PAC),Ritchie Torres,2025-04-11,1500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Ritchie Torres,2025-03-19,5000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Norma Torres,2025-02-20,2500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Norma Torres,2025-06-18,1000.00
M&T BANK CORPORATION,M&T Bank and Wilmington Trust PAC,Ritchie Torres,2025-03-21,2500.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman Ritchie Torres,2025-01-13,-2500.00
EDISON INTERNATIONAL,EDISON INTERNATIONAL PAC,NORMA TORRES,2025-02-18,2500.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Torres for Congress,2025-04-22,5000.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Torres for Congress,2025-06-18,5000.00
BANK OF AMERICA CORPORATION,Bank of America Corporation Federal PAC; Bank of America Corporation State and Federal PAC,Ritchie Torres,2025-05-14,2500.00
WELLS FARGO & COMPANY,Wells Fargo and Company Employee PAC (aka Wells Fargo Employee PAC); Wells Fargo and Company Employees Good Government Federal Fund II,Rep. Ritchie Torres,2025-06-25,1500.00
WELLS FARGO & COMPANY,Wells Fargo and Company Employee PAC (aka Wells Fargo Employee PAC); Wells Fargo and Company Employees Good Government Federal Fund II,Rep. Norma Torres,2025-05-30,1000.00
"AMERICAN AIRLINES, INC.",American Airlines Inc. Political Action Committee (AAPAC),Rep. Norma Torres,2025-05-01,1000.00
AMERICAN FEDERATION OF TEACHERS,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION (AFTCOPE)",Representative Norma Torres,2025-03-27,5000.00
AMERICAN FEDERATION OF TEACHERS,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION (AFTCOPE)",Representative Ritchie John Torres,2025-06-03,5000.00
ZURICH,"Zurich Holding Company Of America, Inc. Committee For Good Government (Z-PAC, Zurich PAC)",Ritchie Torres,2025-06-04,5000.00
INSURED RETIREMENT INSTITUTE,Insured Retirement Institute Political Action Committee (IRI PAC),Rep. Ritchie Torres,2025-06-24,1000.00
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL & TRANSPORTATION WORKERS",Int'l Assoc of Sheet Metal Air Rail &Transportation Workers,Norma Torres,2025-03-24,2500.00
AMERICAN PHYSICAL THERAPY ASSOCIATION,American Physical Therapy Association Physical Therapy PAC,Congresswoman Norma Torres,2025-03-11,1000.00
"REINSURANCE GROUP OF AMERICA, INCORPORATED",RGA Reinsurance Company Federal PAC,Ritchie Torres,2025-05-21,1000.00
BGR GOVERNMENT AFFAIRS,,Norma Torres,2025-06-24,500.00
AMERICAN FINANCIAL SERVICES ASSOCIATION,American Financial Services Association PAC,Ritchie Torres,2025-06-16,1000.00
BGR GOVERNMENT AFFAIRS,,Norma Torres,2025-06-24,1000.00
BGR GOVERNMENT AFFAIRS,,Norma Torres,2025-06-09,500.00
BGR GOVERNMENT AFFAIRS,,Norma Torres,2025-06-17,500.00
AMERICAN INVESTMENT COUNCIL F/K/A PEGCC,American Investment Council Political Action Committee- AIC,"Torres, Ritchie",2025-06-23,2000.00
"MINDSET ADVOCACY, LLC",,Richie Torres,2025-06-17,1000.00
SOLANA POLICY INSTITUTE,,Rep. Ritchie Torres,2025-05-21,3500.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Torres, Norma",2025-04-14,2500.00
CAPITAL ONE FINANCIAL CORPORATION,Capital One Financial Corp. Assoc. Political Fund,Ritchie Torres,2025-05-06,5000.00
"ALASKA AIRLINES, INC.",Alaska Air Group PAC,Rep. Norma Torres,2025-02-25,1000.00
"DELTA AIR LINES, INC.",Delta Air Lines PAC,Rep. Norma Torres,2025-06-26,1000.00
COMMERCIAL REAL ESTATE FINANCE COUNCIL,Commercial Real Estate Finance Council Political Action Committee,Torres for Congress,2025-04-22,2500.00
NATIONAL EDUCATION ASSOCIATION,NEA Fund for Children and Public Education,Norma Torres,2025-03-20,2000.00
NATIONAL EDUCATION ASSOCIATION,NEA Fund for Children and Public Education,Ritchie Torres,2025-06-18,2000.00
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),Rep. Ritchie Torres,2025-06-26,1000.00
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),Rep. Norma Torres,2025-06-26,1000.00
NATIONWIDE MUTUAL INSURANCE COMPANY,Nationwide Mutual Insurance Company Financial & Investments Political Action Committee,Rep. Ritchie Torres,2025-05-14,1000.00
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,The Northwestern Mutual Life Insurance Company Federal Political Action Committee,Rep. Ritchie Torres (D),2025-05-29,1000.00
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO",Transport Workers Union of America Political Contributions Committee,Ritchie Torres,2025-02-21,5000.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. Norma Torres,2025-02-18,1000.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Norma Torres For Congress,2025-06-02,2500.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Rep. Norma Torres,2025-02-27,2500.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Rep. Norma Torres,2025-06-25,2500.00
"INT'L. ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL & REINFORCING IRON WORKERS",Iron Workers Political Action League; Ironworkers Political Education Fund,Rep. Norma Torres,2025-03-25,1000.00
"KADESH & ASSOCIATES, LLC",,Norma Torres,2025-03-25,1000.00
HOLLAND & KNIGHT LLP,Holland & Knight Committee for Effective Government,Rep. Norma Torres,2025-06-04,1000.00
AMERICAN ASSOCIATION FOR JUSTICE,American Association for Justice Political Action Committee,Rep. Ritchie Torres,2025-06-27,2500.00
AMERICAN ASSOCIATION FOR JUSTICE,American Association for Justice Political Action Committee,Rep. Norma Torres,2025-02-27,2500.00
MICROSOFT CORPORATION,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,Rep. Norma Torres,2025-04-07,1000.00
MICROSOFT CORPORATION,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,"Rep. Adriano Espaillat, Rep. Darren Soto, Rep. Sylvia Garcia, Rep. Robert Menendez Jr, Rep. Norma Torres, Rep. Joaquin Castro, Rep. Andrea Salinas, Gilbert Ray Cisneros Jr.",2025-04-16,75000.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Norma Torres,2025-06-23,2500.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Ritchie Torres,2025-06-23,2500.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Norma Torres,2025-03-14,2500.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Ritchie Torres,2025-03-14,2500.00
"PRUDENTIAL FINANCIAL, INC.",Prudential Financial Inc Federal Political Action Committee; Prudential Financial Inc State & Federal Political Action Committee,"Torres, Ritchie",2025-05-20,2500.00
UNIVERSAL MUSIC GROUP,Universal Music Group Employee Action Fund,Ritchie Torres,2025-06-17,1000.00
