organization,pacs,honoree,date,amount_usd
HONIGMAN LLP,,Hon. Bill Huizenga,2025-06-12,250.00
"NASDAQ, INC.","Nasdaq, Inc. PAC",Rep. Bill Huizenga,2025-05-06,5000.00
"K&L GATES, LLP",K&L Gates PAC,Congressman Bill Huizenga,2025-06-24,1500.00
"K&L GATES, LLP",K&L Gates PAC,Congressman Bill Huizenga,2025-03-26,2500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Huizenga, Bill",2025-06-10,5000.00
THORSEN FRENCH ADVOCACY LLC,,U.S. Representative Bill Huizenga,2025-04-01,500.00
"MEHLMAN CONSULTING, INC.",,Rep. Bill Huizenga,2025-06-16,1000.00
INVARIANT LLC,,Congressman Bill Huizenga,2025-06-30,1000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Bill Huizenga,2025-02-10,5000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Bill Huizenga,2025-02-28,5000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Bill Huizenga,2025-03-19,5000.00
PACIFIC LIFE INSURANCE COMPANY,Pacific Life Political Action Committee,Rep. Bill Huizenga,2025-06-26,2500.00
FINANCIAL SERVICES FORUM,Financial Services Forum PAC,Bill Huizenga,2025-03-27,1000.00
THE OPTIONS CLEARING CORPORATION,Options Clearing Corporation PAC,Congressman Bill Huizenga,2025-06-23,5000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Bill Huizenga,2025-06-23,2500.00
DYKEMA GOSSETT PLLC,Dykema Gossett Federal PAC,Representative William Huizenga,2025-02-27,2000.00
DYKEMA GOSSETT PLLC,Dykema Gossett Federal PAC,Representative William Huizenga,2025-06-19,2000.00
ROCKET LP FKA RKT HOLDINGS,Rocket PAC,Representative William Huizenga,2025-03-25,5000.00
"THE CAPITAL GROUP COMPANIES, INC. AND ITS AFFILIATES",The Capital Group Companies Inc Political Action Committee,Rep Bill Huizenga,2025-02-27,5000.00
HEINEKEN USA,HEINEKEN USA INC GOOD GOVERNMENT FUND,Rep Bill Huizenga,2025-06-24,1000.00
"THE TRAVELERS COS., INC. AND SUBSIDIARIES","The Travelers Companies, Inc. Political Action Committee (T-PAC)",Bill Huizenga,2025-02-07,3000.00
"THE TRAVELERS COS., INC. AND SUBSIDIARIES","The Travelers Companies, Inc. Political Action Committee (T-PAC)",Bill Huizenga,2025-05-28,2000.00
"THE TRAVELERS COS., INC. AND SUBSIDIARIES","The Travelers Companies, Inc. Political Action Committee (T-PAC)",Bill Huizenga,2025-06-11,500.00
TRANS UNION LLC,TRANSUNION POLITICAL ACTION COMMITTEE (TU PAC),Rep. Bill Huizenga,2025-06-11,5000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Huizenga, Bill",2025-02-24,5000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Huizenga, Bill",2025-03-06,5000.00
