organization,pacs,honoree,date,amount_usd
RYAN COSTELLO STRATEGIES,,Congressman David Joyce,2025-03-31,1000.00
RYAN COSTELLO STRATEGIES,Sheeder Leadership PAC,Congressman Dave Joyce,2025-03-31,1000.00
EMPIRE CONSULTING GROUP,,Rep. Joyce Beatty,2025-03-25,1500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Joyce Beatty,2025-03-20,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Dave Joyce,2025-03-19,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Joyce Beatty,2025-06-27,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. John Joyce,2025-06-24,3500.00
HONEYWELL INTERNATIONAL,Honeywell International PAC,Rep. John Joyce,2025-06-23,500.00
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,Associated General Contractors of America Political Action C,"Joyce, Dave",2025-06-24,1000.00
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,Medical Professional Liability Association PAC (MPL PAC),Cong. John Joyce,2025-05-14,1000.00
"MELTSNER STRATEGIES, LLC",,The Honorable David Joyce,2025-03-13,500.00
THE LUBRIZOL CORPORATION,The Lubrizol Corporation Employees PAC,Rep. David Joyce,2025-06-02,2500.00
"VILLAGE PRACTICE MANAGEMENT COMPANY HOLDINGS, LLC",VillageMD PAC,U.S. Representative John Joyce,2025-03-26,1000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Beatty, Joyce",2025-03-11,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Beatty, Joyce",2025-05-07,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Joyce, Dave",2025-06-24,1000.00
