organization,pacs,honoree,date,amount_usd
UNITED SERVICES AUTOMOBILE ASSOCIATION,United Services Automobile Association Employee PAC - USAA EMPLOYEE PAC,Rep. Troy Downing,2025-03-24,2500.00
INSTITUTE FOR PORTFOLIO ALTERNATIVES FORMERLY INVESTMENT PROGRAM ASSOCIATION,INSTITUTE FOR PORTFOLIO ALTERNATIVES PAC (IPA PAC),Troy Downing,2025-02-06,2500.00
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,The Northwestern Mutual Life Insurance Company Federal Political Action Committee,Rep. Troy Downing (R),2025-02-18,1000.00
S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),S&P Global Inc. Political Action Committee,"Representatives Troy Downing, Sean Casten",2025-06-25,5000.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Troy Downing For Congress,2025-02-24,1000.00
FAEGRE DRINKER BIDDLE & REATH LLP,Wholesale & Specialty Insurance Association PAC,Troy Downing,2025-06-17,5000.00
LPL FINANCIAL,LPL Financial LLC Political Action Committee LPL PAC,Rep Troy Downing,2025-03-26,1000.00
NORTHERN TRUST CORPORATION,Northern Trust Corporation Federal Political Action Committee; Northern Trust Corporation Political Action Committee,Rep. Troy Downing,2025-03-18,1000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Troy Downing,2025-03-19,2000.00
"PRUDENTIAL FINANCIAL, INC.",Prudential Financial Inc Federal Political Action Committee; Prudential Financial Inc State & Federal Political Action Committee,"Downing, Troy",2025-03-11,1000.00
CHS INC.,,Troy Downing,2025-06-24,2500.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Downing, Troy",2025-05-07,1000.00
JPMORGAN CHASE HOLDINGS LLC,JPMorgan Chase & Co. Federal Political Action Committee; JPMorgan Chase & Co. PAC,Rep. Troy Downing,2025-02-27,1000.00
PWC US GROUP LLP,PricewaterhouseCoopers PAC,Rep. Troy Downing (R),2025-01-24,2500.00
PWC US GROUP LLP,PricewaterhouseCoopers PAC,Rep. Troy Downing (R),2025-03-14,2000.00
ACA INTERNATIONAL,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE,Rep Troy Downing,2025-05-08,1000.00
MELLON FINANCIAL SERVICES CORPORATION #1,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC; POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION-FEDERAL(BNY MELLON-FED),Rep. Troy Downing,2025-05-20,2500.00
DELOITTE LLP,Deloitte Political Action Committee,Troy Downing,2025-01-24,2500.00
DELOITTE LLP,Deloitte Political Action Committee,Troy Downing,2025-05-06,2500.00
FORBES-TATE,,Troy Downing,2025-06-23,1000.00
THE HOME DEPOT,The Home Depot Inc. Political Action Committee,"Downing, Troy",2025-06-24,2500.00
MORTGAGE BANKERS ASSOCIATION,Mortgage Bankers Association Political Action Committee MORPAC,Rep Troy Downing,2025-06-26,2000.00
SPACE EXPLORATION TECHNOLOGIES,Space Exploration Technologies Corp PAC,Rep Troy Downing,2025-03-28,2500.00
SMALL BUSINESS INVESTOR ALLIANCE,Small Business Investor Alliance PAC,Rep. Troy Downing,2025-03-14,1000.00
NATIONAL CATTLEMEN'S BEEF ASSOCIATION,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),Troy Downing,2025-03-03,5000.00
CONSUMER BANKERS ASSOCIATION,Consumer Bankers Association PAC,Troy Downing,2025-06-26,1000.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Troy Downing,2025-03-05,500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Troy Downing,2025-02-26,1000.00
CONTINENTAL CASUALTY COMPANY,CNA FINANCIAL CORPORATION CITIZENS FOR GOOD GOVERNMENT,U.S. Rep. Troy Downing,2025-02-18,2500.00
CONTINENTAL CASUALTY COMPANY,CNA FINANCIAL CORPORATION CITIZENS FOR GOOD GOVERNMENT,U.S. Rep. Troy Downing,2025-03-19,2500.00
NOMURA HOLDING AMERICA INC.,,Representative Troy Downing,2025-03-31,1000.00
LIBERTY MUTUAL GROUP,Liberty Mutual Insurance Company - PAC,Rep. Troy Downing,2025-03-25,1000.00
STATE STREET BANK AND TRUST COMPANY AND ITS AFFILIATES,State Street Bank and Trust Company Voluntary PAC,Rep. Troy Downing,2025-06-24,1000.00
SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION,Securities Industry and Financial Markets Association PAC,Troy Downing,2025-06-24,1000.00
BMO BANK N.A. (FKA BMO HARRIS BANK N.A.),BMO Financial Corp Good Governance Fund: Federal,Rep. Troy Downing,2025-03-14,1000.00
U.S. BANCORP (FORMERLY FILED AS U.S. BANK),US Bancorp Federal Political Action Committee; US Bancorp Political Participation Program,Rep Troy Downing,2025-03-17,1000.00
