organization,pacs,honoree,date,amount_usd
CAPITOL HILL PARTNERS,,Tim Walberg,2025-03-04,1000.00
CAREER EDUCATION COLLEGES & UNIVERSITIES (FKA ASS'N OF PRIVATE SECTOR COLLEGES A,Career Education Colleges & Universities PAC,Representative Tim Walberg (R-MI-7),2025-02-28,2500.00
NATIONAL ASSOCIATION OF WHOLESALER-DISTRIBUTORS,NAW Political Action Committee,Rep. Timothy Walberg,2025-02-11,2500.00
CATERPILLAR INC.,Caterpillar Inc. Political Action Committee (CATPAC),Timothy Walberg,2025-06-27,5000.00
THE CIGNA GROUP AND SUBSIDIARIES (FORMERLY CIGNA CORPORATION AND SUBSIDIARIES),The Cigna Group Employee Political Action Committee,Rep. Tim Walberg,2025-04-21,5000.00
TIAA,TIAA PAC,Timothy Walberg,2025-03-26,5000.00
ADTALEM GLOBAL EDUCATION,Adtalem Global Education Inc Political Action Committee,Rep Tim Walberg,2025-01-24,2500.00
ADTALEM GLOBAL EDUCATION,Adtalem Global Education Inc Political Action Committee,Rep Tim Walberg,2025-02-28,2500.00
VAN SCOYOC ASSOCIATES,,Rep. Tim Walberg,2025-03-31,500.00
"MILLER STRATEGIES, LLC",,Tim Walberg,2025-04-25,2500.00
DTE ENERGY,DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,Rep Tim Walberg,2025-03-25,2500.00
"UNIVERSITY OF PHOENIX, INC.",APOLLO EDUCATION GROUP INC. PAC,Tim Walberg,2025-06-24,5000.00
"UNITEDHEALTH GROUP, INC.","UNITEDHEALTH GROUP, INC.","Walberg, Tim",2025-03-28,2500.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Tim Walberg,2025-03-14,2500.00
NATIONAL ASSOCIATION OF LETTER CARRIERS,Letter Carrier Political Fund,Timothy Walberg,2025-06-27,5000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Tim Walberg,2025-05-21,2000.00
"PRUDENTIAL FINANCIAL, INC.",Prudential Financial Inc Federal Political Action Committee; Prudential Financial Inc State & Federal Political Action Committee,"Walberg, Tim",2025-03-11,2500.00
AMERICAN CEMENT ASSOCIATION (FORMERLY PORTLAND CEMENT ASSOCIATION),American Cement Association (CEMENT PAC),The Honorable Tim Walberg,2025-03-04,1000.00
"NELNET, INC.",Nelnet PAC,Walberg For Congress,2025-02-05,2500.00
NATIONAL CLUB ASSOCIATION,,Congressman Tim Walberg,2025-02-24,1000.00
AMERICAN SOCIETY OF PENSION PROFESSIONALS & ACTUARIES,American Retirement Association PAC(ARA PAC) aka ASPPA/NAPA,Tim Walberg,2025-01-29,5000.00
CMS ENERGY CORP,CMS ENERGY EMPLOYEES FOR BETTER GOVERNMENT,Rep. Tim Walberg,2025-05-16,2500.00
"CARD & ASSOCIATES, LLC",Winning for America PAC,Rep Tim Walberg,2025-05-19,1000.00
JACKSON NATIONAL LIFE INSURANCE COMPANY,Jackson Holdings LLC and Jackson National Life Insurance Company Federal SSF Jackson National Feder; Jackson Holdings LLC and Jackson National Life Insurance Company Separate Segregated Fund Jackson N,Rep Tim Walberg,2025-02-12,5000.00
ITC HOLDINGS CORP.,ITC Holdings Corp. PAC,Hon. Tim Walberg,2025-06-12,2500.00
FARM CREDIT COUNCIL,The Farm Credit Council Political Action Committee,Rep Tim Walberg,2025-06-06,2500.00
FOOD MARKETPLACE INC.,Food Marketplace Inc. Political Action Committee FMI FoodPAC,Rep. Tim Walberg (R),2025-03-12,1000.00
UNUM GROUP,UnumPAC,Tim Walberg (R-MI),2025-02-27,1000.00
NATIONAL RESTAURANT ASSOCIATION,National Restaurant Association PAC (Restaurant PAC),Tim Walberg,2025-02-05,5000.00
INTERNATIONAL FRESH PRODUCE ASSOCIATION (FKA UNITED FRESH PRODUCE ASSOCIATION),International Fresh Produce Association FreshPAC,Tim Walberg,2025-06-04,1000.00
PRIMERICA LIFE INSURANCE COMPANY,Primerica Inc Political Action Committee,U.S. Rep. Tim Walberg,2025-03-20,1000.00
AKIN GUMP STRAUSS HAUER & FELD,AKIN GUMP STRAUSS HAUER & FELD LLP CIVIC ACTION COMMITTEE (AKA AKIN GUMP PAC),"Walberg, Tim",2025-03-07,750.00
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,Massachusetts Mutual Life Insurance Co PAC,"Walberg, Tim",2025-02-24,5000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Tim Walberg,2025-05-02,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Tim Walberg,2025-02-27,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Tim Walberg,2025-06-17,1000.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Tim Walberg,2025-01-27,5000.00
AMAZON.COM SERVICES LLC,Amazon.com Services LLC Separate Segregated Fund (Amazon PAC),Rep. Tim Walberg,2025-03-17,5000.00
ARNOLD & PORTER KAYE SCHOLER LLP,Fraternity & Sorority PAC,Congressman Tim Walberg,2025-03-31,3500.00
ARNOLD & PORTER KAYE SCHOLER LLP,Fraternity & Sorority PAC,Congressman Tim Walberg,2025-03-26,2500.00
THE HOME DEPOT,The Home Depot Inc. Political Action Committee,"Walberg, Timothy",2025-05-02,5000.00
THE HOME DEPOT,The Home Depot Inc. Political Action Committee,"Walberg, Tim",2025-06-24,2500.00
"RUTLEDGE POLICY GROUP, LLC",,Rep. Tim Walberg,2025-01-21,1000.00
"1607 STRATEGIES, LLC",,Tim Walberg,2025-05-08,3500.00
"YC CONSULTING, LLC",,Tim Walberg,2025-03-24,500.00
"NATIONAL STONE, SAND AND GRAVEL ASSOCIATION","National Stone, Sand & Gravel Association ROCKPAC",Rep. Tim Walberg,2025-03-18,5000.00
AMERICAN TRUCKING ASSOCIATIONS,,Rep Tim Walberg,2025-02-24,500.00
NEW CENTURY GOVERNMENT AFFAIRS (F/K/A TERRENCE C. WOLFE),,Rep. Tim Walberg,2025-05-30,1000.00
ULMAN PUBLIC POLICY & FEDERAL RELATIONS,,Representative Tim Walberg,2025-02-25,1000.00
AMERICAN SPORTFISHING ASSOCIATION,American Sportfishing Association Political Action Committee,"Walberg, Timothy",2025-06-24,1000.00
"CARD & ASSOCIATES, LLC",,Rep. Tim Walberg,2025-05-19,1000.00
"PACE, LLP",,Rep. Tim Walberg,2025-02-11,500.00
TRIBUTARY LLP,,Rep. Tim Walberg,2025-02-24,1041.02
