organization,pacs,honoree,date,amount_usd
CONSUMER BRANDS ASSOCIATION (PKA: GROCERY MANUFACTURERS ASSOCIATION),Consumer Brands Association Political Action Committee,SEN. SUSAN COLLINS,2025-03-18,1000.00
HART HEALTH STRATEGIES,,Susan Collins,2025-06-23,1000.00
MR. DOYCE BOESCH,,Collins Victory Committee,2025-03-24,1000.00
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,Medical Professional Liability Association PAC (MPL PAC),Sen. Susan Collins,2025-06-24,1000.00
"MELTSNER STRATEGIES, LLC",,The Honorable Susan Collins,2025-03-03,500.00
"MEHLMAN CONSULTING, INC.",,Sen. Susan Collins,2025-06-04,2000.00
"ICEBREAKER STRATEGIES, LLC",,Susan Collins,2025-05-06,3500.00
"ICEBREAKER STRATEGIES, LLC",,"Susan Collins, Lisa Murkowski, Deb Fischer, Joni Ernst & Shelley Moore Capito",2025-03-05,1000.00
"ICEBREAKER STRATEGIES, LLC",,Susan Collins,2025-05-15,1000.00
NATIONAL CHICKEN COUNCIL,National Chicken Council PAC,Collins for Congress,2025-02-04,2500.00
NATIONAL CHICKEN COUNCIL,National Chicken Council PAC,Collins for Congress,2025-06-28,1000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Collins, Susan",2025-05-29,5000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Mike Collins,2025-05-14,5000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Mike Collins,2025-05-22,5000.00
FIERCE GOVERNMENT RELATIONS,,US Senator Susan Collins,2025-01-08,1000.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Sen. Susan Collins,2025-02-20,2500.00
"MEHLMAN CONSULTING, INC.",,Susan Collins,2025-06-30,1000.00
"ALPINE GROUP PARTNERS, LLC.",,Senator Susan Collins,2025-06-29,200.00
"ALPINE GROUP PARTNERS, LLC.",,Senator Susan Collins,2025-06-29,500.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)","Rep. Mike Collins, Jr.",2025-06-30,4000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)","Rep. Mike Collins, Jr.",2025-03-18,1000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"S Moore Capito, S Collins, J Curtis, J Ernst, J Justice, R Marshall, M Mullin, T Sheehy, T Young, D Bacon, J Baird, T Balderson, A Barr, T Barrett, M Baumgartner, A Bean, C Bentz, S Bice, et al.",2025-02-05,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"S Capito, M Blackburn, V Foxx, C Tenney, E Stefanik, D Fischer, A Wagner, S Collins, J Ernst, A Radewagen, L Murkowski, S Biggs, J Fedorchak, C Maloy, L Lee, E Houchin, K Britt, J Kiggans, et al.",2025-03-25,5000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Senator Susan Collins (R-ME),2025-03-03,250.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Senator Susan Collins (R-ME),2025-03-28,250.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)","Reps. Mike Johnson, Hakeem Jeffries, Sam Graves, Rick Larsen, Julia Letlow, Mike McCaul, and Joyce Beatty. Sens. Thune, Schumer, Whitehouse, Capito, Warner, Van Hollen and Collins",2025-06-28,100000.00
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,State Farm Mutual Automobile Insurance Company Federal Political Action Committee (State Farm Federal PAC),Sen. Susan Collins,2025-05-28,1000.00
"BECTON, DICKINSON AND COMPANY",BD PAC,Sen. Susan Collins (R),2025-03-14,1000.00
"HEALTH CARE SERVICE CORPORATION, A MUTUAL LEGAL RESERVE COMPANY (HCSC)",Health Care Service Corporation Employees Political Action Committee,Sen Susan Collins,2025-03-04,1000.00
ACG ADVOCACY,,U.S. Seantor Susan Collins,2025-06-18,500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Susan Collins,2025-04-29,5000.00
AMERICAN ACADEMY OF PHYSICIAN ASSOCIATES,American Academy of Physician Associates PAC,Sen. Susan Collins,2025-06-16,2500.00
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,INFORMATION TECHNOLOGY INDUSTRY COUNCIL PAC (ITI PAC),SEN. SUSAN COLLINS,2025-06-30,1500.00
THE AFFORDABLE HOUSING TAX CREDIT COALITION,Affordable Housing Tax Credit Coalition PAC,Sen. Susan Collins,2025-03-03,1000.00
STEPTOE LLP,Steptoe PAC,Collins for Senate,2025-04-15,260.25
"TENABLE, INC.",Tenable Inc. Political Action Committee (Tenable PAC),Susan Collins,2025-03-31,1500.00
"TENABLE, INC.",Tenable Inc. Political Action Committee (Tenable PAC),Susan Collins,2025-03-31,3500.00
"THE NICKLES GROUP, LLC",,Rep. Mike Collins,2025-06-23,250.00
"COMMONWEALTH RESEARCH ASSOCIATES, LLC",,Rep. Mike Collins,2025-03-24,1000.00
NATIONAL FOOTBALL LEAGUE,GridironPAC,Sen Susan Collins,2025-06-09,2500.00
