organization,pacs,honoree,date,amount_usd
"BIRCH, HORTON, BITTNER & CHEROT",MURKOWSKI LPAC 1,Representative Nick Begich,2025-04-23,500.00
"BIRCH, HORTON, BITTNER & CHEROT",MURKOWSKI LPAC 1,"Rep. Nick Begich, Jr.",2025-06-26,500.00
"COINBASE, INC.","Coinbase, Inc. Innovation PAC",Rep. Nick Begich,2025-03-25,1500.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Nick Begich,2025-06-03,5000.00
MICHAEL R. PAWLOWSKI,,The Honorable Nick Begich,2025-03-25,1000.00
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,Associated General Contractors of America Political Action C,"Begich, Nick",2025-06-24,2000.00
THE BRIGHTUP GROUP LLC,,Rep. Nick Begich,2025-06-10,250.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)","Rep. Nick Begich, III",2025-06-12,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)","Rep. Nick Begich, III",2025-05-19,1000.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)","Rep. Nick Begich, III",2025-04-21,1000.00
CONOCOPHILLIPS,ConocoPhillips SPIRIT PAC,"Rep. Nick Begich, III",2025-03-19,5000.00
"CARLOUGH SOLUTIONS, LLC",,Nick Begich,2025-06-10,250.00
BURRELL INTERNATIONAL GROUP LLC,,Nick Begich,2025-01-13,1000.00
CAPITOL HILL POLICY GROUP LLC,,Nick Begich,2025-03-06,2000.00
CAPITOL HILL POLICY GROUP LLC,,Nick Begich,2025-05-05,500.00
CAPITOL HILL POLICY GROUP LLC,,Nick Begich,2025-06-05,500.00
PHILLIPS 66,Phillips 66 PAC,Rep Nick Begich III,2025-02-27,1000.00
NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation Good Government Fund,Nicholas Begich,2025-06-24,2000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Nick Begich,2025-06-16,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Nick Begich,2025-06-17,2000.00
"CROSSROADS STRATEGIES, LLC",,Congressman Nick Begich,2025-03-05,1000.00
"CROSSROADS STRATEGIES, LLC",,Congressman Nick Begich,2025-06-26,1000.00
ASSOCIATION OF AMERICAN RAILROADS,RAILPAC,Rep. Nicholas Begich,2025-06-20,1000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Nicholas Begich,2025-06-24,2000.00
