organization,pacs,honoree,date,amount_usd
STRATEGIC MARKETING INNOVATIONS,,Maggie Goodlander,2025-01-17,500.00
STRATEGIC MARKETING INNOVATIONS,COLE PAC - Tom Cole; Narragansett Bay PAC (Jack Reed),Maggie Goodlander,2025-02-12,1000.00
FOCUS DC LLC,,U.S. Representative Maggie Goodlander,2025-03-22,500.00
"TARPLIN, DOWNS & YOUNG, LLC",,Rep. Maggie Goodlander,2025-06-10,1000.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Maggie Goodlander,2025-02-19,2500.00
BOEING COMPANY,,Representative Maggie Goodlander,2025-06-05,1000.00
"FORZA DC, LLC",,Maggie Goodlander,2025-06-24,500.00
"MEHLMAN CONSULTING, INC.",,Rep. Maggie Goodlander,2025-04-24,500.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Maggie Goodlander,2025-05-23,500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Maggie Goodlander,2025-02-27,3500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Maggie Goodlander,2025-01-21,2500.00
EMPIRE CONSULTING GROUP,,Rep. Maggie Goodlander,2025-04-28,500.00
EMPIRE CONSULTING GROUP,,Rep. Margie Goodlander,2025-06-03,500.00
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,Laborers International Union of North America (LIUNA PAC),"Goodlander, Maggie",2025-04-24,2500.00
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL & TRANSPORTATION WORKERS",Int'l Assoc of Sheet Metal Air Rail &Transportation Workers,Maggie Goodlander,2025-03-25,2500.00
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL & TRANSPORTATION WORKERS",Int'l Assoc of Sheet Metal Air Rail &Transportation Workers,Maggie Goodlander,2025-05-13,2500.00
"MCHUGH LEMAY ASSOC., LLC",,Congresswoman Maggie Goodlander,2025-02-12,500.00
PACIFIC DEFENSE LLC,,Rep. Maggie Goodlander,2025-02-11,1000.00
JAKE PERRY + PARTNERS,,Rep. Maggie Goodlander,2025-03-31,500.00
EMERGENT STRATEGIES,,Rep. Maggie Goodlander,2025-03-31,3500.00
NATIONAL EDUCATION ASSOCIATION,NEA Fund for Children and Public Education,Maggie Goodlander,2025-03-20,2000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Maggie Goodlander,2025-03-25,2500.00
"INT'L. ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL & REINFORCING IRON WORKERS",Iron Workers Political Action League; Ironworkers Political Education Fund,Ms. Maggie Goodlander,2025-04-25,2500.00
"AMERICAN POSTAL WORKERS UNION, AFL-CIO",American Postal Workers Union Committee on Political Action,"Goodlander, Maggie",2025-03-28,1500.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Maggie Goodlander,2025-04-03,2000.00
AMERICAN SOCIETY OF ANESTHESIOLOGISTS,American Society of Anesthesiologists Political Action Committee (ASA PAC),Rep. Maggie Goodlander,2025-06-13,1500.00
PARKER MEGGITT,,Rep Maggie Goodlander,2025-02-10,500.00
PARKER MEGGITT,,Rep Maggie Goodlander,2025-05-05,300.00
AVENUE SOLUTIONS,,Rep. Maggie Goodlander,2025-06-10,1000.00
"FEDERAL STREET STRATEGIES, LLC",,Maggie Goodlander for Congress,2025-06-30,500.00
"MZ ADVISING, LLC",,Maggie Goodlander,2025-02-26,500.00
PARKER MEGGITT,,Rep Maggie Goodlander,2025-06-24,500.00
SERVICE EMPLOYEES INTERNATIONAL UNION CTW-CLC,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE O,MAGGIE GOODLANDER,2025-02-24,5000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,The Honorable Maggie Goodlander,2025-06-10,3500.00
KASOWITZ LLP (FKA KASOWITZ BENSON TORRES LLP),,Maggie Goodlander,2025-03-17,1000.00
KASOWITZ LLP (FKA KASOWITZ BENSON TORRES LLP),,Maggie Goodlander,2025-03-24,1500.00
COZEN O'CONNOR PC,COC Political Action Committee 203 Contributions,Congresswoman Maggie Goodlander,2025-05-06,1000.00
"CAPITOL STRATEGIES US, LLC",,Rep. Maggie Goodlander (D-NH),2025-02-12,1000.00
"AVOQ, LLC",,Rep. Maggie Goodlander,2025-03-24,1000.00
"AVOQ, LLC",,Rep. Maggie Goodlander,2025-03-24,3500.00
