organization,pacs,honoree,date,amount_usd
DELL TECHNOLOGIES INC.,"Dell Technologies, Inc. Political Action Committee",Rep. Jay Obernolte,2025-03-10,2500.00
FOX CORPORATION,Fox Corporation Political Action Committee (FOX PAC),Rep. Jay Obernolte,2025-03-26,1000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Jay Obernolte,2025-06-26,2500.00
PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,Pharmaceutical Care Management Association PAC,Jay Obernolte,2025-03-26,250.00
AMERICAN MARITIME OFFICERS,American Maritime Officers Retirees Association; American Maritime Officers Voluntary Political Action Fund; District 2A TTWISEU Voluntary Political Action Fund,Rep. Jay Obernolte,2025-02-18,1000.00
"MEHLMAN CONSULTING, INC.",,REPRESENTATIVE JAY OBERNOLTE,2025-03-31,1000.00
"MEHLMAN CONSULTING, INC.",,REPRESENTATIVE JAY OBERNOLTE,2025-06-20,205.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Jay Obernolte,2025-06-11,2500.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Rep. Jay Obernolte,2025-03-31,1000.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Rep. Jay Obernolte,2025-06-04,1000.00
S-3 GROUP,,Jay Obernolte,2025-05-13,500.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,Rep. Jay Obernolte,2025-06-24,5000.00
ENTERTAINMENT SOFTWARE ASSOCIATION,Entertainment Software Association PAC (ESA PAC),Rep. Jay Obernolte,2025-06-24,1000.00
EDISON INTERNATIONAL,EDISON INTERNATIONAL PAC,JAY OBERNOLTE,2025-03-07,3500.00
PACIFIC GAS AND ELECTRIC COMPANY,PG&E Corporation Employees EnergyPAC,Rep. Jay Obernolte,2025-03-19,1000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",Jay OBernolte for Congress,Rep. Jay Obernolte,2025-06-16,500.00
"PHILIPS HOLDING USA, INC.",Philips North America LLC Political Action Committee,Congressman Jay Obernolte,2025-06-09,1000.00
NOSSAMAN LLP,Nossaman LLP Political Action Committee (Nossaman PAC),Rep. Jay Obernolte,2025-02-10,1000.00
NOSSAMAN LLP,Nossaman LLP Political Action Committee (Nossaman PAC),Rep. Jay Obernolte,2025-06-05,1000.00
BANK OF AMERICA CORPORATION,Bank of America Corporation Federal PAC; Bank of America Corporation State and Federal PAC,Jay Obernolte,2025-03-19,2500.00
NETJETS INC.,NetJets Inc PAC,Jay Obernolte,2025-03-31,1000.00
"LUMEN TECHNOLOGIES, INC.","Lumen Technologies, Inc. Political Action Committee",Jay Obernolte,2025-03-27,1000.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Jay Obernolte,2025-03-04,3500.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Obernolte, Jay",2025-03-24,1000.00
CENTENE CORPORATION,Centene Corporation Political Action Committee (Centene PAC),Jay Obernolte,2025-03-21,1000.00
"MERCK & CO, INC.","Merck & Co., Inc., Employees Political Action Committee (Merck PAC)",Congressman Jay Obernolte,2025-03-19,1000.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Rep. Jay Obernolte,2025-03-19,1000.00
TRACTOR SUPPLY COMPANY,Tractor Supply Company Political Action Committee,Rep. Jay Obernolte,2025-03-25,2500.00
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,Cognizant Technology Solutions Corporation Political Action Committee (Cognizant PAC),Jay Obernolte,2025-03-31,2500.00
"VIZIENT, INC.",Vizient Inc. Political Action Committee,Rep. Jay Obernolte,2025-06-26,1000.00
VSP,VSP HOLDING COMPANY INC POLITICAL ACTION COMMITTEE,Rep. Jay Obernolte,2025-06-18,1000.00
ELI LILLY AND COMPANY,LillyPAC,Jay Obernolte,2025-03-17,1000.00
"MILLER STRATEGIES, LLC",,Jay Obernolte,2025-06-27,1000.00
AMERICAN GAS ASSOCIATION,American Gas Association Political Action Committee,Rep. Jay Obernolte (R),2025-06-24,1000.00
"UNITEDHEALTH GROUP, INC.","UNITEDHEALTH GROUP, INC.","Obernolte, Jay",2025-03-28,1500.00
FEDEX CORPORATION,FEDEXPAC,Senator Chuck Grassley; Senator Mike Crapo; Rep. Ted Lieu; Rep. Jay Obernolte,2025-03-12,10000.00
LABORATORY CORPORATION OF AMERICA HOLDINGS,Laboratory Corporation of America Holdings Political Partici,Hon. Jay Obernolte,2025-04-24,1500.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,Rep. Jay Obernolte,2025-04-21,2500.00
