organization,pacs,honoree,date,amount_usd
WINNING STRATEGIES WASHINGTON,,Tom Kean,2025-01-07,2500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Kean, Tom",2025-02-13,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),"Rep. Tom Kean, Jr.",2025-03-10,2500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Kean, Thomas",2025-05-01,2000.00
THERMO FISHER SCIENTIFIC INC.,THERMO FISHER SCIENTIFIC INC. PAC,"REP. THOMAS H. KEAN, JR.",2025-03-20,5000.00
THE MCMANUS GROUP,,Rep. Tom Kean (R-NJ),2025-05-06,2500.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Tom Kean Jr,2025-06-25,1000.00
DUANE MORRIS LLP,Duane Morris Government Committee,Thomas Kean,2025-05-06,1000.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,Thomas H. Kean Jr.,2025-03-24,2500.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Thomas Kean,2025-06-03,5000.00
ASTRAZENECA PHARMACEUTICALS LP,ALEXION PHARMACEUTICALS INC PAC; Zeneca Inc Political Action Committee AZPAC,Rep Tom Kean Jr,2025-03-13,1000.00
THORN RUN PARTNERS,,Tom Kean,2025-06-30,1000.00
HALEON US HOLDINGS LLC,HALEON US HOLDINGS LLC PAC,Rep Thomas Kean,2025-06-26,1000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Thomas Kean,2025-04-11,2500.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Tom Kean Jr,2025-04-29,5000.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Tom Kean Jr,2025-02-26,5000.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Tom Kean Jr,2025-05-22,5000.00
AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD AND NECK SURGERY,ENT PAC,Tom Kean,2025-03-31,1000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Kean, Tom",2025-06-02,1000.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,"Rep. Tom Kean, Jr.",2025-03-24,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)","Rep. Tom Kean, Jr.",2025-05-19,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Kean, Tom",2025-03-25,2500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Tom Kean,2025-06-24,2000.00
FORBES-TATE,,Congressman Kean,2025-02-26,500.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,"Rep. Tom Kean, Jr.",2025-06-30,2500.00
JOHN J. FASO CONSULTING LLC,,Rep. Tom Kean,2025-03-25,500.00
MARATHON PETROLEUM COMPANY LP,Marathon Petroleum Corporation Employees Political Action Committee MPAC,Rep Tom Kean Jr,2025-06-18,2500.00
THE AES CORPORATION,The AES Corporation Political Action Committee,Tom Kean,2025-03-17,1000.00
THE AES CORPORATION,The AES Corporation Political Action Committee,Tom Kean,2025-06-25,1000.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),"Rep. Tom Kean, Jr.",2025-04-21,1000.00
NOVOCURE INC.,NOVOCURE INC. PAC (A.K.A. NOVOCURE PAC),"U.S. Representative Thomas Kean, Jr.",2025-05-15,2000.00
BIOMARIN PHARMACEUTICAL INC.,BIOMARIN PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE AKA BIOMARIN PAC,REP. THOMAS KEAN,2025-06-03,1000.00
HF SINCLAIR CORPORATION,HF Sinclair Political Action Committee (DINO PAC),Tom Kean,2025-06-18,1000.00
FIRSTENERGY CORP,FirstEnergy PAC,Thomas Kean,2025-06-23,2500.00
PHILLIPS 66,Phillips 66 PAC,Rep Tom Kean Jr,2025-04-11,2500.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),"Rep. Tom Kean, Jr.",2025-06-16,2000.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),"Rep. Tom Kean, Jr.",2025-03-21,1000.00
CHARTWELL STRATEGY GROUP LLC,,Congressman Tom Kean,2025-06-30,3500.00
"CASSIDY & ASSOCIATES, INC.",,Tom Kean,2025-06-25,1000.00
"CASSIDY & ASSOCIATES, INC.",,Tom Kean,2025-02-24,1000.00
"ABBVIE, INC.",AbbVie Political Action Committee,"Rep. Tom Kean, Jr.",2025-04-24,2500.00
ARENTFOX SCHIFF LLP,,Tom Kean,2025-06-03,500.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Tom Kean,2025-02-07,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Tom Kean,2025-04-07,4000.00
WINNING STRATEGIES WASHINGTON,,Rep. Tom Kean,2025-01-06,1000.00
"THE WILLIAMS COMPANIES, INC.","The Williams Companies, Inc. Political Action Committee","Rep. Tom Kean, Jr.",2025-04-30,1000.00
AMERICAN ACADEMY OF NEUROLOGY,American Academy of Neurology BrainPAC,"Kean, Tom",2025-05-07,1000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Tom Kean Jr,2025-06-06,2500.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman Tom Kean,2025-05-19,2500.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,"Rep. Tom Kean, Jr.",2025-05-29,2500.00
OGR,,Tom Kean,2025-06-25,500.00
EDISON INTERNATIONAL,EDISON INTERNATIONAL PAC,THOMAS KEAN,2025-02-18,1000.00
"ALNYLAM PHARMACEUTICALS, INC.","ALNYLAM PHARMACEUTICALS, INC. PAC",Rep. Thomas Kean Jr.,2025-02-13,1000.00
ENVIRONMENTAL DEFENSE ACTION FUND,Environmental Defense Action Fund PAC (EDAF PAC),THOMANS KEAN,2025-03-24,1000.00
AMERICAN PHYSICAL THERAPY ASSOCIATION,American Physical Therapy Association Physical Therapy PAC,Congressman Tom Kean,2025-03-11,1000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Tom Kean Jr.,2025-06-24,5000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",ATT Fed PAC,Rep. Tom Kean,2025-03-31,3500.00
CHAMBER OF COMMERCE OF THE U.S.A.,U.S. Chamber PAC,"Tom Kean, Jr.",2025-02-21,1000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Kean, Thomas",2025-05-05,2500.00
BAYER CORPORATION (CONSOLIDATED REPORT),Bayer US LLC Employee Political Action Committee (BayerPAC),"Rep. Tom Kean, Jr.",2025-03-11,1000.00
"MERCK & CO, INC.","Merck & Co., Inc., Employees Political Action Committee (Merck PAC)",Congressman Tom Kean,2025-05-13,2500.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Rep. Tom Kean,2025-06-23,1000.00
"PTC THERAPEUTICS, INC.","PTC Therapeutics, Inc. Political Action Committee (PTC-PAC)","Rep. Tom Kean, Jr. (R)",2025-02-10,2500.00
NATIONAL AUTOMOBILE DEALERS ASSOCIATION,National Automobile Dealers Association Political Action Committee,"Kean, Thomas",2025-04-08,1000.00
"EXELON BUSINESS SERVICES, LLC",EXELON CORPORATION POLITICAL ACTION COMMITTEE,"Rep. Tom Kean, Jr.",2025-03-03,1000.00
"MILLER STRATEGIES, LLC",,Rep. Tom Kean Jr.,2025-05-29,3500.00
SOUTHWEST AIRLINES PILOTS' ASSOCIATION,,Rep Thomas Kean,2025-02-13,1000.00
CSX CORPORATION,CSX Corporation Good Government Fund,Thomas Kean,2025-04-07,2000.00
