organization,pacs,honoree,date,amount_usd
NATIONAL MILK PRODUCERS FEDERATION,,Rep. Elise Stefanik,2025-03-28,1000.00
S-3 GROUP,,Elise Stefanik for Congress,2025-06-10,500.00
"ERL FEDERAL CONSULTANTS, LLC",,Representative Elise Stefanik,2025-06-07,3500.00
FIERCE GOVERNMENT RELATIONS,,Rep. Elise Stefanik,2025-06-30,1000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Elise Stefanik,2025-06-23,2500.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Elise Stefanik,2025-06-25,5000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Elise Stefanik,2025-06-27,2000.00
"HARGAN STRATEGIES, FORMERLY REPORTED AS HARGAN AND ASSOCIATES",,Elise Stefanik,2025-04-17,250.00
"HARGAN STRATEGIES, FORMERLY REPORTED AS HARGAN AND ASSOCIATES",,Elise Stefanik,2025-04-21,250.00
"HARGAN STRATEGIES, FORMERLY REPORTED AS HARGAN AND ASSOCIATES",,Elise Stefanik,2025-05-08,250.00
"HARGAN STRATEGIES, FORMERLY REPORTED AS HARGAN AND ASSOCIATES",,Elise Stefanik,2025-06-04,500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"S Capito, M Blackburn, V Foxx, C Tenney, E Stefanik, D Fischer, A Wagner, S Collins, J Ernst, A Radewagen, L Murkowski, S Biggs, J Fedorchak, C Maloy, L Lee, E Houchin, K Britt, J Kiggans, et al.",2025-03-25,5000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Stefanik, Elise",2025-06-25,1000.00
VENABLE LLP,VENABLE PAC (VEN-PAC),Rep. Elise Stefanik,2025-06-23,1000.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep Elise Stefanik,2025-05-22,5000.00
"SYLVAMO NORTH AMERICA, LLC",Sylvamo Corporation PAC,Elise Stefanik,2025-06-05,2500.00
NATIONAL BEER WHOLESALERS ASSOCIATION,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep Elise Stefanik,2025-06-03,2500.00
GENERAL MOTORS COMPANY,General Motors Company Political Action Committee (GM PAC),Rep. Elise Stefanik,2025-06-05,2500.00
AMERICAN FINANCIAL SERVICES ASSOCIATION,American Financial Services Association PAC,Elise Stefanik,2025-06-16,1000.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Elise Stefanik,2025-06-23,2500.00
INVARIANT LLC,VIEW PAC,Congresswoman Elise Stefanik,2025-06-02,5000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Stefanik, Elise",2025-06-19,1000.00
AMERICAN PETROLEUM INSTITUTE,American Petroleum Institute Political Action Committee,Elise Stefanik,2025-05-30,1500.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Elise Stefanik,2025-06-30,1000.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. Elise Stefanik,2025-06-06,2500.00
PWC US GROUP LLP,PricewaterhouseCoopers PAC,Rep. Elise Stefanik (R),2025-06-19,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Elise Stefanik,2025-06-25,5000.00
NFIB (NATIONAL FEDERATION OF INDEPENDENT BUSINESS),National Federation of Independent Business Political Action Committee,Rep. Elise Stefanik (NY-021-R),2025-06-18,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Elise Stefanik,2025-06-17,1000.00
ARNOLD & PORTER KAYE SCHOLER LLP,Fraternity & Sorority PAC,Congressman Elise Stefanik,2025-06-12,5000.00
THE HOME DEPOT,The Home Depot Inc. Political Action Committee,"Stefanik, Elise",2025-06-24,5000.00
SPLITOAK STRATEGIES LLC,,Rep. Elise Stefanik,2025-06-29,1000.00
ARCH STREET,,Rep. Elise Stefanik,2025-06-10,1041.02
LINCOLN CONCEPTS,,Rep. Elise Stefanik,2025-06-16,1000.00
NATIONAL ASSOCIATION OF HOME BUILDERS,Build Political Action Committee of the National Association of Home Builders (BUILDPAC),Rep. Elise Stefanik,2025-06-13,5000.00
