organization,pacs,honoree,date,amount_usd
SOUTHERN MINNESOTA BEET SUGAR COOP,Southern Minnesota Beet Sugar Cooperative PAC,Rep. Terri Sewell,2025-05-22,2000.00
BROWN-FORMAN CORPORATION,BROWN-FORMAN CORPORATION NON-PARTISAN COMMITTEE,Congresswoman Terri Sewell,2025-03-14,1000.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Rep. Terri Sewell,2025-06-09,1000.00
NOVOCURE INC.,NOVOCURE INC. PAC (A.K.A. NOVOCURE PAC),U.S. Representative Terri Sewell,2025-02-24,1000.00
AMERICAN RESORT DEVELOPMENT ASSN,AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC),Rep. Terri Sewell,2025-04-15,5000.00
AMERICAN EXPRESS COMPANY,American Express Company Political Action Committee (AXPPAC),Terri Sewell,2025-06-24,5000.00
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Political Action Committee,Congresswoman Terri Sewell,2025-05-27,2000.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Sewell, Terri",2025-05-19,2500.00
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION,National Community Pharmacists Association - PAC,Rep. Terri Sewell,2025-03-17,1000.00
AFLAC INCORPORATED,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Rep. Terri Sewell,2025-03-20,5000.00
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,The Guardian Life Insurance Company of America Political Action Committee Federal Guardian Life P,Rep Terri Sewell,2025-05-01,2500.00
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,The Guardian Life Insurance Company of America Political Action Committee Federal Guardian Life P,Rep Terri Sewell,2025-06-26,2500.00
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A),John Hancock Life Insurance Company (USA) Federal PAC,Representative Terri Sewell,2025-05-13,1000.00
"TELADOC HEALTH, INC.","Teladoc Health, Inc. Political Action Committee",Rep. Terri Sewell,2025-04-10,1500.00
"MEDTRONIC, INC.",Medtronic Inc. PAC,Terri Sewell,2025-03-25,2000.00
FLORIDA SUGAR CANE LEAGUE,Florida Sugar Cane League PAC,Congresswoman Terri Sewell,2025-04-15,1000.00
REGIONS FINANCIAL CORP,Regions Financial Corporation Political Action Committee,Rep Terri Sewell,2025-06-03,5000.00
INDEPENDENT COMMUNITY BANKERS OF AMERICA,ICBA PAC,"Sewell, Terri",2025-03-25,1000.00
NATIONAL COTTON COUNCIL,National Cotton Council Committee for the Advancement of Cotton,US Representative Terri A. Sewell,2025-03-04,5000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Rep. Terri Sewell,2025-05-29,1000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Rep. Terri Sewell,2025-02-12,2500.00
"CROSSROADS STRATEGIES, LLC",,Rep. Terri Sewell,2025-02-24,1000.00
FORD MOTOR COMPANY,Ford Motor Company Civic Action Fund,Rep. Terri Sewell,2025-03-25,1000.00
TARGET CORPORATION,Target Corp. Citizens Political Forum,Terri Sewell,2025-03-28,1000.00
AMERICAN LAND TITLE ASSOCIATION,American Land Title Association Title Industry PAC (TIPAC),Rep. Terri Sewell,2025-01-08,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Terri Sewell,2025-02-27,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Terri Sewell,2025-03-18,1000.00
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,NAIFAPAC,"Sewell, Terri",2025-05-21,2500.00
BARCLAYS US GPF INC.,Barclays Group US Inc. Political Action Committee,Terri Sewell,2025-03-03,1000.00
DELL TECHNOLOGIES INC.,"Dell Technologies, Inc. Political Action Committee",Rep. Terri Sewell,2025-06-10,2500.00
HNTB CORPORATION,HNTB Holdings Ltd. PAC,Rep. Terri Sewell,2025-06-25,1000.00
AMERICAN ACADEMY OF NEUROLOGY,American Academy of Neurology BrainPAC,"Sewell, Terri",2025-06-10,1000.00
FOX CORPORATION,Fox Corporation Political Action Committee (FOX PAC),Rep. Terri Sewell,2025-01-28,1000.00
"SSAB ENTERPRISES, LLC",SSAB Americas PAC,Congresswoman Terri Sewell,2025-02-20,1000.00
KELLEY DRYE & WARREN LLP,Kelley Drye & Warren Political Action Committee,Rep. Terri Sewell,2025-03-25,2500.00
KELLEY DRYE & WARREN LLP,Kelley Drye & Warren Political Action Committee,Rep. Terri Sewell,2025-06-26,1000.00
"MINDSET ADVOCACY, LLC",,Terri Sewell,2025-01-22,500.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep Terri Sewell,2025-01-27,5000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Terri Sewell,2025-04-04,2500.00
"INVESCO HOLDING COMPANY (US), INC","INVESCO HOLDING COMPANY (US), INC.EMPLOYEE POLITICAL ACTION",Rep. Terri Sewell (D),2025-06-04,1500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Rep. Terri Sewell,2025-04-29,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Rep. Terri Sewell,2025-06-03,500.00
"CME GROUP, INC.",CME Group Inc. PAC,Rep. Terri Sewell,2025-03-13,1000.00
