organization,pacs,honoree,date,amount_usd
"NASDAQ, INC.","Nasdaq, Inc. PAC",Rep. Nicole Malliotakis,2025-01-07,1000.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Malliotakis, Nicole",2025-03-03,1000.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Malliotakis, Nicole",2025-05-14,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Nicole Malliotakis,2025-06-09,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Nicole Malliotakis,2025-04-14,2500.00
"MARSH & MCLENNAN COMPANIES, INC.",Marsh & McLennan Companies PAC,Rep. Nicole Malliotakis,2025-03-03,1500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Malliotakis, Nicole",2025-03-04,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Malliotakis, Nicole",2025-06-10,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Malliotakis, Nicole",2025-03-20,1000.00
S-3 GROUP,,Congresswoman Nicole Malliotakis,2025-06-04,500.00
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,,Rep. Nicole Malliotakis,2025-04-11,10000.00
VENN STRATEGIES,ESCA PAC,Nicole Malliotakis,2025-04-10,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Rep. Nicole Malliotakis,2025-02-26,500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DSCC,Nicole Malliotakis,2025-02-25,1000.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Nicole Malliotakis,2025-04-02,1000.00
"MOTION PICTURE ASSOCIATION, INC.",,Rep. Nicole Malliotakis,2025-05-02,500.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,Nicole Malliotakis,2025-06-23,2500.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Nicole Malliotakis,2025-06-11,4000.00
"BACARDI NORTH AMERICA (FORMERLY BACARDI USA, INC)","Bacardi USA, Inc. Political Action Committee",Nicole Malliotakis,2025-06-04,1000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Nicole Malliotakis,2025-03-24,2500.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Nicole Malliotakis,2025-04-30,2500.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Nicole Malliotakis,2025-06-23,5000.00
RYAN COSTELLO STRATEGIES,,Congresswoman Nicole Malliotakis,2025-04-08,1000.00
RYAN COSTELLO STRATEGIES,Sheeder Leadership PAC,Congresswoman Nicole Malliotakis,2025-04-08,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Nicole Malliotakis,2025-06-16,1000.00
ATLAS CROSSING LLC,,U.S. Representative Nicole Malliotakis,2025-03-31,1000.00
"MELTSNER STRATEGIES, LLC",,The Honorable Nicole Malliotakis,2025-02-25,500.00
"SURROUND SOUND STRATEGIES, LLC",,Rep. Nicole Malliotakis,2025-06-08,500.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Nicole Malliotakis,2025-05-31,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Malliotakis, Nicole",2025-02-24,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Malliotakis, Nicole",2025-04-16,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Nicole Malliotakis,2025-05-08,4000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Nicole Malliotakis,2025-02-27,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Nicole Malliotakis,2025-05-19,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"M Diaz-Balart, T Gonzales, J Ciscomani, M De La Cruz, G Evans, C Gimenez, N Malliotakis, B Mast, M Salazar, D Valadao",2025-02-05,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Malliotakis, Nicole",2025-03-25,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Malliotakis, Nicole",2025-05-07,1000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Malliotakis, Nicole",2025-05-08,1500.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,NICOLE MALLIOTAKIS,2025-06-24,2500.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,NICOLE MALLIOTAKIS,2025-05-13,2500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Nicole Malliotakis,2025-03-03,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Nicole Malliotakis,2025-03-03,1500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Nicole Malliotakis,2025-05-19,2000.00
THE AFFORDABLE HOUSING TAX CREDIT COALITION,Affordable Housing Tax Credit Coalition PAC,Rep. Nicole Malliotakis,2025-02-04,1000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Nicole Malliotakis,2025-05-21,1000.00
