organization,pacs,honoree,date,amount_usd
"NEXXUS CONSULTING, LLC",,Sarah McBride,2025-06-17,250.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Sarah McBride,2025-05-20,1000.00
MISSION STRATEGIES LLC,,Rep. Sarah McBride (DE-AL),2025-06-11,1000.00
HB STRATEGIES,,Sarah McBride,2025-02-15,1000.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Sarah McBride,2025-02-19,2500.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Sarah McBride,2025-06-01,2500.00
ASTRAZENECA PHARMACEUTICALS LP,ALEXION PHARMACEUTICALS INC PAC; Zeneca Inc Political Action Committee AZPAC,Rep Sarah McBride,2025-05-13,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Sarah McBride,2025-06-25,1000.00
HUMAN RIGHTS CAMPAIGN,Human Rights Campaign PAC,McBride for Delaware,2025-03-14,2500.00
NATIONAL PORK PRODUCERS COUNCIL,National Pork Producers Council Pork PAC,"Rep. Greg Stanton, Rep. Kim Schrier, Rep. Pat Ryan, Rep. Hillary Scholten, Rep. Greg Landsman, Rep. Brittany Pettersen, Rep. Emilia Sykes, Rep. Sarah McBride, Rep. Don Beyer, Rep. Brad Schneider",2025-03-17,5000.00
NATIONAL CHICKEN COUNCIL,National Chicken Council PAC,McBride for Delaware Inc.,2025-06-04,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Sarah McBride,2025-06-17,1000.00
"KEEFE SINGISER PARTNERS, FKA KEEFE STRATEGIES LLC",,Sarah McBride,2025-06-26,500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"G Stanton, K Schrier, P Ryan, H Scholten, G Landsman, B Pettersen, E Sykes, S McBride, D Beyer, J Bynum, S Liccardo, H Stevens, B Schneider, et al.",2025-01-23,5000.00
