organization,pacs,honoree,date,amount_usd
"K&L GATES, LLP",K&L Gates PAC,Congressman Russell Fry,2025-05-06,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Russell Fry,2025-03-19,500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Fry, Russell",2025-06-10,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Fry, Russell",2025-02-13,1000.00
"DS2 GROUP, LLC",,Russell Fry,2025-06-30,500.00
THORSEN FRENCH ADVOCACY LLC,,U.S. Representative Russell Fry,2025-03-31,500.00
"GOODLATTE GROUP, LLC F.K.A. ROBERT GOODLATTE",,Rep. Russell Fry,2025-06-11,1000.00
POLSINELLI PC,Polsinelli PAC,Russell Fry,2025-04-23,1000.00
OGR,,The Honorable Russell Fry,2025-05-06,500.00
AKIN GUMP STRAUSS HAUER & FELD,,Rep. Russell Fry,2025-03-26,2500.00
"NUCLEAR ENERGY INSTITUTE, INC.",NEI Federal PAC,Rep. Russell Fry,2025-03-13,1000.00
PARAMOUNT GLOBAL,Paramount Global PAC,Rep. Russell Fry,2025-06-26,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Russell Fry,2025-03-05,500.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Russell Fry,2025-03-14,1000.00
FIERCE GOVERNMENT RELATIONS,,Rep Russell Fry,2025-05-08,500.00
FIERCE GOVERNMENT RELATIONS,,Rep Russell Fry,2025-06-30,500.00
ALLIANT ENERGY CORPORATION,ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM,Representative Russell Fry,2025-03-11,1000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Russell Fry,2025-03-20,1000.00
"CASSIDY & ASSOCIATES, INC.",,Josh Fryday,2025-04-15,250.00
AMAZON.COM SERVICES LLC,,Rep. Russell Fry (R-SC),2025-03-17,500.00
THORN RUN PARTNERS,,Rep. Russell Fry,2025-03-04,1000.00
THORN RUN PARTNERS,,Russell Frye,2025-03-04,500.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Russell Fry,2025-04-14,2500.00
"IHEARTMEDIA, INC.","iHeartMedia, Inc. PAC",Russell Fry,2025-06-24,1000.00
CENTER FOR SPORTFISHING POLICY,Center for Sportfishing Policy PAC,Russell Fry,2025-06-10,2500.00
"THE TRAVELERS COS., INC. AND SUBSIDIARIES","The Travelers Companies, Inc. Political Action Committee (T-PAC)",Russell Fry,2025-02-07,2500.00
"DB3, LLC (FKA THE DASCHLE GROUP)",,Josh Fryday for Lieutenant Governor,2025-05-07,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Russell Fry,2025-03-12,1000.00
INTERNATIONAL TRADEMARK ASSOCIATION,INTA PAC,U.S. Representative Russell Fry,2025-06-16,1000.00
THORN RUN PARTNERS,,Rep Russell Fry,2025-03-05,1000.00
THE VOGEL GROUP,,Russell Fry,2025-03-31,500.00
"FEDERAL HALL POLICY ADVISORS, LLC",,Rep. Russell Fry (R-SC),2025-02-10,250.00
"FEDERAL HALL POLICY ADVISORS, LLC",,Rep. Russell Fry (R-SC),2025-04-01,250.00
NATIONAL CHICKEN COUNCIL,National Chicken Council PAC,Russell Fry for Congress,2025-04-22,1000.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Russell Fry,2025-06-27,2500.00
"AVOQ, LLC",,Representative Russell Fry,2025-03-28,500.00
"HEALTH POLICY SOURCE, INC.",,State Senator Katie Fry Hester,2025-06-06,250.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Russell Fry,2025-06-12,3000.00
"THE PICARD GROUP, LLC",,Congressman Russell Fry,2025-03-27,3500.00
"ALPINE GROUP PARTNERS, LLC.",Walden for Congress,Hon. Russell Fry,2025-03-25,1000.00
NATIONAL FOOTBALL LEAGUE,GridironPAC,Rep Russell Fry,2025-03-07,1000.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,Rep. Russell Fry,2025-03-31,2500.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,Rep. Russell Fry,2025-03-31,1000.00
NCTA - THE INTERNET & TELEVISION ASSOCIATION,,Russell Fry,2025-06-12,500.00
