organization,pacs,honoree,date,amount_usd
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Brecheen, Josh",2025-05-29,1000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Josh Brecheen,2025-04-28,1000.00
"HEALTH CARE SERVICE CORPORATION, A MUTUAL LEGAL RESERVE COMPANY (HCSC)",Health Care Service Corporation Employees Political Action Committee,Rep Josh Brecheen,2025-03-04,2500.00
"TYSON FOODS, INC",Tyson Foods Inc Political Action Committee (TYPAC),Josh Brecheen,2025-05-02,1000.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Josh Brecheen For Congress,2025-03-20,2000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Josh Brecheen,2025-05-07,1000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Josh Brecheen,2025-05-14,1000.00
COMMERCIAL METALS COMPANY - CMC,Commercial Metals Company PAC,Josh Brecheen,2025-05-16,2500.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Josh Brecheen,2025-06-24,2500.00
