organization,pacs,honoree,date,amount_usd
"THOMAS ADVISORS, INC",,Roger Wicker,2025-02-25,500.00
CARPENTER STRATEGIC CONSULTING LLC,,The Hon. Roger Wicker,2025-06-09,1000.00
S-3 GROUP,,Sen. Roger Wicker,2025-03-18,5000.00
CUBIC CORPORATION,Cubic Corporation Employees Political Action Committee,Sen Roger Wicker,2025-06-12,5000.00
AKIN GUMP STRAUSS HAUER & FELD,Brett Guthrie for Congress; Friends of David McCormick; LaHood for Congress; Lisa Murkowski for U.S. Senate; National Republican Senatorial Committee (NRSC); Responsibility & Freedom Work (RFW); Ted Cruz for Senate,Senator Roger Wicker,2025-06-10,1000.00
THOMAS CAPITOL PARTNERS INC.,,Sen. Roger Wicker,2025-06-30,250.00
NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,NTCA Rural Broadband PAC,"Wicker, Roger",2025-01-26,5000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Roger Wicker,2025-06-13,5000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Sen. Roger Wicker,2025-06-16,1500.00
MR. DOYCE BOESCH,,Roger Wicker for Senate,2025-01-22,500.00
MR. DOYCE BOESCH,,Roger Wicker for Senate,2025-03-21,500.00
EAST CAPITOL ADVISORS LLC,,Senator Roger Wicker,2025-06-10,1000.00
"ICEBREAKER STRATEGIES, LLC",,Roger Wicker,2025-01-23,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Wicker, Roger",2025-06-24,5000.00
"ALPINE GROUP PARTNERS, LLC.",,Senator Roger Wicker,2025-02-11,5000.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Sen. Roger Wicker,2025-06-09,5000.00
"JONES WALKER, LLP",Jones Walker LLP,Senator Roger Wicker,2025-02-11,3000.00
FORBES-TATE,,Senator Wicker,2025-06-10,1000.00
"TENABLE, INC.",Tenable Inc. Political Action Committee (Tenable PAC),Roger Wicker,2025-02-28,5000.00
DISCOVER FINANCIAL SERVICES,Discover Financial Services Political Action Committee,Sen. Roger Wicker Leadership PAC,2025-04-01,5000.00
"CROSSROADS STRATEGIES, LLC",,ROGER WICKER,2025-02-05,1500.00
"DISH NETWORK, LLC",ECHOSTAR CORPORATION AND DISH NETWORK CORPORATION PAC,Sen. Roger Wicker,2025-03-13,5000.00
HOGAN LOVELLS US LLP,Hogan Lovells Political Action Commitee,Senator Roger Wicker (R-MS),2025-04-08,2500.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Sen. Roger Wicker,2025-05-06,5000.00
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION,National Community Pharmacists Association - PAC,Sen. Roger Wicker,2025-05-21,5000.00
DUNKEL GOVERNMENT RELATIONS,,Sen Roger Wicker,2025-06-30,1000.00
"GREENBERG TRAURIG, LLP","Greenberg Traurig, P.A. PAC",Roger Wicker,2025-02-12,5000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Wicker, Roger",2025-06-25,5000.00
AMERICAN CHEMISTRY COUNCIL,American Chemistry Council PAC,Sen. Roger Wicker,2025-05-22,5000.00
NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation Good Government Fund,Roger Wicker,2025-06-04,5000.00
HOGAN LOVELLS US LLP,Hogan Lovells Political Committee,Senator Roger Wicker (R-MS),2025-04-08,2500.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Roger Wicker,2025-02-04,5000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Roger Wicker,2025-05-21,5000.00
"ERVIN GRAVES STRATEGY GROUP, LLC",,Leadership PAC of Roger Wicker,2025-06-24,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Sen. Roger F. Wicker (R-MS),2025-01-23,5000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Sen Roger Wicker,2025-05-07,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Sen. Roger Wicker,2025-06-12,1000.00
"POLARIS GOVERNMENT RELATIONS, LLC",,"Leadership PAC of Wicker, Roger",2025-06-30,1000.00
MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL PAC,SEN. ROGER WICKER,2025-02-06,2500.00
MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL PAC,SEN. ROGER WICKER,2025-02-26,-2500.00
MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL PAC,SEN. ROGER WICKER,2025-02-26,2500.00
CHUGACH ALASKA CORPORATION,Chugach Alaska Corporation PAC CAC PAC,Sen Roger Wicker,2025-01-07,5000.00
OGR,,Roger Wicker,2025-06-10,1000.00
NATIONAL ASSOCIATION OF CONVENIENCE STORES,National Association of Convenience Stores PAC,Sen. Roger Wicker (R),2025-05-27,5000.00
"AMENTUM HOLDINGS, INC.","Amentum Services, Inc. PAC",Senator Roger Wicker,2025-01-24,1000.00
"AMENTUM HOLDINGS, INC.","Amentum Services, Inc. PAC",Senator Roger Wicker,2025-06-13,1000.00
HANCE SCARBOROUGH,,Roger Wicker,2025-02-05,1000.00
CAPITOL COUNSEL LLC,,Sen. Roger Wicker (R-MS),2025-06-30,1000.00
GENERAL MOTORS COMPANY,General Motors Company Political Action Committee (GM PAC),Sen. Roger Wicker,2025-05-19,5000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Sen. Roger Wicker,2025-04-14,5000.00
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Science Applications International Corporation Voluntary Political Action Committee,Sen. Roger Wicker,2025-06-18,5000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Wicker, Roger",2025-02-12,5000.00
V2X,"V2X, INC. POLITICAL ACTION COMMITTEE",Senator Roger Wicker,2025-03-28,1000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",Roger Wicker,2025-01-02,5000.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Sen. Roger Wicker,2025-02-05,5000.00
"DELTA AIR LINES, INC.",Delta Air Lines PAC,Sen. Roger Wicker,2025-05-29,2500.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Sen. Roger Wicker,2025-02-18,5000.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Sen. Roger Wicker,2025-03-24,5000.00
CTIA-THE WIRELESS ASSOCIATION,,Sen. Roger Wicker,2025-06-23,1000.00
CSX CORPORATION,CSX Corporation Good Government Fund,Roger Wicker,2025-06-13,5000.00
AMERICAN GAS ASSOCIATION,American Gas Association Political Action Committee,Sen. Roger Wicker (R),2025-06-01,5000.00
HOLLAND & KNIGHT LLP,Holland & Knight Committee for Effective Government,Sen. Roger Wicker,2025-04-08,5000.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,"Megan Krynen Murphy, Professional Staff Member/Senate Homeland Security and Governmental Affairs Committee; Olivia Fahrmann, Operations Manager/Rep. Bill Huizenga, Grace Newton, Deputy Associate Director of Presidential Schedule/The White House; Deputy Scheduler/Sen. Roger Wicker; Anna May, Professional Staff Member/House Homeland Security Committee; Blake Nolan, COS/Rep. Vern Buchanan; Cade Slaughter, Special Assisant/ Office of Senate Majority Leader; Cady Cooper, Legislative Assistant/Sen. Cindy Hyde-Smith; Deidre Alexander, Legislative Director/Rep. Bennie Thompson; Eliza Lundy, Senior Policy Advisor/Sen. Cindy Hyde-Smith; Ian Pigg, Legislative Assistant/ Sen. Marsha Blackburn; Lucy Hulet, Legislative Aide/Sen. Jerry Moran; Mikhail Love, Legislative Assistant/Sen. Roger Wicker; and Sara Catherine Joseph, Director of Operations/House Homeland Security Committee; Sebastian Paez, Legislative Assistant/Sen. Roger Wicker; Anderson Helton, Legislative Assistant/Sen. Roger Wicker; Ansley Boylen, Director of Operations House Committee on Energy and Commerce; and Flannery Egner, Special Assistant/Sen. Roger Wicker",2025-01-12,5000.00
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),General Electric Company Aerospace Employee Political Action Committee (GE Aerospace PAC),Sen. Roger Wicker,2025-05-28,2000.00
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),General Electric Company Aerospace Employee Political Action Committee (GE Aerospace PAC),Sen. Roger Wicker,2025-03-03,5000.00
CTIA-THE WIRELESS ASSOCIATION,CTIA- The Wireless Association Political Action Committee,Sen. Roger Wicker,2025-06-18,2500.00
"BWX TECHNOLOGIES, INC.",BWX Technologies Inc Political Action Committee,Roger Wicker,2025-02-05,5000.00
PARSONS CORPORATION,Parsons Political Action Committee,Sen. Roger Wicker,2025-03-10,5000.00
"PALANTIR TECHNOLOGIES, INC.",Employees of Palantir Technologies Inc. PAC,Sen. Roger Wicker,2025-03-17,2500.00
"SALTCHUK RESOURCES, INC.",Saltchuk Resources Inc. PAC,Roger Wicker,2025-03-24,1000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Wicker, Roger",2025-03-28,5000.00
DOMTAR CORPORATION,RESOLUTE FOREST PRODUCTS INC. POLITICAL ACTION COMMITTEE AKA,Sen. Roger Wicker,2025-05-29,1000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Wicker, Roger",2025-03-18,5000.00
GENERAL ATOMICS,General Atomics Political Action Committee,Roger Wicker,2025-03-26,5000.00
PERATON CORP.,PERATON CORP. POLITICAL ACTION COMMITTEE (A.K.A. 'PERATON PAC'),"Wicker, Roger",2025-02-10,5000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Sen. Roger Wicker,2025-02-04,5000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Sen. Roger Wicker,2025-03-28,5000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Sen. Roger Wicker,2025-06-02,5000.00
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",SCI PAC,Roger Wicker,2025-03-04,2500.00
NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA - The Internet & Television Association Political Action Committee (NCTAPAC),Sen. Roger Wicker (R-MS),2025-02-27,5000.00
HOGAN LOVELLS US LLP,Hogan Lovells Political Action Committee,Senator Roger Wicker (R-MS),2025-04-08,2500.00
"APPLIED RESEARCH ASSOCIATES, INC.",APPLIED RESEARCH ASSOCIATES INC POLITICAL ACTION COMMITTEE ARAPAC,Sen Roger Wicker,2025-02-27,2500.00
AKIN GUMP STRAUSS HAUER & FELD,AKIN GUMP STRAUSS HAUER & FELD LLP CIVIC ACTION COMMITTEE (AKA AKIN GUMP PAC),"Wicker, Roger",2025-06-23,1000.00
"ELEVATE GOVERNMENT AFFAIRS, LLC",,US Senator Roger F. Wicker,2025-04-08,1000.00
"ELEVATE GOVERNMENT AFFAIRS, LLC",,US Senator Roger F. Wicker,2025-02-05,1000.00
INTERNATIONAL PAPER,International Paper Political Action Committee (IP-PAC),"Wicker, Roger",2025-01-30,5000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Sen Roger Wicker,2025-02-27,5000.00
AMAZON.COM SERVICES LLC,Amazon.com Services LLC Separate Segregated Fund (Amazon PAC),Sen. Roger Wicker,2025-06-04,2500.00
AMAZON.COM SERVICES LLC,Amazon.com Services LLC Separate Segregated Fund (Amazon PAC),Sen. Roger Wicker,2025-03-17,2500.00
