organization,pacs,honoree,date,amount_usd
NATIONAL MILK PRODUCERS FEDERATION,,Sen. Jim Justice,2025-06-17,500.00
"COINBASE, INC.","Coinbase, Inc. Innovation PAC",Sen. Jim Justice,2025-06-25,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,"Sen. Jim Justice, II",2025-06-27,1000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"S Moore Capito, S Collins, J Curtis, J Ernst, J Justice, R Marshall, M Mullin, T Sheehy, T Young, D Bacon, J Baird, T Balderson, A Barr, T Barrett, M Baumgartner, A Bean, C Bentz, S Bice, et al.",2025-02-05,5000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,James Justice,2025-06-16,5000.00
RED+BLUE STRATEGIES( FORMERLY KNOWN AS NATHANSON+HAUCK),,Senator Jim Justice,2025-06-19,500.00
"CITIGROUP WASHINGTON, INC.",Citigroup Inc. PAC - Federal (Citi PAC - Federal),"U.S. senators Joni Ernst, Todd Young, Roger Marshall, Susan Collins, Tim Sheehy, John Curtis, Jim Justice and Shelley Moore Capito.",2025-01-14,50000.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Sen. James Justice,2025-01-13,1500.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,HEALTH JOBS JUSTICE,2025-02-19,5000.00
NUCOR CORPORATION,Nucor Corporation PAC,James Justice,2025-06-02,5000.00
FARM CREDIT COUNCIL,The Farm Credit Council Political Action Committee,Sen James C Justice,2025-06-27,5000.00
"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",THE AMERICAN ELECTRIC POWER COMMITTEE FOR RESPONSIBLE GOVERN,Jim Justice,2025-06-04,250.00
