organization,pacs,honoree,date,amount_usd
WALGREEN COMPANY,WALGREEN CO PAC WalgreensPAC,Rep Lauren Underwood,2025-05-05,2500.00
WALGREEN COMPANY,WALGREEN CO PAC WalgreensPAC,Rep Lauren Underwood,2025-06-30,2500.00
ARNOLD & PORTER KAYE SCHOLER LLP,Fraternity & Sorority PAC,Congressman Lauren Underwood,2025-06-12,1000.00
"BARNES & THORNBURG, LLP",,Lauren Underwood,2025-06-30,500.00
AMERICAN VETERINARY MEDICAL ASSOCIATION,,Rep. Lauren Underwood,2025-03-25,1000.00
NATIONAL ASSOCIATION OF LANDSCAPE PROFESSIONALS,NALP PAC,Lauren Underwood for Congress,2025-03-19,2500.00
"MOTOROLA SOLUTIONS, INC","Motorola Solutions, Inc. Political Action Committee",Rep. Lauren Underwood,2025-06-25,2500.00
"GUIDE CONSULTING SERVICES, INC.",,Lauren Underwood,2025-03-10,1000.00
AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,CRNA-PAC,Rep. Lauren Underwood (D),2025-03-12,5000.00
AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,CRNA-PAC,Rep. Lauren Underwood (D),2025-04-23,5000.00
AMERICAN CRYSTAL SUGAR COMPANY,American Crystal Sugar Company PAC,Lauren Underwood For Congress,2025-04-16,5000.00
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS,American Association of Nurse Practitioners Political Action Committee,The Honorable Lauren Underwood,2025-03-20,5000.00
