county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Harris,not available,State House,139,Republican,Carmen Rice,201,79,36,0
Harris,not available,State House,139,Republican,Sean Knox,171,86,17,0
Muscogee,not available,State House,139,Republican,Carmen Rice,493,286,62,0
Muscogee,not available,State House,139,Republican,Sean Knox,387,213,44,0
