county,precinct,office,district,party,candidate,votes
Carson City,207,U.S. Senate,,LIB,"Scott, Neil",9
Carson City,207,State Senate,16,DEM,"Sims, Aaron",344
Carson City,207,Governor,,DEM,"SISOLAK, Steve",363
Carson City,207,State Controller,,DEM,"Spiegel, Ellen",340
Carson City,207,"School Trustee, District 1",,,"Stinson, Jason",399
Carson City,207,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",12
Carson City,207,State Assembly,40,LIB,"Toll, Sam",19
Carson City,207,"School Trustee, District 6",,,"Walt, Molly",407
Carson City,207,"Board of Supervisors, Ward 3",,,"Wells, James R.",335
Carson City,207,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",403
Carson City,207,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",383
Carson City,209,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",288
Carson City,209,U.S. House,2,REP,"Amodei, Mark E.",355
Carson City,209,Lieutenant Governor,,REP,"Anthony, Stavros",318
Carson City,209,U.S. House,2,LIB,"Baber, Darryl",9
Carson City,209,"Supreme Court Justice, Seat A",,,"Bell, Linda",456
Carson City,209,U.S. House,2,IAP,"Best, Russell",11
Carson City,209,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",255
Carson City,209,Governor,,IAP,"Bridges, Ed",8
Carson City,209,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",443
Carson City,209,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",261
Carson City,209,Attorney General,,REP,"Chattah, Sigal",268
Carson City,209,"School Trustee, District 6",,,"Cobb-Adams, Shanna",273
Carson City,209,State Treasurer,,DEM,"Conine, Zach",273
Carson City,209,U.S. Senate,,DEM,"Cortez Masto, Catherine",282
Carson City,209,Secretary of State,,LIB,"Crane, Ross",7
Carson City,209,Governor,,LIB,"Davis, Brandon",16
Carson City,209,Lieutenant Governor,,NPP,"Delap, John ""Trey""",5
Carson City,209,State Treasurer,,LIB,"Elliott, Bryan",7
Carson City,209,State Treasurer,,REP,"Fiore, Michele",320
Carson City,209,Attorney General,,DEM,"Ford, Aaron D.",301
Carson City,209,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",141
Carson City,209,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",478
Carson City,209,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",323
Carson City,209,Secretary of State,,IAP,"Hansen, Janine",20
Carson City,209,State Treasurer,,IAP,"Hendrickson, Margaret",14
Carson City,209,Clerk-Recorder,,,"Hoen, William ""Scott""",271
Carson City,209,Lieutenant Governor,,IAP,"Hoge, William",9
Carson City,209,"Board of Supervisors, Ward 3",,,"Horton, Curtis",305
Carson City,209,State Senate,16,REP,"Krasner, Lisa",354
Carson City,209,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",258
Carson City,209,U.S. Senate,,REP,"Laxalt, Adam Paul",309
Carson City,209,U.S. Senate,,NPP,"Lindemann, Barry",6
Carson City,209,Governor,,REP,"Lombardo, Joe",312
Carson City,209,Secretary of State,,REP,"Marchant, Jim",302
Carson City,209,State Controller,,REP,"Matthews, Andy",330
Carson City,209,State Assembly,40,DEM,"McDaniel, Shannon C.",266
Carson City,209,"Supreme Court Justice, Seat A",,,None Of These Candidates,142
Carson City,209,"Supreme Court Justice, Seat E",,,None Of These Candidates,138
Carson City,209,"Court of Appeals Judge, Department 3",,,None Of These Candidates,156
Carson City,209,"Court of Appeals Judge, Department 2",,,None Of These Candidates,120
Carson City,209,"Court of Appeals Judge, Department 1",,,None Of These Candidates,141
Carson City,209,Attorney General,,,None Of These Candidates,25
Carson City,209,State Controller,,,None Of These Candidates,19
Carson City,209,State Treasurer,,,None Of These Candidates,18
Carson City,209,Lieutenant Governor,,,None Of These Candidates,24
Carson City,209,Secretary of State,,,None Of These Candidates,12
Carson City,209,Governor,,,None Of These Candidates,23
Carson City,209,U.S. Senate,,,None Of These Candidates,15
Carson City,209,State Assembly,40,REP,"O'Neill, Philip ""PK""",340
Carson City,209,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",458
Carson City,209,State Controller,,LIB,"Profeta, Jed W.",12
Carson City,209,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",325
Carson City,209,U.S. Senate,,IAP,"RUBINSON, BARRY",10
Carson City,209,U.S. Senate,,LIB,"Scott, Neil",10
Carson City,209,State Senate,16,DEM,"Sims, Aaron",268
Carson City,209,Governor,,DEM,"SISOLAK, Steve",273
Carson City,209,State Controller,,DEM,"Spiegel, Ellen",269
Carson City,209,"School Trustee, District 1",,,"Stinson, Jason",261
Carson City,209,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",13
Carson City,209,State Assembly,40,LIB,"Toll, Sam",19
Carson City,209,"School Trustee, District 6",,,"Walt, Molly",302
Carson City,209,"Board of Supervisors, Ward 3",,,"Wells, James R.",265
Carson City,209,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",313
Carson City,209,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",317
Carson City,211,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",253
Carson City,211,U.S. House,2,REP,"Amodei, Mark E.",433
Carson City,211,Lieutenant Governor,,REP,"Anthony, Stavros",393
Carson City,211,U.S. House,2,LIB,"Baber, Darryl",10
Carson City,211,"Supreme Court Justice, Seat A",,,"Bell, Linda",479
Carson City,211,U.S. House,2,IAP,"Best, Russell",8
Carson City,211,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",288
Carson City,211,Governor,,IAP,"Bridges, Ed",11
Carson City,211,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",446
Carson City,211,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",232
Carson City,211,Attorney General,,REP,"Chattah, Sigal",320
Carson City,211,"School Trustee, District 6",,,"Cobb-Adams, Shanna",266
Carson City,211,State Treasurer,,DEM,"Conine, Zach",252
Carson City,211,U.S. Senate,,DEM,"Cortez Masto, Catherine",267
Carson City,211,Secretary of State,,LIB,"Crane, Ross",10
Carson City,211,Governor,,LIB,"Davis, Brandon",13
Carson City,211,Lieutenant Governor,,NPP,"Delap, John ""Trey""",6
Carson City,211,State Treasurer,,LIB,"Elliott, Bryan",15
Carson City,211,State Treasurer,,REP,"Fiore, Michele",381
Carson City,211,Attorney General,,DEM,"Ford, Aaron D.",285
Carson City,211,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",149
Carson City,211,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",488
Carson City,211,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",316
Carson City,211,Secretary of State,,IAP,"Hansen, Janine",12
Carson City,211,State Treasurer,,IAP,"Hendrickson, Margaret",7
Carson City,211,Clerk-Recorder,,,"Hoen, William ""Scott""",355
Carson City,211,Lieutenant Governor,,IAP,"Hoge, William",7
Carson City,211,"Board of Supervisors, Ward 3",,,"Horton, Curtis",365
Carson City,211,State Senate,16,REP,"Krasner, Lisa",422
Carson City,211,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",214
Carson City,211,U.S. Senate,,REP,"Laxalt, Adam Paul",384
Carson City,211,U.S. Senate,,NPP,"Lindemann, Barry",8
Carson City,211,Governor,,REP,"Lombardo, Joe",385
Carson City,211,Secretary of State,,REP,"Marchant, Jim",382
Carson City,211,State Controller,,REP,"Matthews, Andy",396
Carson City,211,State Assembly,40,DEM,"McDaniel, Shannon C.",220
Carson City,211,"Supreme Court Justice, Seat A",,,None Of These Candidates,132
Carson City,211,Attorney General,,,None Of These Candidates,24
Carson City,211,State Controller,,,None Of These Candidates,16
Carson City,211,State Treasurer,,,None Of These Candidates,11
Carson City,211,Secretary of State,,,None Of These Candidates,5
Carson City,211,Governor,,,None Of These Candidates,8
Carson City,211,Lieutenant Governor,,,None Of These Candidates,17
Carson City,211,"Court of Appeals Judge, Department 3",,,None Of These Candidates,147
Carson City,211,"Court of Appeals Judge, Department 2",,,None Of These Candidates,112
Carson City,211,"Supreme Court Justice, Seat E",,,None Of These Candidates,121
Carson City,211,"Court of Appeals Judge, Department 1",,,None Of These Candidates,148
Carson City,211,U.S. Senate,,,None Of These Candidates,1
Carson City,211,State Assembly,40,REP,"O'Neill, Philip ""PK""",413
Carson City,211,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",491
Carson City,211,State Controller,,LIB,"Profeta, Jed W.",16
Carson City,211,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",276
Carson City,211,U.S. Senate,,IAP,"RUBINSON, BARRY",3
Carson City,211,U.S. Senate,,LIB,"Scott, Neil",5
Carson City,211,State Senate,16,DEM,"Sims, Aaron",237
Carson City,211,Governor,,DEM,"SISOLAK, Steve",250
Carson City,211,State Controller,,DEM,"Spiegel, Ellen",236
Carson City,211,"School Trustee, District 1",,,"Stinson, Jason",329
Carson City,211,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",11
Carson City,211,State Assembly,40,LIB,"Toll, Sam",26
Carson City,211,"School Trustee, District 6",,,"Walt, Molly",324
Carson City,211,"Board of Supervisors, Ward 3",,,"Wells, James R.",229
Carson City,211,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",303
Carson City,211,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",258
Carson City,301,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",310
Carson City,301,U.S. House,2,REP,"Amodei, Mark E.",439
Carson City,301,Lieutenant Governor,,REP,"Anthony, Stavros",392
Carson City,301,U.S. House,2,LIB,"Baber, Darryl",15
Carson City,301,"Supreme Court Justice, Seat A",,,"Bell, Linda",536
Carson City,301,U.S. House,2,IAP,"Best, Russell",13
Carson City,301,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",288
Carson City,301,Governor,,IAP,"Bridges, Ed",13
Carson City,301,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",515
Carson City,301,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",293
Carson City,301,Attorney General,,REP,"Chattah, Sigal",309
Carson City,301,"School Trustee, District 6",,,"Cobb-Adams, Shanna",304
Carson City,301,State Treasurer,,DEM,"Conine, Zach",309
Carson City,301,U.S. Senate,,DEM,"Cortez Masto, Catherine",310
Carson City,301,Secretary of State,,LIB,"Crane, Ross",12
Carson City,301,Governor,,LIB,"Davis, Brandon",13
Carson City,301,Lieutenant Governor,,NPP,"Delap, John ""Trey""",10
Carson City,301,State Treasurer,,LIB,"Elliott, Bryan",23
Carson City,301,State Treasurer,,REP,"Fiore, Michele",355
Carson City,301,Attorney General,,DEM,"Ford, Aaron D.",344
Carson City,301,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",169
Carson City,301,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",544
Carson City,301,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",380
Carson City,301,Secretary of State,,IAP,"Hansen, Janine",26
Carson City,301,State Treasurer,,IAP,"Hendrickson, Margaret",23
Carson City,301,Clerk-Recorder,,,"Hoen, William ""Scott""",335
Carson City,301,Lieutenant Governor,,IAP,"Hoge, William",11
Carson City,301,"Board of Supervisors, Ward 3",,,"Horton, Curtis",386
Carson City,301,State Senate,16,REP,"Krasner, Lisa",430
Carson City,301,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",263
Carson City,301,U.S. Senate,,REP,"Laxalt, Adam Paul",388
Carson City,301,U.S. Senate,,NPP,"Lindemann, Barry",8
Carson City,301,Governor,,REP,"Lombardo, Joe",390
Carson City,301,Secretary of State,,REP,"Marchant, Jim",360
Carson City,301,State Controller,,REP,"Matthews, Andy",399
Carson City,301,State Assembly,40,DEM,"McDaniel, Shannon C.",286
Carson City,301,"Supreme Court Justice, Seat A",,,None Of These Candidates,138
Carson City,301,"Supreme Court Justice, Seat E",,,None Of These Candidates,150
Carson City,301,"Court of Appeals Judge, Department 1",,,None Of These Candidates,165
Carson City,301,Attorney General,,,None Of These Candidates,36
Carson City,301,Secretary of State,,,None Of These Candidates,11
Carson City,301,Lieutenant Governor,,,None Of These Candidates,9
Carson City,301,State Controller,,,None Of These Candidates,20
Carson City,301,State Treasurer,,,None Of These Candidates,18
Carson City,301,"Court of Appeals Judge, Department 3",,,None Of These Candidates,166
Carson City,301,"Court of Appeals Judge, Department 2",,,None Of These Candidates,143
Carson City,301,Governor,,,None Of These Candidates,15
Carson City,301,U.S. Senate,,,None Of These Candidates,6
Carson City,301,State Assembly,40,REP,"O'Neill, Philip ""PK""",408
Carson City,301,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",521
Carson City,301,State Controller,,LIB,"Profeta, Jed W.",17
Carson City,301,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",356
Carson City,301,U.S. Senate,,IAP,"RUBINSON, BARRY",10
Carson City,301,U.S. Senate,,LIB,"Scott, Neil",9
Carson City,301,State Senate,16,DEM,"Sims, Aaron",284
Carson City,301,Governor,,DEM,"SISOLAK, Steve",299
Carson City,301,State Controller,,DEM,"Spiegel, Ellen",289
Carson City,301,"School Trustee, District 1",,,"Stinson, Jason",322
Carson City,301,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",11
Carson City,301,State Assembly,40,LIB,"Toll, Sam",24
Carson City,301,"School Trustee, District 6",,,"Walt, Molly",359
Carson City,301,"Board of Supervisors, Ward 3",,,"Wells, James R.",270
Carson City,301,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",344
Carson City,301,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",338
Carson City,303,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",428
Carson City,303,U.S. House,2,REP,"Amodei, Mark E.",579
Carson City,303,Lieutenant Governor,,REP,"Anthony, Stavros",525
Carson City,303,U.S. House,2,LIB,"Baber, Darryl",13
Carson City,303,"Supreme Court Justice, Seat A",,,"Bell, Linda",712
Carson City,303,U.S. House,2,IAP,"Best, Russell",16
Carson City,303,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",330
Carson City,303,Governor,,IAP,"Bridges, Ed",12
Carson City,303,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",682
Carson City,303,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",374
Carson City,303,Attorney General,,REP,"Chattah, Sigal",419
Carson City,303,"School Trustee, District 6",,,"Cobb-Adams, Shanna",349
Carson City,303,State Treasurer,,DEM,"Conine, Zach",405
Carson City,303,U.S. Senate,,DEM,"Cortez Masto, Catherine",415
Carson City,303,Secretary of State,,LIB,"Crane, Ross",14
Carson City,303,Governor,,LIB,"Davis, Brandon",24
Carson City,303,Lieutenant Governor,,NPP,"Delap, John ""Trey""",7
Carson City,303,State Treasurer,,LIB,"Elliott, Bryan",21
Carson City,303,State Treasurer,,REP,"Fiore, Michele",489
Carson City,303,Attorney General,,DEM,"Ford, Aaron D.",460
Carson City,303,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",244
Carson City,303,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",728
Carson City,303,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",563
Carson City,303,Secretary of State,,IAP,"Hansen, Janine",26
Carson City,303,State Treasurer,,IAP,"Hendrickson, Margaret",24
Carson City,303,Clerk-Recorder,,,"Hoen, William ""Scott""",421
Carson City,303,Lieutenant Governor,,IAP,"Hoge, William",21
Carson City,303,"Board of Supervisors, Ward 3",,,"Horton, Curtis",500
Carson City,303,State Senate,16,REP,"Krasner, Lisa",583
Carson City,303,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",371
Carson City,303,U.S. Senate,,REP,"Laxalt, Adam Paul",515
Carson City,303,U.S. Senate,,NPP,"Lindemann, Barry",11
Carson City,303,Governor,,REP,"Lombardo, Joe",533
Carson City,303,Secretary of State,,REP,"Marchant, Jim",485
Carson City,303,State Controller,,REP,"Matthews, Andy",545
Carson City,303,State Assembly,40,DEM,"McDaniel, Shannon C.",373
Carson City,303,"Supreme Court Justice, Seat A",,,None Of These Candidates,193
Carson City,303,"Supreme Court Justice, Seat E",,,None Of These Candidates,193
Carson City,303,"Court of Appeals Judge, Department 3",,,None Of These Candidates,221
Carson City,303,"Court of Appeals Judge, Department 2",,,None Of These Candidates,181
Carson City,303,"Court of Appeals Judge, Department 1",,,None Of These Candidates,184
Carson City,303,Attorney General,,,None Of These Candidates,36
Carson City,303,State Controller,,,None Of These Candidates,32
Carson City,303,Secretary of State,,,None Of These Candidates,19
Carson City,303,State Treasurer,,,None Of These Candidates,32
Carson City,303,Lieutenant Governor,,,None Of These Candidates,27
Carson City,303,Governor,,,None Of These Candidates,19
Carson City,303,U.S. Senate,,,None Of These Candidates,20
Carson City,303,State Assembly,40,REP,"O'Neill, Philip ""PK""",566
Carson City,303,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",715
Carson City,303,State Controller,,LIB,"Profeta, Jed W.",26
Carson City,303,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",477
Carson City,303,U.S. Senate,,IAP,"RUBINSON, BARRY",12
Carson City,303,U.S. Senate,,LIB,"Scott, Neil",7
Carson City,303,State Senate,16,DEM,"Sims, Aaron",373
Carson City,303,Governor,,DEM,"SISOLAK, Steve",390
Carson City,303,State Controller,,DEM,"Spiegel, Ellen",366
Carson City,303,"School Trustee, District 1",,,"Stinson, Jason",412
Carson City,303,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",18
Carson City,303,State Assembly,40,LIB,"Toll, Sam",25
Carson City,303,"School Trustee, District 6",,,"Walt, Molly",524
Carson City,303,"Board of Supervisors, Ward 3",,,"Wells, James R.",374
Carson City,303,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",474
Carson City,303,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",470
Carson City,305,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",413
Carson City,305,U.S. House,2,REP,"Amodei, Mark E.",631
Carson City,305,Lieutenant Governor,,REP,"Anthony, Stavros",546
Carson City,305,U.S. House,2,LIB,"Baber, Darryl",11
Carson City,305,"Supreme Court Justice, Seat A",,,"Bell, Linda",698
Carson City,305,U.S. House,2,IAP,"Best, Russell",17
Carson City,305,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",350
Carson City,305,Governor,,IAP,"Bridges, Ed",12
Carson City,305,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",680
Carson City,305,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",363
Carson City,305,Attorney General,,REP,"Chattah, Sigal",415
Carson City,305,"School Trustee, District 6",,,"Cobb-Adams, Shanna",373
Carson City,305,State Treasurer,,DEM,"Conine, Zach",395
Carson City,305,U.S. Senate,,DEM,"Cortez Masto, Catherine",414
Carson City,305,Secretary of State,,LIB,"Crane, Ross",8
Carson City,305,Governor,,LIB,"Davis, Brandon",17
Carson City,305,Lieutenant Governor,,NPP,"Delap, John ""Trey""",6
Carson City,305,State Treasurer,,LIB,"Elliott, Bryan",20
Carson City,305,State Treasurer,,REP,"Fiore, Michele",501
Carson City,305,Attorney General,,DEM,"Ford, Aaron D.",464
Carson City,305,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",239
Carson City,305,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",726
Carson City,305,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",546
Carson City,305,Secretary of State,,IAP,"Hansen, Janine",29
Carson City,305,State Treasurer,,IAP,"Hendrickson, Margaret",20
Carson City,305,Clerk-Recorder,,,"Hoen, William ""Scott""",453
Carson City,305,Lieutenant Governor,,IAP,"Hoge, William",9
Carson City,305,"Board of Supervisors, Ward 3",,,"Horton, Curtis",526
Carson City,305,State Senate,16,REP,"Krasner, Lisa",603
Carson City,305,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",312
Carson City,305,U.S. Senate,,REP,"Laxalt, Adam Paul",523
Carson City,305,U.S. Senate,,NPP,"Lindemann, Barry",9
Carson City,305,Governor,,REP,"Lombardo, Joe",529
Carson City,305,Secretary of State,,REP,"Marchant, Jim",496
Carson City,305,State Controller,,REP,"Matthews, Andy",566
Carson City,305,State Assembly,40,DEM,"McDaniel, Shannon C.",332
Carson City,305,"Supreme Court Justice, Seat A",,,None Of These Candidates,190
Carson City,305,"Supreme Court Justice, Seat E",,,None Of These Candidates,177
Carson City,305,"Court of Appeals Judge, Department 2",,,None Of These Candidates,160
Carson City,305,"Court of Appeals Judge, Department 1",,,None Of These Candidates,190
Carson City,305,"Court of Appeals Judge, Department 3",,,None Of These Candidates,198
Carson City,305,Attorney General,,,None Of These Candidates,54
Carson City,305,State Treasurer,,,None Of These Candidates,27
Carson City,305,State Controller,,,None Of These Candidates,21
Carson City,305,Secretary of State,,,None Of These Candidates,17
Carson City,305,Lieutenant Governor,,,None Of These Candidates,22
Carson City,305,Governor,,,None Of These Candidates,24
Carson City,305,U.S. Senate,,,None Of These Candidates,14
Carson City,305,State Assembly,40,REP,"O'Neill, Philip ""PK""",599
Carson City,305,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",710
Carson City,305,State Controller,,LIB,"Profeta, Jed W.",14
Carson City,305,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",463
Carson City,305,U.S. Senate,,IAP,"RUBINSON, BARRY",4
Carson City,305,U.S. Senate,,LIB,"Scott, Neil",5
Carson City,305,State Senate,16,DEM,"Sims, Aaron",347
Carson City,305,Governor,,DEM,"SISOLAK, Steve",388
Carson City,305,State Controller,,DEM,"Spiegel, Ellen",362
Carson City,305,"School Trustee, District 1",,,"Stinson, Jason",436
Carson City,305,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",13
Carson City,305,State Assembly,40,LIB,"Toll, Sam",23
Carson City,305,"School Trustee, District 6",,,"Walt, Molly",503
Carson City,305,"Board of Supervisors, Ward 3",,,"Wells, James R.",350
Carson City,305,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",466
Carson City,305,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",451
Carson City,307,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",618
Carson City,307,U.S. House,2,REP,"Amodei, Mark E.",673
Carson City,307,Lieutenant Governor,,REP,"Anthony, Stavros",619
Carson City,307,U.S. House,2,LIB,"Baber, Darryl",16
Carson City,307,"Supreme Court Justice, Seat A",,,"Bell, Linda",907
Carson City,307,U.S. House,2,IAP,"Best, Russell",28
Carson City,307,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",516
Carson City,307,Governor,,IAP,"Bridges, Ed",19
Carson City,307,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",869
Carson City,307,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",548
Carson City,307,Attorney General,,REP,"Chattah, Sigal",507
Carson City,307,"School Trustee, District 6",,,"Cobb-Adams, Shanna",603
Carson City,307,State Treasurer,,DEM,"Conine, Zach",581
Carson City,307,U.S. Senate,,DEM,"Cortez Masto, Catherine",613
Carson City,307,Secretary of State,,LIB,"Crane, Ross",15
Carson City,307,Governor,,LIB,"Davis, Brandon",25
Carson City,307,Lieutenant Governor,,NPP,"Delap, John ""Trey""",13
Carson City,307,State Treasurer,,LIB,"Elliott, Bryan",29
Carson City,307,State Treasurer,,REP,"Fiore, Michele",582
Carson City,307,Attorney General,,DEM,"Ford, Aaron D.",640
Carson City,307,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",287
Carson City,307,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",910
Carson City,307,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",655
Carson City,307,Secretary of State,,IAP,"Hansen, Janine",32
Carson City,307,State Treasurer,,IAP,"Hendrickson, Margaret",41
Carson City,307,Clerk-Recorder,,,"Hoen, William ""Scott""",582
Carson City,307,Lieutenant Governor,,IAP,"Hoge, William",20
Carson City,307,"Board of Supervisors, Ward 3",,,"Horton, Curtis",683
Carson City,307,State Senate,16,REP,"Krasner, Lisa",679
Carson City,307,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",542
Carson City,307,U.S. Senate,,REP,"Laxalt, Adam Paul",588
Carson City,307,U.S. Senate,,NPP,"Lindemann, Barry",21
Carson City,307,Governor,,REP,"Lombardo, Joe",601
Carson City,307,Secretary of State,,REP,"Marchant, Jim",569
Carson City,307,State Controller,,REP,"Matthews, Andy",635
Carson City,307,State Assembly,40,DEM,"McDaniel, Shannon C.",570
Carson City,307,"Supreme Court Justice, Seat A",,,None Of These Candidates,283
Carson City,307,"Supreme Court Justice, Seat E",,,None Of These Candidates,274
Carson City,307,"Court of Appeals Judge, Department 1",,,None Of These Candidates,296
Carson City,307,Attorney General,,,None Of These Candidates,39
Carson City,307,State Controller,,,None Of These Candidates,33
Carson City,307,"Court of Appeals Judge, Department 3",,,None Of These Candidates,318
Carson City,307,"Court of Appeals Judge, Department 2",,,None Of These Candidates,277
Carson City,307,State Treasurer,,,None Of These Candidates,26
Carson City,307,Lieutenant Governor,,,None Of These Candidates,28
Carson City,307,Secretary of State,,,None Of These Candidates,22
Carson City,307,Governor,,,None Of These Candidates,25
Carson City,307,U.S. Senate,,,None Of These Candidates,16
Carson City,307,State Assembly,40,REP,"O'Neill, Philip ""PK""",632
Carson City,307,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",914
Carson City,307,State Controller,,LIB,"Profeta, Jed W.",24
Carson City,307,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",659
Carson City,307,U.S. Senate,,IAP,"RUBINSON, BARRY",13
Carson City,307,U.S. Senate,,LIB,"Scott, Neil",15
Carson City,307,State Senate,16,DEM,"Sims, Aaron",557
Carson City,307,Governor,,DEM,"SISOLAK, Steve",593
Carson City,307,State Controller,,DEM,"Spiegel, Ellen",566
Carson City,307,"School Trustee, District 1",,,"Stinson, Jason",524
Carson City,307,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",28
Carson City,307,State Assembly,40,LIB,"Toll, Sam",42
Carson City,307,"School Trustee, District 6",,,"Walt, Molly",555
Carson City,307,"Board of Supervisors, Ward 3",,,"Wells, James R.",478
Carson City,307,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",612
Carson City,307,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",597
Carson City,309,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",492
Carson City,309,U.S. House,2,REP,"Amodei, Mark E.",895
Carson City,309,Lieutenant Governor,,REP,"Anthony, Stavros",814
Carson City,309,U.S. House,2,LIB,"Baber, Darryl",8
Carson City,309,"Supreme Court Justice, Seat A",,,"Bell, Linda",920
Carson City,309,U.S. House,2,IAP,"Best, Russell",12
Carson City,309,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",510
Carson City,309,Governor,,IAP,"Bridges, Ed",19
Carson City,309,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",864
Carson City,309,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",420
Carson City,309,Attorney General,,REP,"Chattah, Sigal",657
Carson City,309,"School Trustee, District 6",,,"Cobb-Adams, Shanna",521
Carson City,309,State Treasurer,,DEM,"Conine, Zach",473
Carson City,309,U.S. Senate,,DEM,"Cortez Masto, Catherine",473
Carson City,309,Secretary of State,,LIB,"Crane, Ross",11
Carson City,309,Governor,,LIB,"Davis, Brandon",19
Carson City,309,Lieutenant Governor,,NPP,"Delap, John ""Trey""",12
Carson City,309,State Treasurer,,LIB,"Elliott, Bryan",18
Carson City,309,State Treasurer,,REP,"Fiore, Michele",759
Carson City,309,Attorney General,,DEM,"Ford, Aaron D.",527
