organization,pacs,honoree,date,amount_usd
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Joe Morelle,2025-03-27,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Diana DeGette,2025-03-27,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Kathy Castor,2025-03-27,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Greg Landsman,2025-03-27,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Kelly Morrison,2025-03-28,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Yassamin Ansari,2025-03-28,1033.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Suzan DelBene,2025-05-05,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Shelley Moore Capito,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Steven Horsford,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Madeleine Dean,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Brittany Pettersen,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Laura Gillen,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Marc Veasey,2025-05-08,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Julie Johnson,2025-05-14,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Jon Ossoff,2025-05-21,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Veronica Escobar,2025-05-28,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Nanette Barragan,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),David Valadao,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Hakeem Jeffries,2025-05-30,2500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Debbie Dingell,2025-05-30,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Lois Frankel,2025-05-30,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Bill Cassidy,2025-05-30,2500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Linda Sanchez,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Mike Thompson,2025-05-30,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Richie Neal,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Jay Obernolte,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Susan Collins,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Don Davis,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Tammy Duckworth,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Tammy Baldwin,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),John Hickenlooper,2025-06-23,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Bonnie Watson Coleman,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Shelley Moore Capito,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Julia Brownley,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Jim Clyburn,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Lloyd Doggett,2025-06-25,2000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Herb Conaway,2025-06-25,2500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Gabe Amo,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Kristen McDonald Rivet,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Greg Landsman,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Jerry Nadler,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),John Boozman,2025-06-25,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Gabe Evans,2025-06-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Elizabeth Pannill Fletcher,2025-06-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Gabe Amo,2025-06-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Peter Welch,2025-06-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),David Valadao,2025-06-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Lauren Underwood,2025-06-30,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Sarah McBride,2025-06-30,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Robin Kelly,2025-02-04,1500.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),DCCC,2025-02-04,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Catherine Cortez Masto,2025-02-04,5000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Katherine Clark,2025-02-05,5000.00
