town,ward,precinct,office,district,party,candidate,votes
Lee,,1,U.S. House,1st,Democratic,Blanks,15
Lowell,7,2,State House,18th Middlesex,Democratic,Blanks,71
Boston,1,11,Governor's Council,6th,Democratic,Blanks,66
Taunton,1,A,U.S. Senate,,Republican,All Others,1
Boston,2,2,State Senate,Middlesex and Suffolk,Democratic,Sal N. DiDomenico,704
Belchertown,,C,State House,7th Hampden,Democratic,All Others,3
Barre,,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Gloucester,4,1,State House,5th Essex,Democratic,All Others,5
Easton,,1,U.S. House,,Democratic,Ihssane Leckey,49
Boston,4,3,U.S. Senate,,Republican,Kevin J. O'Connor,7
Lexington,,8,State House,15th Middlesex,Democratic,Blanks,179
Boston,2,6,U.S. Senate,,Libertarian,Blanks,0
Boston,1,10,U.S. Senate,,Democratic,Total Votes Cast,218
Newton,6,3,U.S. House,4th,Republican,Julie A. Hall,25
Waltham,2,2,State House,9th Middlesex,Democratic,All Others,3
Falmouth,,9,U.S. House,9th,Republican,Total Votes Cast,230
Hanson,,2,U.S. Senate,,Republican,Total Votes Cast,323
Worcester,3,2,U.S. Senate,,Democratic,Edward J. Markey,99
Middleton,,1,U.S. House,6th,Democratic,Angus G. McQuilken,125
Clinton,,2,U.S. Senate,,Republican,Blanks,1
Springfield,3,F,State Senate,Hampden,Democratic,Blanks,14
Boston,13,6,State House,13th Suffolk,Democratic,Total Votes Cast,457
Walpole,,5,U.S. House,8th,Democratic,Total Votes Cast,570
Amherst,,6,State Senate,"Hampshire, Franklin and Worcester",Democratic,Joanne M. Comerford,875
Fairhaven,,2,U.S. Senate,,Democratic,Total Votes Cast,563
Plymouth,,2,State Senate,Plymouth and Barnstable,Special Republican,Blanks,3
Billerica,,6,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,485
Danvers,,5,U.S. Senate,,Republican,Shiva Ayyadurai,96
Cambridge,6,2,State Senate,Middlesex and Suffolk,Democratic,All Others,1
Springfield,1,F,U.S. Senate,,Democratic,Edward J. Markey,69
Boston,14,3,U.S. Senate,,Libertarian,Blanks,0
Acton,,3,State House,37th Middlesex,Democratic,Danillo A. Sena,1047
Bourne,,3,State Senate,Plymouth and Barnstable,Democratic,Susan Lynn Moran,247
Westminster,,1,State House,2nd Worcester,Republican,Total Votes Cast,270
Winthrop,,2,U.S. Senate,,Republican,Shiva Ayyadurai,56
Milford,,7,U.S. House,,Democratic,Jesse R. Mermell,93
Halifax,,1,State House,12th Plymouth,Republican,Blanks,39
Plymouth,,3,U.S. House,9th,Democratic,All Others,6
Somerville,2,3,U.S. House,7th,Republican,Total Votes Cast,45
Lawrence,D,2,U.S. Senate,,Libertarian,Total Votes Cast,2
Waltham,8,1,State House,10th Middlesex,Democratic,All Others,0
Northborough,,3,U.S. Senate,,Democratic,All Others,2
Milford,,5,U.S. House,,Democratic,Ihssane Leckey,86
Worcester,1,4,State Senate,1st Worcester,Democratic,Harriette L. Chandler,1029
Boston,21,11,U.S. Senate,,Republican,Total Votes Cast,22
Concord,,1,U.S. Senate,,Libertarian,Blanks,0
Randolph,,6,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",289
Lowell,2,3,Governor's Council,5th,Democratic,All Others,7
Randolph,,12,U.S. Senate,,Republican,Total Votes Cast,94
Revere,4,1,Governor's Council,6th,Democratic,Total Votes Cast,416
Marshfield,,5,State Senate,Plymouth and Norfolk,Democratic,Total Votes Cast,778
Bourne,,1,Governor's Council,1st,Democratic,All Others,2
Marshfield,,6,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Bedford,,1,U.S. House,6th,Democratic,Seth W. Moulton,798
Newton,1,3,U.S. Senate,,Republican,Shiva Ayyadurai,26
Plymouth,,5,State Senate,Plymouth and Barnstable,Special Democratic,Total Votes Cast,744
Boston,17,11,State House,12th Suffolk,Democratic,All Others,0
Braintree,,1B,U.S. Senate,,Republican,Blanks,4
N. Andover,,6,U.S. House,6th,Democratic,Seth W. Moulton,603
Medford,7,2,State Senate,2nd Middlesex,Democratic,Blanks,88
TOTALS,,,Governor's Council,5th,Democratic,Blanks,34762
Marblehead,,3,State Senate,3rd Essex,Democratic,Brendan P. Crighton,752
Yarmouth,,1,State House,1st Barnstable,Democratic,All Others,1
Cambridge,1,3,Governor's Council,6th,Democratic,Helina Fontes,450
Acushnet,,2,U.S. Senate,,Democratic,Total Votes Cast,541
Fall River,4,B,Governor's Council,1st,Democratic,Joseph C. Ferreira,176
Billerica,,6,State Senate,4th Middlesex,Democratic,Total Votes Cast,592
Freetown,,1,U.S. House,,Democratic,All Others,1
Worcester,2,3,U.S. House,2nd,Republican,Blanks,25
Gardner,2,B,U.S. Senate,,Libertarian,All Others,4
Whitman,,3,U.S. House,8th,Democratic,Robbie H. Goldstein,170
Boston,2,2,Governor's Council,6th,Democratic,Blanks,171
Reading,,4,U.S. House,6th,Democratic,Blanks,49
Cohasset,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",513
Watertown,,7,U.S. Senate,,Democratic,All Others,1
Quincy,4,5,U.S. Senate,,Republican,Total Votes Cast,98
Seekonk,,3,U.S. House,,Democratic,Benjamin R. Sigel,4
Weymouth,,6,U.S. Senate,,Democratic,All Others,4
Waltham,2,1,State House,9th Middlesex,Democratic,Blanks,165
N. Andover,,1,U.S. Senate,,Democratic,Total Votes Cast,703
Cambridge,10,2,U.S. House,5th,Republican,Total Votes Cast,28
Braintree,,3B,State House,5th Norfolk,Democratic,Paul C. Hennessy,199
Boston,11,6,U.S. Senate,,Libertarian,Blanks,0
Adams,,2,U.S. Senate,,Libertarian,Total Votes Cast,3
Boston,18,18,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Springfield,5,D,State Senate,1st Hampden and Hampshire,Democratic,Blanks,69
Sharon,,5,U.S. Senate,,Democratic,Edward J. Markey,541
Gloucester,5,1,U.S. House,6th,Democratic,Angus G. McQuilken,82
Uxbridge,,2,U.S. Senate,,Republican,Kevin J. O'Connor,108
New Bedford,1,E,State House,8th Bristol,Republican,Blanks,24
Boston,10,2,U.S. Senate,,Republican,Kevin J. O'Connor,8
Fitchburg,5,B,U.S. Senate,,Democratic,All Others,0
W. Springfield,,2,U.S. Senate,,Republican,Total Votes Cast,81
Hudson,,5,U.S. House,3rd,Democratic,Lori Loureiro Trahan,773
Boston,18,7,State House,6th Suffolk,Democratic,Blanks,113
Fitchburg,3,B,U.S. Senate,,Libertarian,All Others,4
Haverhill,4,1,U.S. Senate,,Democratic,Edward J. Markey,285
Norwood,,3,U.S. Senate,,Republican,Blanks,1
Charlton,,2,U.S. House,1st,Democratic,Alex B. Morse,168
Holbrook,,3,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",424
Medway,,1,U.S. Senate,,Republican,All Others,2
Methuen,,11,U.S. Senate,,Democratic,Edward J. Markey,336
New Bedford,4,C,U.S. House,9th,Republican,Helen Brady,33
Leominster,2,A,State House,4th Worcester,Democratic,Total Votes Cast,247
Waltham,9,2,U.S. House,5th,Democratic,All Others,9
Acton,,3,U.S. House,3rd,Democratic,Total Votes Cast,1221
Harwich,,4,U.S. Senate,,Democratic,All Others,0
Beverly,1,2,State House,6th Essex,Democratic,All Others,1
Mansfield,,4,U.S. Senate,,Democratic,Total Votes Cast,804
Stoneham,,3,U.S. House,5th,Republican,Caroline Colarusso,179
Arlington,,11,U.S. Senate,,Democratic,Edward J. Markey,688
Boston,14,6,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",206
Blackstone,,1,U.S. House,2nd,Republican,All Others,0
Blackstone,,1,Governor's Council,7th,Democratic,Paul M. Depalo,175
Beverly,3,2,U.S. Senate,,Libertarian,Total Votes Cast,12
Westford,,3,State Senate,1st Middlesex,Democratic,Total Votes Cast,970
Kingston,,1,State House,12th Plymouth,Democratic,Blanks,97
Boston,5,10,U.S. Senate,,Democratic,Total Votes Cast,462
E. Longmeadow,,2,U.S. Senate,,Republican,Shiva Ayyadurai,68
Billerica,,9,U.S. Senate,,Democratic,Total Votes Cast,607
Orleans,,1,U.S. Senate,,Republican,Kevin J. O'Connor,271
Needham,,C,U.S. House,,Democratic,Ihssane Leckey,40
Framingham,,3,U.S. Senate,,Democratic,All Others,0
Woburn,1,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Andover,,4,U.S. House,3rd,Democratic,Lori Loureiro Trahan,713
Plymouth,,5,Governor's Council,1st,Democratic,Blanks,181
Somerset,,1,State House,5th Bristol,Democratic,All Others,4
Plainfield,,1,U.S. House,1st,Democratic,Alex B. Morse,149
Boston,5,4,Governor's Council,6th,Democratic,Helina Fontes,365
Boston,4,8,U.S. House,7th,Republican,Total Votes Cast,25
Egremont,,1,U.S. Senate,,Republican,Total Votes Cast,22
Revere,6,2,State House,16th Suffolk,Republican,Total Votes Cast,147
New Bedford,4,E,U.S. House,9th,Republican,Blanks,8
Pembroke,,5,U.S. Senate,,Republican,All Others,1
Boston,19,6,U.S. Senate,,Republican,Kevin J. O'Connor,7
Tolland,,1,U.S. House,1st,Democratic,All Others,0
Great Barrington,,C,Governor's Council,8th,Democratic,Mary E. Hurley,357
Lexington,,3,U.S. House,5th,Republican,All Others,1
Saugus,,9,State Senate,3rd Essex,Republican,Carlos Armando Hernandez,0
Westwood,,3,State Senate,Norfolk and Suffolk,Democratic,Blanks,345
Falmouth,,7,State Senate,Plymouth and Barnstable,Special Republican,Total Votes Cast,329
Lakeville,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",445
Boston,7,3,U.S. House,8th,Democratic,Blanks,12
Brimfield,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Anne M. Gobi,520
Fall River,3,B,U.S. Senate,,Libertarian,Blanks,5
New Bedford,1,E,U.S. Senate,,Libertarian,Blanks,0
Wilmington,,4,U.S. Senate,,Democratic,All Others,0
Springfield,3,B,State Senate,Hampden,Democratic,Blanks,15
Randolph,,12,U.S. House,7th,Democratic,Total Votes Cast,715
Boston,20,1,State Senate,Norfolk and Suffolk,Democratic,Blanks,216
Leominster,1,B,State Senate,Worcester and Middlesex,Republican,Total Votes Cast,159
Milton,,10,State House,7th Norfolk,Democratic,"William J. Driscoll, Jr",521
Milton,,9,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Boston,4,1,U.S. Senate,,Democratic,Edward J. Markey,487
Lawrence,C,1,U.S. Senate,,Democratic,Total Votes Cast,287
Webster,,3,U.S. Senate,,Republican,Kevin J. O'Connor,89
Milton,,6,State Senate,"Norfolk, Bristol and Plymouth",Democratic,"Walter F. Timilty, Jr.",697
TOTALS,,,State House,8th Norfolk,Democratic,Blanks,1069
Boston,19,11,U.S. Senate,,Libertarian,All Others,3
Easton,,4,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Jarred Philip Rose,362
Milton,,2,State House,12th Suffolk,Democratic,Jovan J. Lacet,224
New Bedford,3,E,U.S. Senate,,Libertarian,All Others,0
Leominster,3,C,Governor's Council,7th,Democratic,Paul M. Depalo,327
Framingham,,3,State House,13th Middlesex,Republican,Total Votes Cast,111
Orange,,1,State House,2nd Franklin,Democratic,Blanks,62
Haverhill,7,2,U.S. Senate,,Republican,Kevin J. O'Connor,73
Natick,,9,U.S. House,5th,Republican,Caroline Colarusso,96
Boston,11,5,U.S. Senate,,Republican,All Others,0
Worcester,9,4,Governor's Council,7th,Democratic,Blanks,93
Bedford,,2,U.S. Senate,,Democratic,Edward J. Markey,542
Gloucester,2,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",220
Fairhaven,,1,U.S. Senate,,Republican,All Others,0
Yarmouth,,5,U.S. Senate,,Libertarian,Blanks,3
Amherst,,7,State Senate,"Hampshire, Franklin and Worcester",Democratic,All Others,3
Framingham,,1,State Senate,2nd Middlesex and Norfolk,Democratic,Blanks,170
Boston,5,9,U.S. Senate,,Libertarian,Total Votes Cast,1
Barre,,1,State House,5th Worcester,Republican,All Others,1
Westfield,1,A,U.S. Senate,,Democratic,Edward J. Markey,255
Boston,9,4,State Senate,2nd Suffolk,Democratic,All Others,5
Peabody,5,2,State Senate,2nd Essex,Democratic,Blanks,75
Pittsfield,7,B,U.S. Senate,,Republican,Shiva Ayyadurai,36
Boston,7,6,U.S. Senate,,Republican,Shiva Ayyadurai,14
Worcester,1,5,U.S. Senate,,Republican,Kevin J. O'Connor,68
Worcester,6,4,State Senate,2nd Worcester,Democratic,Michael O. Moore,189
Boston,7,8,U.S. Senate,,Libertarian,All Others,0
Blackstone,,2,U.S. Senate,,Republican,Blanks,4
Seekonk,,3,State Senate,Bristol and Norfolk,Republican,All Others,24
Burlington,,7,U.S. House,6th,Democratic,Jamie M. Belsito,123
Gardner,4,A,State Senate,Worcester and Middlesex,Republican,All Others,0
Easton,,6,State House,3rd Bristol,Democratic,Carol A. Doherty,631
Malden,5,1,U.S. House,5th,Libertarian,Total Votes Cast,3
Springfield,8,C,State Senate,Hampden,Democratic,James T. Welch,152
S. Hadley,,C,U.S. Senate,,Republican,Shiva Ayyadurai,93
E. Bridgewater,,3,U.S. House,8th,Democratic,All Others,1
Natick,,10,State House,5th Middlesex,Democratic,Jaymin A. Patel,205
Ayer,,2,State House,37th Middlesex,Democratic,All Others,0
Boston,1,10,State Senate,1st Suffolk and Middlesex,Democratic,Total Votes Cast,218
Springfield,2,G,U.S. House,1st,Democratic,All Others,0
Watertown,,2,U.S. Senate,,Democratic,Total Votes Cast,764
Fairhaven,,6,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,490
Watertown,,5,U.S. House,5th,Democratic,Total Votes Cast,979
Natick,,10,U.S. Senate,,Democratic,Edward J. Markey,826
Sharon,,4,State Senate,Bristol and Norfolk,Democratic,All Others,9
Westford,,1,State House,2nd Middlesex,Democratic,All Others,6
Newton,1,2,Governor's Council,3rd,Democratic,Blanks,275
Blackstone,,2,Governor's Council,7th,Democratic,Total Votes Cast,445
Ashland,,5,Governor's Council,2nd,Democratic,Robert L. Jubinville,722
Whately,,1,Governor's Council,8th,Democratic,Blanks,54
Springfield,2,C,U.S. Senate,,Republican,Kevin J. O'Connor,8
Amesbury,,3,U.S. Senate,,Republican,Shiva Ayyadurai,51
Boston,22,6,U.S. Senate,,Democratic,All Others,0
Sudbury,,3,U.S. House,5th,Democratic,Blanks,175
Erving,,1,U.S. Senate,,Republican,Total Votes Cast,97
Weymouth,,17,State House,4th Norfolk,Democratic,Blanks,37
Brookline,,3,State Senate,1st Middlesex and Norfolk,Democratic,All Others,7
Boston,16,7,State Senate,1st Suffolk,Democratic,Samuel H. Pierce,86
Boston,5,3,U.S. Senate,,Libertarian,Total Votes Cast,0
Peabody,1,3,U.S. Senate,,Libertarian,Blanks,0
TOTALS,,,State Senate,Worcester and Middlesex,Republican,All Others,33
Plymouth,,7,State Senate,Plymouth and Barnstable,Special Democratic,Thomas W. Moakley,73
Groton,,1,State Senate,1st Middlesex,Democratic,Blanks,145
Gloucester,4,1,State House,5th Essex,Democratic,Blanks,113
Quincy,5,3,U.S. Senate,,Democratic,Blanks,26
Swampscott,,2,U.S. Senate,,Democratic,Blanks,5
Newton,6,4,U.S. Senate,,Democratic,All Others,0
Springfield,3,E,U.S. Senate,,Republican,Blanks,0
Greenfield,,1,State House,2nd Berkshire,Democratic,Total Votes Cast,495
Sturbridge,,3,State House,1st Hampden,Democratic,Domenic D. Mercurio,30
Great Barrington,,B,U.S. Senate,,Republican,Blanks,1
TOTALS,,,State House,4th Norfolk,Democratic,Blanks,714
Southborough,,2,U.S. House,5th,Democratic,Total Votes Cast,744
Oakham,,1,U.S. House,2nd,Republican,All Others,0
Lawrence,E,4,U.S. Senate,,Republican,Kevin J. O'Connor,24
Gloucester,5,1,State House,5th Essex,Democratic,Ann-Margaret Ferrante,699
Boston,3,6,U.S. House,8th,Democratic,Stephen F. Lynch,662
Boston,22,13,U.S. House,7th,Republican,Total Votes Cast,37
Littleton,,3,Governor's Council,3rd,Democratic,Total Votes Cast,833
Agawam,,5,State Senate,2nd Hampden and Hampshire,Democratic,Total Votes Cast,447
Boston,22,10,U.S. Senate,,Democratic,Total Votes Cast,653
Amesbury,,3,U.S. Senate,,Republican,Blanks,0
N. Attleborough,,7,U.S. Senate,,Democratic,Total Votes Cast,652
Holbrook,,2,State House,3rd Norfolk,Democratic,Ronald Mariano,412
Webster,,2,U.S. House,2nd,Democratic,All Others,2
Boston,11,5,U.S. House,7th,Republican,Rayla Campbell,0
Weymouth,,9,U.S. Senate,,Republican,Kevin J. O'Connor,139
Sandwich,,2,U.S. Senate,,Libertarian,Blanks,1
Pembroke,,4,State Senate,Plymouth and Barnstable,Republican,Blanks,27
Worcester,5,2,U.S. Senate,,Republican,Kevin J. O'Connor,64
Northbridge,,2,U.S. Senate,,Democratic,Total Votes Cast,608
Peabody,3,2,U.S. Senate,,Democratic,All Others,0
Milford,,8,Governor's Council,7th,Democratic,Paul M. Depalo,384
Pelham,,1,U.S. Senate,,Libertarian,Blanks,0
Ashland,,4,Governor's Council,2nd,Democratic,Robert L. Jubinville,661
Pittsfield,1,B,State House,2nd Berkshire,Democratic,All Others,1
Dennis,,5,U.S. Senate,,Democratic,Blanks,1
Springfield,4,C,U.S. Senate,,Republican,Total Votes Cast,6
Peabody,4,3A,U.S. Senate,,Republican,Blanks,2
Framingham,,18,U.S. Senate,,Libertarian,Blanks,0
Princeton,,1,State House,1st Worcester,Republican,Kimberly N. Ferguson,216
Ludlow,,3,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,612
Sandwich,,6,U.S. House,9th,Democratic,Total Votes Cast,560
New Bedford,2,E,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,276
Boston,5,4,U.S. House,8th,Democratic,Robbie H. Goldstein,370
Auburn,,1,Governor's Council,7th,Democratic,Blanks,114
Needham,,E,U.S. House,4th,Republican,Julie A. Hall,74
Melrose,7,1,State House,32nd Middlesex,Democratic,Blanks,88
N. Reading,,3,Governor's Council,5th,Democratic,Eileen R. Duff,589
Groveland,,2,State House,2nd Essex,Republican,Leonard Mirra,221
Hawley,,1,U.S. Senate,,Democratic,Blanks,1
Ayer,,1,U.S. Senate,,Republican,All Others,0
Boston,22,2,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Cambridge,1,1,U.S. Senate,,Republican,All Others,2
Rockland,,4,U.S. House,9th,Democratic,All Others,2
Newburyport,6,1,State House,1st Essex,Republican,James M. Kelcourse,172
Falmouth,,9,State Senate,Plymouth and Barnstable,Special Democratic,Stephen Michael Palmer,25
Falmouth,,4,State Senate,Plymouth and Barnstable,Democratic,Blanks,132
Longmeadow,,D,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Brockton,1,B,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",506
Boston,14,2,U.S. Senate,,Democratic,Blanks,2
Boston,12,8,U.S. Senate,,Republican,Kevin J. O'Connor,0
Tewksbury,,3A,State House,18th Essex,Democratic,Tram T. Nguyen,707
Cambridge,7,2,U.S. House,5th,Republican,Blanks,5
Medfield,,2,State House,13th Norfolk,Democratic,All Others,3
Boston,18,17,State House,14th Suffolk,Democratic,All Others,1
Pittsfield,2,A,U.S. Senate,,Democratic,Total Votes Cast,314
Medford,2,2,Governor's Council,6th,Democratic,Helina Fontes,325
Waltham,3,1,U.S. Senate,,Republican,Blanks,7
Franklin,,4,U.S. House,,Democratic,All Others,7
Melrose,1,1,Governor's Council,6th,Democratic,Helina Fontes,257
Natick,,3,Governor's Council,2nd,Democratic,All Others,2
Brookline,,10,U.S. House,4th,Republican,Total Votes Cast,48
Newburyport,2,1,U.S. House,6th,Democratic,Blanks,37
Shirley,,1,State House,37th Middlesex,Democratic,Danillo A. Sena,265
Boston,12,5,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Uxbridge,,3,U.S. Senate,,Republican,Blanks,1
Boston,4,4,U.S. Senate,,Libertarian,Blanks,0
Brockton,5,C,U.S. House,8th,Democratic,Stephen F. Lynch,364
Milford,,5,U.S. Senate,,Republican,All Others,1
Merrimac,,2,State House,2nd Essex,Republican,Total Votes Cast,239
Southbridge,,2,U.S. Senate,,Republican,All Others,0
Dartmouth,,8,State House,9th Bristol,Democratic,Christopher M. Markey,885
Brookline,,14,U.S. Senate,,Democratic,Total Votes Cast,1191
Lynn,4,2,State Senate,3rd Essex,Democratic,Total Votes Cast,158
Warren,,B,Governor's Council,7th,Democratic,Total Votes Cast,176
Natick,,6,U.S. House,5th,Democratic,Total Votes Cast,964
Brookline,,15,U.S. Senate,,Republican,Blanks,3
Hingham,,5A,State House,3rd Plymouth,Republican,Blanks,21
Weymouth,,1,U.S. Senate,,Libertarian,All Others,0
Lenox,,1,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,Adam G. Hinds,1536
N. Attleborough,,2,U.S. Senate,,Libertarian,Total Votes Cast,6
Reading,,4,U.S. Senate,,Democratic,Total Votes Cast,1010
Salisbury,,3,U.S. Senate,,Democratic,Edward J. Markey,161
Natick,,4,Governor's Council,2nd,Democratic,All Others,2
Sandwich,,3,U.S. Senate,,Republican,All Others,3
Worcester,6,5,Governor's Council,7th,Democratic,Padraic Rafferty,181
Fall River,9,C,U.S. Senate,,Republican,Blanks,1
Leicester,,2,U.S. House,2nd,Republican,All Others,2
Natick,,5,U.S. House,5th,Republican,Caroline Colarusso,113
Revere,1,1,State Senate,1st Suffolk and Middlesex,Democratic,All Others,5
Bourne,,7,State House,5th Barnstable,Republican,Total Votes Cast,273
Milford,,3,State Senate,Worcester and Norfolk,Democratic,Christine Crean,15
Woburn,2,1,State House,30th Middlesex,Democratic,Richard M. Haggerty,515
Boston,14,11,U.S. Senate,,Republican,Shiva Ayyadurai,2
Boston,15,4,State House,5th Suffolk,Democratic,All Others,4
Taunton,4,A,State Senate,1st Plymouth and Bristol,Democratic,Blanks,105
Somerville,6,1,U.S. Senate,,Democratic,Edward J. Markey,1432
Beverly,4,2,U.S. House,6th,Republican,Blanks,17
Grafton,,1,U.S. House,2nd,Republican,Blanks,25
Boston,20,20,U.S. Senate,,Republican,Kevin J. O'Connor,56
Boston,22,8,U.S. Senate,,Republican,Blanks,0
Quincy,3,4,State House,1st Norfolk,Democratic,All Others,12
Westborough,,5,U.S. Senate,,Libertarian,Total Votes Cast,1
Chelmsford,,7,U.S. House,3rd,Democratic,Blanks,152
Belchertown,,A,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,805
Springfield,8,B,U.S. House,1st,Democratic,Alex B. Morse,147
Hardwick,,1,U.S. House,2nd,Democratic,Total Votes Cast,430
Somerville,2,2,U.S. Senate,,Democratic,Blanks,6
Wrentham,,2,U.S. Senate,,Democratic,Blanks,3
Orleans,,1,U.S. House,9th,Democratic,Bill Keating,1838
Brookline,,1,U.S. House,,Democratic,Jake Auchincloss,143
Fitchburg,4,A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",105
Boston,17,8,U.S. House,7th,Democratic,Total Votes Cast,436
Hudson,,5,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",393
Worcester,10,2,U.S. Senate,,Republican,Total Votes Cast,32
W. Brookfield,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",344
Boston,20,9,State Senate,Norfolk and Suffolk,Democratic,All Others,4
Brewster,,1,U.S. Senate,,Democratic,Blanks,8
Braintree,,5B,U.S. Senate,,Democratic,Edward J. Markey,414
Boston,10,8,U.S. Senate,,Libertarian,Blanks,2
Worcester,2,5,U.S. House,2nd,Republican,All Others,0
Mattapoisett,,1,U.S. House,9th,Republican,Blanks,77
Bridgewater,,5,U.S. Senate,,Republican,Shiva Ayyadurai,32
Webster,,3,State Senate,Worcester and Norfolk,Democratic,Blanks,326
Rutland,,3,U.S. Senate,,Libertarian,Total Votes Cast,1
Lakeville,,2,U.S. Senate,,Democratic,Blanks,2
Arlington,,1,U.S. Senate,,Libertarian,Blanks,0
Arlington,,8,U.S. Senate,,Republican,Kevin J. O'Connor,34
Plymouth,,6,U.S. House,9th,Republican,Total Votes Cast,268
Stoneham,,1,State Senate,5th Middlesex,Democratic,Blanks,130
Bridgewater,,5,U.S. Senate,,Republican,Kevin J. O'Connor,29
Leominster,3,B,Governor's Council,7th,Democratic,Blanks,86
Ashland,,4,Governor's Council,2nd,Democratic,Blanks,137
Maynard,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",252
Quincy,1,1,U.S. Senate,,Libertarian,All Others,1
Milton,,10,U.S. House,7th,Republican,Rayla Campbell,0
Conway,,1,U.S. House,1st,Democratic,Richard E. Neal,248
Melrose,1,1,State House,32nd Middlesex,Special Democratic,Blanks,0
Chicopee,1,B,U.S. Senate,,Democratic,Total Votes Cast,748
Framingham,,3,Governor's Council,2nd,Democratic,All Others,7
Worcester,8,1,State Senate,2nd Worcester,Democratic,Total Votes Cast,226
Melrose,5,2,U.S. Senate,,Democratic,All Others,0
Taunton,1,B,Governor's Council,1st,Democratic,Blanks,171
Brookline,,12,Governor's Council,3rd,Democratic,Blanks,499
Easton,,2,U.S. House,,Democratic,Benjamin R. Sigel,10
Springfield,6,C,U.S. Senate,,Libertarian,All Others,2
Wilmington,,2,U.S. Senate,,Republican,Blanks,5
Boston,16,6,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",237
Stoneham,,5,State Senate,5th Middlesex,Democratic,Blanks,115
Framingham,,10,U.S. Senate,,Democratic,Total Votes Cast,529
Williamsburg,,1,U.S. Senate,,Libertarian,Blanks,0
N. Attleborough,,8,U.S. Senate,,Libertarian,Blanks,0
Boston,12,6,U.S. House,7th,Democratic,Blanks,16
W. Springfield,,4,U.S. Senate,,Democratic,Edward J. Markey,275
Braintree,,3B,U.S. House,8th,Democratic,Robbie H. Goldstein,156
Worcester,7,3,Governor's Council,7th,Democratic,Total Votes Cast,636
Dartmouth,,3,U.S. Senate,,Republican,Shiva Ayyadurai,0
Hadley,,1,U.S. Senate,,Democratic,All Others,1
Foxborough,,5,U.S. Senate,,Libertarian,Total Votes Cast,2
S. Hadley,,A,U.S. Senate,,Republican,Kevin J. O'Connor,58
Haverhill,7,3,State House,2nd Essex,Democratic,Blanks,105
Boston,17,5,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Greenfield,,9,U.S. Senate,,Democratic,Total Votes Cast,333
Danvers,,1,U.S. House,6th,Republican,Blanks,19
Springfield,5,B,State House,11th Hampden,Democratic,All Others,9
Orange,,1,U.S. House,2nd,Democratic,Total Votes Cast,459
Lynn,3,1,U.S. Senate,,Democratic,Blanks,4
Sandwich,,5,U.S. Senate,,Libertarian,All Others,2
Danvers,,8,U.S. House,6th,Republican,All Others,0
Boston,12,5,U.S. House,7th,Democratic,Ayanna S. Pressley,273
Lynn,7,1,U.S. Senate,,Libertarian,Total Votes Cast,2
Cambridge,7,2,U.S. Senate,,Libertarian,All Others,1
Boston,18,7,U.S. Senate,,Republican,Shiva Ayyadurai,8
Quincy,4,2,U.S. Senate,,Republican,Shiva Ayyadurai,47
Adams,,2,U.S. Senate,,Democratic,Total Votes Cast,367
Arlington,,11,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Longmeadow,,B,U.S. House,1st,Democratic,Alex B. Morse,254
Duxbury,,6,U.S. House,9th,Republican,All Others,1
Andover,,7,State Senate,2nd Essex and Middlesex,Democratic,All Others,6
Fall River,5,C,U.S. Senate,,Republican,Shiva Ayyadurai,6
Wayland,,2,U.S. House,5th,Libertarian,Blanks,4
Chicopee,3,A,State Senate,Hampden,Democratic,Total Votes Cast,474
Swampscott,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Amherst,,6,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Milford,,7,U.S. Senate,,Libertarian,Total Votes Cast,3
