town,ward,precinct,office,district,party,candidate,votes
Salem,5,2,State House,7th Essex,Democratic,Total Votes Cast,743
Lawrence,B,3,U.S. House,3rd,Democratic,Blanks,49
Boston,3,3,Governor's Council,6th,Democratic,Blanks,85
Braintree,,2B,U.S. House,8th,Democratic,Total Votes Cast,741
Templeton,,A,State House,2nd Franklin,Republican,Louis G. Marino,0
Woburn,3,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Abington,,3,U.S. Senate,,Democratic,Blanks,5
Needham,,J,U.S. House,,Democratic,Natalia Linos,87
Springfield,6,A,State Senate,Hampden,Democratic,Adam Gomez,168
Agawam,,5,State House,3rd Hampden,Democratic,Total Votes Cast,761
Arlington,,12,U.S. Senate,,Democratic,Edward J. Markey,791
Somerville,1,1,U.S. House,7th,Republican,All Others,8
Williamsburg,,1,U.S. Senate,,Democratic,Blanks,6
Ashland,,1,U.S. Senate,,Republican,Kevin J. O'Connor,76
Sudbury,,1A,State Senate,3rd Middlesex,Democratic,Blanks,34
Boston,11,9,U.S. Senate,,Libertarian,Blanks,0
Methuen,,8,U.S. Senate,,Libertarian,Vermin Love Supreme,1
Aquinnah,,1,U.S. House,9th,Democratic,Blanks,24
Templeton,,C,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Total Votes Cast,313
Boston,1,13,U.S. Senate,,Libertarian,Blanks,0
Swampscott,,1,U.S. Senate,,Republican,Shiva Ayyadurai,47
Attleboro,3,B,U.S. House,4th,Republican,Blanks,22
Boston,2,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Bridgewater,,5,U.S. Senate,,Democratic,Total Votes Cast,197
Tyngsborough,,2,U.S. Senate,,Republican,Shiva Ayyadurai,51
Boston,14,10,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D?az,321
Boston,22,9,U.S. Senate,,Libertarian,Blanks,0
Waltham,7,1,Governor's Council,3rd,Democratic,Blanks,244
Boston,1,1,State Senate,1st Suffolk and Middlesex,Democratic,Total Votes Cast,546
Worcester,2,1,State Senate,1st Worcester,Democratic,All Others,5
Worcester,4,4,U.S. Senate,,Libertarian,All Others,6
Somerville,4,3,State House,34th Middlesex,Democratic,Total Votes Cast,1140
Medfield,,4,U.S. House,4th,Republican,All Others,0
Mansfield,,6,U.S. Senate,,Republican,All Others,1
Brockton,6,A,State Senate,2nd Plymouth and Bristol,Democratic,Michael D. Brady,195
TOTALS,,,State House,3rd Bristol,Democratic,Carol A. Doherty,5188
Weymouth,,5,U.S. Senate,,Democratic,All Others,1
Merrimac,,1,U.S. House,6th,Republican,John Paul Moran,188
Melrose,5,2,U.S. Senate,,Democratic,Total Votes Cast,630
Methuen,,6,U.S. House,3rd,Democratic,Lori Loureiro Trahan,495
Townsend,,1,State Senate,Worcester and Middlesex,Republican,All Others,0
W. Bridgewater,,2,U.S. Senate,,Republican,Blanks,3
Foxborough,,3,U.S. Senate,,Libertarian,All Others,1
Cambridge,5,2,State Senate,1st Suffolk and Middlesex,Democratic,Blanks,272
Norwood,,6,State House,12th Norfolk,Democratic,John H. Rogers,361
Peabody,6,2,State Senate,2nd Essex,Democratic,Total Votes Cast,565
Ware,,A,U.S. Senate,,Republican,Shiva Ayyadurai,52
Burlington,,4,U.S. Senate,,Republican,All Others,0
Boston,17,8,State House,6th Suffolk,Democratic,All Others,7
Plainville,,2,U.S. Senate,,Democratic,Blanks,2
W. Bridgewater,,2,U.S. Senate,,Libertarian,Total Votes Cast,4
Lowell,6,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Lynn,6,2,U.S. House,6th,Democratic,Angus G. McQuilken,13
Lynn,7,1,Governor's Council,6th,Democratic,Terrence W. Kennedy,390
Fall River,8,C,State House,6th Bristol,Democratic,Carole A. Fiola,507
Boston,14,7,U.S. House,7th,Republican,Blanks,0
Dighton,,2,U.S. House,,Democratic,Ihssane Leckey,87
Springfield,6,B,U.S. Senate,,Republican,Shiva Ayyadurai,40
Worcester,9,3,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,86
Fall River,1,B,U.S. Senate,,Republican,Blanks,1
Milton,,8,Governor's Council,2nd,Democratic,Blanks,276
Fall River,2,A,State Senate,1st Bristol and Plymouth,Democratic,All Others,0
Cambridge,4,2,U.S. House,5th,Republican,Total Votes Cast,25
Taunton,1,B,U.S. House,,Democratic,All Others,2
Peabody,2,2,State Senate,2nd Essex,Democratic,Blanks,52
Boston,5,5,State House,8th Suffolk,Democratic,Blanks,50
Chelmsford,,7,U.S. Senate,,Republican,Shiva Ayyadurai,94
Middleborough,,4,U.S. Senate,,Libertarian,Total Votes Cast,5
Somerville,2,2,U.S. House,7th,Republican,All Others,4
Reading,,3,State Senate,5th Middlesex,Democratic,Total Votes Cast,1092
Worcester,6,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",193
Needham,,C,State House,13th Norfolk,Democratic,Denise C. Garlick,842
TOTALS,,,State House,2nd Hampden,Democratic,Total Votes Cast,9695
Medway,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Boston,1,10,U.S. Senate,,Democratic,Edward J. Markey,131
Marshfield,,5,U.S. House,9th,Republican,Total Votes Cast,198
Milford,,3,State Senate,Worcester and Norfolk,Republican,Total Votes Cast,152
Norfolk,,1,U.S. House,,Democratic,Becky Grossman,126
Wayland,,1,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Melrose,6,2,State House,32nd Middlesex,Democratic,Kate Lipper-Garabedian,544
Stoneham,,7,State House,31st Middlesex,Democratic,Total Votes Cast,707
Mansfield,,1,State Senate,Bristol and Norfolk,Republican,Blanks,225
Medford,3,2,U.S. House,5th,Democratic,Katherine M. Clark,966
