county,precinct_code,precinct,office,district,party,candidate,votes
Adams,115,Ritzville Ward #5,President,,Democratic Party,Amy Klobuchar,2
Adams,115,Ritzville Ward #5,President,,Democratic Party,Deval Patrick,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Michael Bennet,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Bernie Sanders,2
Adams,121,Ritzville Rural NW,President,,Democratic Party,Tom Steyer,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Elizabeth Warren,5
Adams,121,Ritzville Rural NW,President,,Democratic Party,Andrew Yang,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Uncommitted Delegates,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Joseph R. Biden,3
Adams,121,Ritzville Rural NW,President,,Democratic Party,Michael Bloomberg,2
Adams,121,Ritzville Rural NW,President,,Democratic Party,Cory Booker,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Pete Buttigieg,1
Adams,121,Ritzville Rural NW,President,,Democratic Party,Write-in,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,John Delaney,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Tulsi Gabbard,0
Adams,121,Ritzville Rural NW,President,,Democratic Party,Amy Klobuchar,1
Adams,121,Ritzville Rural NW,President,,Democratic Party,Deval Patrick,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Michael Bennet,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Bernie Sanders,2
Adams,122,Ritzville Rural SE,President,,Democratic Party,Tom Steyer,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Elizabeth Warren,3
Adams,122,Ritzville Rural SE,President,,Democratic Party,Andrew Yang,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Uncommitted Delegates,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Joseph R. Biden,6
Adams,122,Ritzville Rural SE,President,,Democratic Party,Michael Bloomberg,1
Adams,122,Ritzville Rural SE,President,,Democratic Party,Cory Booker,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Pete Buttigieg,1
Adams,122,Ritzville Rural SE,President,,Democratic Party,Write-in,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,John Delaney,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Tulsi Gabbard,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Amy Klobuchar,0
Adams,122,Ritzville Rural SE,President,,Democratic Party,Deval Patrick,0
Adams,123,Batum,President,,Democratic Party,Michael Bennet,0
Adams,123,Batum,President,,Democratic Party,Bernie Sanders,6
Adams,123,Batum,President,,Democratic Party,Tom Steyer,0
Adams,123,Batum,President,,Democratic Party,Elizabeth Warren,0
Adams,123,Batum,President,,Democratic Party,Andrew Yang,0
Adams,123,Batum,President,,Democratic Party,Uncommitted Delegates,0
Adams,123,Batum,President,,Democratic Party,Joseph R. Biden,2
Adams,123,Batum,President,,Democratic Party,Michael Bloomberg,1
Adams,123,Batum,President,,Democratic Party,Cory Booker,0
Adams,123,Batum,President,,Democratic Party,Pete Buttigieg,3
Adams,123,Batum,President,,Democratic Party,Write-in,0
Adams,123,Batum,President,,Democratic Party,John Delaney,0
Adams,123,Batum,President,,Democratic Party,Tulsi Gabbard,0
Adams,123,Batum,President,,Democratic Party,Amy Klobuchar,0
Adams,123,Batum,President,,Democratic Party,Deval Patrick,0
Adams,211,Benge,President,,Democratic Party,Michael Bennet,0
Adams,211,Benge,President,,Democratic Party,Bernie Sanders,1
