county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Wayne,"City of Detroit, Precinct 278",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 279",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 280",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 281",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 282",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 283",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 285",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 286",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 287",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 288",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 289",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 290",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 291",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 292",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 293",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 294",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 295",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 296",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 297",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 298",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 299",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 300",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 301",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 302",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 304",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 305",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 306",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 307",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 308",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 309",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 310",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 311",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 312",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 313",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 315",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 316",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 317",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 318",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 319",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 320",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 323",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 324",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 325",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 326",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 328",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 329",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 330",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 331",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 333",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 334",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 335",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 336",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 337",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 338",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 339",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 340",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 341",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 342",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 343",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 344",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 345",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 346",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 347",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 348",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 349",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 350",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 351",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 352",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 353",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 355",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 356",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 357",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 359",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 360",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 361",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 362",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 363",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 364",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 365",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 368",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 369",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 370",Straight Party,,Over Votes,,3,3,0,,0,,,0
Wayne,"City of Detroit, Precinct 371",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 373",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 374",Straight Party,,Over Votes,,3,3,0,,0,,,0
Wayne,"City of Detroit, Precinct 375",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 376",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 377",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 378",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 379",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 380",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 381",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 383",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 384",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 385",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 386",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 387",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 389",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 390",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 392",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 393",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 394",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 395",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 396",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 398",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 399",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 400",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 402",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 403",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 404",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 405",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 406",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 407",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 408",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 409",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 410",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 411",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 413",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 414",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 415",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 416",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 417",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 418",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 419",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 420",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 421",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 422",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 423",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 424",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 425",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 426",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 428",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 429",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 430",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 432",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 433",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 434",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 435",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 436",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 437",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 438",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 439",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 440",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 441",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 442",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 443",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 444",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 446",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 447",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 448",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 449",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 450",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 452",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 453",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 457",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 458",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 460",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 461",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 462",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 464",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 466",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 470",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 471",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 472",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 473",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 474",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 475",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 477",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 479",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 480",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Detroit, Precinct 481",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 482",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 483",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 484",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 485",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 490",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 491",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Detroit, Precinct 493",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 495",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 496",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 497",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 500",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 501",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Detroit, Precinct 502",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Ecorse, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Ecorse, Precinct 2",Straight Party,,Over Votes,,4,3,1,,0,,,1
Wayne,"City of Ecorse, Precinct 3",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Ecorse, Precinct 4",Straight Party,,Over Votes,,5,0,5,,0,,,5
Wayne,"City of Farmington Hills, Precinct 27",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Flat Rock, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Flat Rock, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Flat Rock, Precinct 3",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Garden City, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Garden City, Precinct 2",Straight Party,,Over Votes,,2,1,1,,0,,,1
Wayne,"City of Garden City, Precinct 3",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Garden City, Precinct 4",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Garden City, Precinct 5",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Garden City, Precinct 6",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Garden City, Precinct 7",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Garden City, Precinct 8",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Garden City, Precinct 9",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Garden City, Precinct 10",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Gibraltar, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Gibraltar, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"Grosse Ile Township, Precinct 1",Straight Party,,Over Votes,,1,0,0,,1,,,0
Wayne,"Grosse Ile Township, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"Grosse Ile Township, Precinct 3",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Farms, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Farms, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Farms, Precinct 3",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Farms, Precinct 4",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Farms, Precinct 5",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 2",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 4",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 5",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 6",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Park, Precinct 7",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"The Village of Grosse Pointe Shores, a Michigan City, Precinct 2 MACOMB",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 3",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 4",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 5",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Grosse Pointe Woods, Precinct 6",Straight Party,,Over Votes,,1,0,0,,1,,,0
Wayne,"City of Hamtramck, Precinct 1",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Hamtramck, Precinct 2",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Hamtramck, Precinct 3",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Hamtramck, Precinct 4",Straight Party,,Over Votes,,6,5,1,,0,,,1
Wayne,"City of Hamtramck, Precinct 5",Straight Party,,Over Votes,,5,3,2,,0,,,2
Wayne,"City of Hamtramck, Precinct 6",Straight Party,,Over Votes,,3,0,2,,1,,,2
Wayne,"City of Hamtramck, Precinct 7",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Harper Woods, Precinct 1",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Harper Woods, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Harper Woods, Precinct 3",Straight Party,,Over Votes,,3,1,1,,1,,,1
Wayne,"City of Harper Woods, Precinct 4",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Harper Woods, Precinct 5",Straight Party,,Over Votes,,3,0,0,,3,,,0
Wayne,"City of Harper Woods, Precinct 6",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Highland Park, Precinct 1",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Highland Park, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Highland Park, Precinct 3",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Highland Park, Precinct 4",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Highland Park, Precinct 5",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Highland Park, Precinct 6",Straight Party,,Over Votes,,2,1,1,,0,,,1
Wayne,"Charter Township of Huron, Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"Charter Township of Huron, Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"Charter Township of Huron, Precinct 3",Straight Party,,Over Votes,,2,0,1,,1,,,1
Wayne,"Charter Township of Huron, Precinct 4",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Inkster, District 1 Precinct 1",Straight Party,,Over Votes,,2,1,1,,0,,,1
Wayne,"City of Inkster, District 1 Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Inkster, District 2 Precinct 1",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Inkster, District 2 Precinct 2",Straight Party,,Over Votes,,8,5,3,,0,,,3
Wayne,"City of Inkster, District 3 Precinct 1",Straight Party,,Over Votes,,2,0,2,,0,,,2
Wayne,"City of Inkster, District 3 Precinct 2",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Inkster, District 4 Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Inkster, District 4 Precinct 2",Straight Party,,Over Votes,,2,1,1,,0,,,1
Wayne,"City of Inkster, District 5 Precinct 1",Straight Party,,Over Votes,,4,1,3,,0,,,3
Wayne,"City of Inkster, District 6 Precinct 1",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Inkster, District 6 Precinct 2",Straight Party,,Over Votes,,3,0,3,,0,,,3
Wayne,"City of Lincoln Park, Precinct 1",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Lincoln Park, Precinct 3",Straight Party,,Over Votes,,5,3,1,,1,,,1
Wayne,"City of Lincoln Park, Precinct 5",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Lincoln Park, Precinct 7",Straight Party,,Over Votes,,4,0,2,,2,,,2
Wayne,"City of Lincoln Park, Precinct 9",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Lincoln Park, Precinct 11",Straight Party,,Over Votes,,2,2,0,,0,,,0
Wayne,"City of Livonia, Precinct 1A",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Livonia, Precinct 1B",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 2A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 3A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 3B",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 4A",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Livonia, Precinct 7A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 8A",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Livonia, Precinct 8B",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 9A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 10A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 11A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 12A",Straight Party,,Over Votes,,1,0,1,,0,,,1
Wayne,"City of Livonia, Precinct 13A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 14A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 15A",Straight Party,,Over Votes,,1,1,0,,0,,,0
Wayne,"City of Livonia, Precinct 16A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 16B",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 17A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 17B",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 18A",Straight Party,,Over Votes,,0,0,0,,0,,,0
Wayne,"City of Livonia, Precinct 19A",Straight Party,,Over Votes,,2,1,1,,0,,,1
