county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Wayne,"City of Dearborn, Precinct 16",Registered Voters,,,,1819,,,,,,,
Wayne,"City of Dearborn, Precinct 17",Registered Voters,,,,2387,,,,,,,
Wayne,"City of Dearborn, Precinct 18",Registered Voters,,,,2860,,,,,,,
Wayne,"City of Dearborn, Precinct 19",Registered Voters,,,,1625,,,,,,,
Wayne,"City of Dearborn, Precinct 20",Registered Voters,,,,1434,,,,,,,
Wayne,"City of Dearborn, Precinct 21",Registered Voters,,,,1808,,,,,,,
Wayne,"City of Dearborn, Precinct 22",Registered Voters,,,,1119,,,,,,,
Wayne,"City of Dearborn, Precinct 23",Registered Voters,,,,1169,,,,,,,
Wayne,"City of Dearborn, Precinct 24",Registered Voters,,,,1120,,,,,,,
Wayne,"City of Dearborn, Precinct 25",Registered Voters,,,,1917,,,,,,,
Wayne,"City of Dearborn, Precinct 26",Registered Voters,,,,1776,,,,,,,
Wayne,"City of Dearborn, Precinct 27",Registered Voters,,,,1676,,,,,,,
Wayne,"City of Dearborn, Precinct 28",Registered Voters,,,,1044,,,,,,,
Wayne,"City of Dearborn, Precinct 29",Registered Voters,,,,1022,,,,,,,
Wayne,"City of Dearborn, Precinct 30",Registered Voters,,,,959,,,,,,,
Wayne,"City of Dearborn, Precinct 31",Registered Voters,,,,1960,,,,,,,
Wayne,"City of Dearborn, Precinct 32",Registered Voters,,,,1369,,,,,,,
Wayne,"City of Dearborn, Precinct 33",Registered Voters,,,,1618,,,,,,,
Wayne,"City of Dearborn, Precinct 34",Registered Voters,,,,1497,,,,,,,
Wayne,"City of Dearborn, Precinct 35",Registered Voters,,,,1091,,,,,,,
Wayne,"City of Dearborn, Precinct 36",Registered Voters,,,,1108,,,,,,,
Wayne,"City of Dearborn, Precinct 37",Registered Voters,,,,1760,,,,,,,
Wayne,"City of Dearborn, Precinct 38",Registered Voters,,,,1708,,,,,,,
Wayne,"City of Dearborn, Precinct 40",Registered Voters,,,,1334,,,,,,,
Wayne,"City of Dearborn, Precinct 41",Registered Voters,,,,1532,,,,,,,
Wayne,"City of Dearborn, Precinct 42",Registered Voters,,,,1323,,,,,,,
Wayne,"City of Dearborn, Precinct 43",Registered Voters,,,,1359,,,,,,,
Wayne,"City of Dearborn, Precinct 44",Registered Voters,,,,1515,,,,,,,
Wayne,"City of Dearborn, Precinct 45",Registered Voters,,,,1825,,,,,,,
Wayne,"City of Dearborn, Precinct 46",Registered Voters,,,,1729,,,,,,,
Wayne,"City of Dearborn, Precinct 47",Registered Voters,,,,1248,,,,,,,
Wayne,"City of Dearborn, Precinct 48",Registered Voters,,,,1218,,,,,,,
Wayne,"City of Dearborn, Precinct 49",Registered Voters,,,,1967,,,,,,,
Wayne,"City of Dearborn, Precinct 50",Registered Voters,,,,1609,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 1",Registered Voters,,,,2081,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 2",Registered Voters,,,,1700,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 3",Registered Voters,,,,1325,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 4",Registered Voters,,,,1918,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 5",Registered Voters,,,,1531,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 6",Registered Voters,,,,1773,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 7",Registered Voters,,,,1485,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 8",Registered Voters,,,,1823,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 9",Registered Voters,,,,1213,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 10",Registered Voters,,,,1423,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 11",Registered Voters,,,,2188,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 12",Registered Voters,,,,2546,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 13",Registered Voters,,,,2205,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 14",Registered Voters,,,,1531,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 15",Registered Voters,,,,1284,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 16",Registered Voters,,,,1895,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 17",Registered Voters,,,,1653,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 18",Registered Voters,,,,1572,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 19",Registered Voters,,,,1428,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 20",Registered Voters,,,,1399,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 21",Registered Voters,,,,2092,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 22",Registered Voters,,,,1961,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 23",Registered Voters,,,,2006,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 24",Registered Voters,,,,1992,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 25",Registered Voters,,,,2452,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 26",Registered Voters,,,,2124,,,,,,,
Wayne,"City of Dearborn Heights, Precinct 27",Registered Voters,,,,2011,,,,,,,
Wayne,"City of Detroit, CB 1",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 2",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 3",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 4",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 5",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 6",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 7",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 8",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 9",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 10",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 11",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 12",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 13",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 14",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 15",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 16",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 17",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 18",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 19",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 20",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 21",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 22",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 23",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 24",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 25",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 26",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 27",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 28",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 29",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 30",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 31",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 32",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 33",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 34",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 35",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 36",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 37",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 38",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 39",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 40",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 41",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 42",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 43",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 44",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 45",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 46",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 47",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 48",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 49",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 50",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 51",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 52",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 53",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 54",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 55",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 56",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 57",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 58",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 59",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 60",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 61",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 62",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 63",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 64",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, CB 65",Registered Voters,,,,0,,,,,,,
Wayne,"City of Detroit, Precinct 1",Registered Voters,,,,1918,,,,,,,
Wayne,"City of Detroit, Precinct 2",Registered Voters,,,,1213,,,,,,,
Wayne,"City of Detroit, Precinct 4",Registered Voters,,,,913,,,,,,,
Wayne,"City of Detroit, Precinct 5",Registered Voters,,,,817,,,,,,,
Wayne,"City of Detroit, Precinct 6",Registered Voters,,,,1183,,,,,,,
Wayne,"City of Detroit, Precinct 7",Registered Voters,,,,1648,,,,,,,
Wayne,"City of Detroit, Precinct 8",Registered Voters,,,,1377,,,,,,,
Wayne,"City of Detroit, Precinct 9",Registered Voters,,,,1383,,,,,,,
Wayne,"City of Detroit, Precinct 10",Registered Voters,,,,951,,,,,,,
Wayne,"City of Detroit, Precinct 11",Registered Voters,,,,2142,,,,,,,
Wayne,"City of Detroit, Precinct 12",Registered Voters,,,,2006,,,,,,,
Wayne,"City of Detroit, Precinct 14",Registered Voters,,,,277,,,,,,,
Wayne,"City of Detroit, Precinct 15",Registered Voters,,,,1578,,,,,,,
Wayne,"City of Detroit, Precinct 16",Registered Voters,,,,1149,,,,,,,
Wayne,"City of Detroit, Precinct 18",Registered Voters,,,,1662,,,,,,,
Wayne,"City of Detroit, Precinct 19",Registered Voters,,,,1063,,,,,,,
Wayne,"City of Detroit, Precinct 20",Registered Voters,,,,2296,,,,,,,
Wayne,"City of Detroit, Precinct 22",Registered Voters,,,,1285,,,,,,,
Wayne,"City of Detroit, Precinct 23",Registered Voters,,,,2520,,,,,,,
Wayne,"City of Detroit, Precinct 25",Registered Voters,,,,1157,,,,,,,
Wayne,"City of Detroit, Precinct 26",Registered Voters,,,,504,,,,,,,
Wayne,"City of Detroit, Precinct 27",Registered Voters,,,,1583,,,,,,,
Wayne,"City of Detroit, Precinct 29",Registered Voters,,,,813,,,,,,,
Wayne,"City of Detroit, Precinct 32",Registered Voters,,,,1650,,,,,,,
Wayne,"City of Detroit, Precinct 33",Registered Voters,,,,1414,,,,,,,
Wayne,"City of Detroit, Precinct 34",Registered Voters,,,,1732,,,,,,,
Wayne,"City of Detroit, Precinct 35",Registered Voters,,,,1949,,,,,,,
Wayne,"City of Detroit, Precinct 36",Registered Voters,,,,1429,,,,,,,
Wayne,"City of Detroit, Precinct 38",Registered Voters,,,,1563,,,,,,,
Wayne,"City of Detroit, Precinct 39",Registered Voters,,,,1450,,,,,,,
Wayne,"City of Detroit, Precinct 40",Registered Voters,,,,1056,,,,,,,
Wayne,"City of Detroit, Precinct 41",Registered Voters,,,,1470,,,,,,,
Wayne,"City of Detroit, Precinct 43",Registered Voters,,,,2068,,,,,,,
Wayne,"City of Detroit, Precinct 44",Registered Voters,,,,1631,,,,,,,
Wayne,"City of Detroit, Precinct 45",Registered Voters,,,,1530,,,,,,,
Wayne,"City of Detroit, Precinct 46",Registered Voters,,,,1016,,,,,,,
Wayne,"City of Detroit, Precinct 47",Registered Voters,,,,2454,,,,,,,
Wayne,"City of Detroit, Precinct 49",Registered Voters,,,,629,,,,,,,
Wayne,"City of Detroit, Precinct 50",Registered Voters,,,,2085,,,,,,,
Wayne,"City of Detroit, Precinct 51",Registered Voters,,,,1067,,,,,,,
Wayne,"City of Detroit, Precinct 52",Registered Voters,,,,1190,,,,,,,
Wayne,"City of Detroit, Precinct 53",Registered Voters,,,,1801,,,,,,,
Wayne,"City of Detroit, Precinct 55",Registered Voters,,,,1589,,,,,,,
Wayne,"City of Detroit, Precinct 56",Registered Voters,,,,945,,,,,,,
Wayne,"City of Detroit, Precinct 59",Registered Voters,,,,2,,,,,,,
Wayne,"City of Detroit, Precinct 60",Registered Voters,,,,177,,,,,,,
Wayne,"City of Detroit, Precinct 61",Registered Voters,,,,1002,,,,,,,
Wayne,"City of Detroit, Precinct 62",Registered Voters,,,,2060,,,,,,,
Wayne,"City of Detroit, Precinct 64",Registered Voters,,,,943,,,,,,,
Wayne,"City of Detroit, Precinct 65",Registered Voters,,,,1502,,,,,,,
Wayne,"City of Detroit, Precinct 66",Registered Voters,,,,990,,,,,,,
Wayne,"City of Detroit, Precinct 68",Registered Voters,,,,3050,,,,,,,
Wayne,"City of Detroit, Precinct 69",Registered Voters,,,,40,,,,,,,
Wayne,"City of Detroit, Precinct 70",Registered Voters,,,,826,,,,,,,
Wayne,"City of Detroit, Precinct 71",Registered Voters,,,,1261,,,,,,,
Wayne,"City of Detroit, Precinct 72",Registered Voters,,,,1240,,,,,,,
Wayne,"City of Detroit, Precinct 73",Registered Voters,,,,1200,,,,,,,
Wayne,"City of Detroit, Precinct 74",Registered Voters,,,,1233,,,,,,,
Wayne,"City of Detroit, Precinct 75",Registered Voters,,,,1452,,,,,,,
Wayne,"City of Detroit, Precinct 77",Registered Voters,,,,1948,,,,,,,
Wayne,"City of Detroit, Precinct 78",Registered Voters,,,,833,,,,,,,
Wayne,"City of Detroit, Precinct 79",Registered Voters,,,,1679,,,,,,,
Wayne,"City of Detroit, Precinct 80",Registered Voters,,,,832,,,,,,,
Wayne,"City of Detroit, Precinct 81",Registered Voters,,,,1586,,,,,,,
Wayne,"City of Detroit, Precinct 82",Registered Voters,,,,1465,,,,,,,
Wayne,"City of Detroit, Precinct 83",Registered Voters,,,,1747,,,,,,,
Wayne,"City of Detroit, Precinct 84",Registered Voters,,,,1689,,,,,,,
Wayne,"City of Detroit, Precinct 85",Registered Voters,,,,848,,,,,,,
Wayne,"City of Detroit, Precinct 86",Registered Voters,,,,1284,,,,,,,
Wayne,"City of Detroit, Precinct 88",Registered Voters,,,,1457,,,,,,,
Wayne,"City of Detroit, Precinct 89",Registered Voters,,,,847,,,,,,,
Wayne,"City of Detroit, Precinct 90",Registered Voters,,,,915,,,,,,,
Wayne,"City of Detroit, Precinct 91",Registered Voters,,,,1460,,,,,,,
Wayne,"City of Detroit, Precinct 92",Registered Voters,,,,2321,,,,,,,
Wayne,"City of Detroit, Precinct 93",Registered Voters,,,,623,,,,,,,
Wayne,"City of Detroit, Precinct 94",Registered Voters,,,,1352,,,,,,,
Wayne,"City of Detroit, Precinct 95",Registered Voters,,,,1512,,,,,,,
Wayne,"City of Detroit, Precinct 97",Registered Voters,,,,869,,,,,,,
Wayne,"City of Detroit, Precinct 98",Registered Voters,,,,1281,,,,,,,
Wayne,"City of Detroit, Precinct 100",Registered Voters,,,,495,,,,,,,
Wayne,"City of Detroit, Precinct 101",Registered Voters,,,,1344,,,,,,,
Wayne,"City of Detroit, Precinct 102",Registered Voters,,,,686,,,,,,,
Wayne,"City of Detroit, Precinct 103",Registered Voters,,,,1162,,,,,,,
Wayne,"City of Detroit, Precinct 105",Registered Voters,,,,1758,,,,,,,
Wayne,"City of Detroit, Precinct 107",Registered Voters,,,,401,,,,,,,
Wayne,"City of Detroit, Precinct 111",Registered Voters,,,,994,,,,,,,
Wayne,"City of Detroit, Precinct 112",Registered Voters,,,,1916,,,,,,,
Wayne,"City of Detroit, Precinct 115",Registered Voters,,,,2318,,,,,,,
Wayne,"City of Detroit, Precinct 116",Registered Voters,,,,1892,,,,,,,
Wayne,"City of Detroit, Precinct 120",Registered Voters,,,,1901,,,,,,,
Wayne,"City of Detroit, Precinct 121",Registered Voters,,,,1572,,,,,,,
Wayne,"City of Detroit, Precinct 122",Registered Voters,,,,765,,,,,,,
Wayne,"City of Detroit, Precinct 123",Registered Voters,,,,1715,,,,,,,
Wayne,"City of Detroit, Precinct 124",Registered Voters,,,,2135,,,,,,,
Wayne,"City of Detroit, Precinct 125",Registered Voters,,,,2092,,,,,,,
Wayne,"City of Detroit, Precinct 126",Registered Voters,,,,1562,,,,,,,
Wayne,"City of Detroit, Precinct 128",Registered Voters,,,,1181,,,,,,,
Wayne,"City of Detroit, Precinct 129",Registered Voters,,,,843,,,,,,,
Wayne,"City of Detroit, Precinct 130",Registered Voters,,,,770,,,,,,,
Wayne,"City of Detroit, Precinct 132",Registered Voters,,,,1893,,,,,,,
Wayne,"City of Detroit, Precinct 133",Registered Voters,,,,1475,,,,,,,
Wayne,"City of Detroit, Precinct 134",Registered Voters,,,,1309,,,,,,,
Wayne,"City of Detroit, Precinct 135",Registered Voters,,,,856,,,,,,,
Wayne,"City of Detroit, Precinct 136",Registered Voters,,,,2807,,,,,,,
Wayne,"City of Detroit, Precinct 137",Registered Voters,,,,897,,,,,,,
Wayne,"City of Detroit, Precinct 138",Registered Voters,,,,1562,,,,,,,
Wayne,"City of Detroit, Precinct 139",Registered Voters,,,,1347,,,,,,,
Wayne,"City of Detroit, Precinct 140",Registered Voters,,,,1205,,,,,,,
Wayne,"City of Detroit, Precinct 143",Registered Voters,,,,1003,,,,,,,
Wayne,"City of Detroit, Precinct 144",Registered Voters,,,,1464,,,,,,,
Wayne,"City of Detroit, Precinct 145",Registered Voters,,,,1117,,,,,,,
Wayne,"City of Detroit, Precinct 146",Registered Voters,,,,1959,,,,,,,
Wayne,"City of Detroit, Precinct 147",Registered Voters,,,,1779,,,,,,,
Wayne,"City of Detroit, Precinct 148",Registered Voters,,,,732,,,,,,,
Wayne,"City of Detroit, Precinct 150",Registered Voters,,,,1582,,,,,,,
Wayne,"City of Detroit, Precinct 151",Registered Voters,,,,2517,,,,,,,
Wayne,"City of Detroit, Precinct 156",Registered Voters,,,,1287,,,,,,,
Wayne,"City of Detroit, Precinct 157",Registered Voters,,,,1860,,,,,,,
Wayne,"City of Detroit, Precinct 158",Registered Voters,,,,1497,,,,,,,
Wayne,"City of Detroit, Precinct 159",Registered Voters,,,,906,,,,,,,
Wayne,"City of Detroit, Precinct 161",Registered Voters,,,,1325,,,,,,,
Wayne,"City of Detroit, Precinct 162",Registered Voters,,,,1998,,,,,,,
Wayne,"City of Detroit, Precinct 164",Registered Voters,,,,2692,,,,,,,
Wayne,"City of Detroit, Precinct 165",Registered Voters,,,,748,,,,,,,
Wayne,"City of Detroit, Precinct 166",Registered Voters,,,,375,,,,,,,
Wayne,"City of Detroit, Precinct 167",Registered Voters,,,,1775,,,,,,,
Wayne,"City of Detroit, Precinct 168",Registered Voters,,,,2655,,,,,,,
Wayne,"City of Detroit, Precinct 169",Registered Voters,,,,1568,,,,,,,
Wayne,"City of Detroit, Precinct 172",Registered Voters,,,,1642,,,,,,,
Wayne,"City of Detroit, Precinct 173",Registered Voters,,,,1511,,,,,,,
Wayne,"City of Detroit, Precinct 174",Registered Voters,,,,911,,,,,,,
Wayne,"City of Detroit, Precinct 175",Registered Voters,,,,601,,,,,,,
Wayne,"City of Detroit, Precinct 176",Registered Voters,,,,972,,,,,,,
Wayne,"City of Detroit, Precinct 177",Registered Voters,,,,1419,,,,,,,
Wayne,"City of Detroit, Precinct 178",Registered Voters,,,,1131,,,,,,,
Wayne,"City of Detroit, Precinct 180",Registered Voters,,,,1071,,,,,,,
Wayne,"City of Detroit, Precinct 182",Registered Voters,,,,1576,,,,,,,
Wayne,"City of Detroit, Precinct 183",Registered Voters,,,,739,,,,,,,
Wayne,"City of Detroit, Precinct 184",Registered Voters,,,,1765,,,,,,,
Wayne,"City of Detroit, Precinct 185",Registered Voters,,,,1560,,,,,,,
Wayne,"City of Detroit, Precinct 188",Registered Voters,,,,975,,,,,,,
Wayne,"City of Detroit, Precinct 189",Registered Voters,,,,1009,,,,,,,
Wayne,"City of Detroit, Precinct 190",Registered Voters,,,,864,,,,,,,
Wayne,"City of Detroit, Precinct 191",Registered Voters,,,,1245,,,,,,,
Wayne,"City of Detroit, Precinct 192",Registered Voters,,,,1175,,,,,,,
